Idiom (Arbëresh),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Arbëresh)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ai çë ndan ka më të miren pjesë,Gnomic relative clause with demonstrative subject; present indicative; comparative adjective phrase “më të miren pjesë”.,The person who controls the division often benefits most; fairness requires watching how shares are assigned.,Kush ndan gjërat duhet të jetë i drejtë me të gjithë.,B2,"family inheritance, food sharing, community decisions, workplace resources, mild criticism",colloquial-proverbial; ironic but not vulgar,"Recorded among Arbëresh proverbial material from Piana degli Albanesi; reflects village practices of sharing bread, land, work, or feast portions.",/aj t͡ʃə ndan ka mə tə ˈmiɾen ˈpjesə/,"Kur ndatë bukën në tryezë, gjyshi qeshi e tha: “Ai çë ndan ka më të miren pjesë.”","Në kuvendin e katundit, mos e lërë vetëm një njeri të ndajë punën, se ai çë ndan ka më të miren pjesë.",Motrat folën pa zë kur panë pjatën plot për të madhin: ai çë ndan ka më të miren pjesë.
"Atë çë bën gjen, atë çë mbiell kùar",Parallel gnomic construction; object-fronted relative clauses; present indicative verbs “bën/gjen/mbiell/kùar”.,Actions have consequences; good or bad behavior returns to the person who caused it.,Çdo njeri merr pasojat e veprimevet të veta.,B2,"moral advice, education, family discipline, religion, conflict resolution","proverbial; moral, reflective",Attested in Piana degli Albanesi proverb collections; the seed-and-harvest image fits agrarian Arbëresh memory and Christian moral teaching.,/ˈatə t͡ʃə bən ɟɛn ˈatə t͡ʃə ˈmbjɛll ˈkuar/,"Mos u anko tani, bir, se atë çë bën gjen, atë çë mbiell kùar.","Ajo e ndihmoi gjithë gjitoninë, dhe sot të gjithë i rrinë pranë: atë çë bën gjen, atë çë mbiell kùar.","Kur fjala e keqe u kthye tek ai, plaka tha ngadalë: atë çë bën gjen, atë çë mbiell kùar."
Bashkimi bënë fuqinë,Nominal subject plus transitive present indicative predicate; abstract noun “bashkimi” governs object “fuqinë”.,People are stronger when they act together instead of separately.,"Kur punojmë bashkë, kemi më shumë forcë.",A2,"school, community work, politics, family cooperation, associations","neutral-proverbial; encouraging, civic","A widespread Arbëresh and Albanian maxim, also listed for Piana degli Albanesi; often used to praise solidarity in small communities.",/baʃˈkimi ˈbənə fuˈt͡ʃinə/,"Të rinjtë pastruan sheshin bashkë, sepse bashkimi bënë fuqinë.",Në festë askush nuk mbeti jashtë punës; bashkimi bënë fuqinë.,"Kur familjet u mblodhën për shkollën e fëmijëvet, mësuesi tha: bashkimi bënë fuqinë."
Barku plot këmba lot,Elliptical proverb with two noun phrases; no finite verb; cause-effect relation expressed by juxtaposition.,"When someone is satisfied and well-fed, they become lively, carefree, or ready to celebrate.","Kur njeriu është i ngopur, bëhet i gëzuar e i lehtë.",B1,"feasts, weddings, family meals, humor, hospitality","colloquial-proverbial; humorous, warm","Listed among Piana degli Albanesi sayings; evokes Arbëresh hospitality, music, and dancing after communal meals.",/ˈbarku plɔt ˈkəmba lɔt/,"Pas makaronavet e mishit, daja nisi vallen: barku plot këmba lot.",Fëmijët nuk qanin më kur dolën nga kuzhina; barku plot këmba lot.,"Në dasmë, sapo u mbushën pjatat, u dëgjua kënga: barku plot këmba lot."
Djali pa lerë me brekët prerë,Elliptical nominal clause; unborn subject “djali pa lerë” plus participial/prepositional complement “me brekët prerë”.,Someone is preparing too early for something that has not happened yet; premature certainty or haste.,Mos u nxito para se puna të jetë e sigurt.,C1,"family teasing, planning, politics, business decisions, sarcasm","colloquial; humorous, ironic",A Piana degli Albanesi saying built on domestic imagery; the comic picture of trousers ready before a child is born criticizes premature planning.,/ˈdjali pa ˈlɛɾə mɛ ˈbɾɛkət ˈpɾɛɾə/,Ti bleve tavolinat para se të marrësh lokalin: djali pa lerë me brekët prerë.,"Kryetari premtoi fitore para votavet, dhe në gjitoni thanë: djali pa lerë me brekët prerë.","Mos porosit ftesat sot; ende s’është caktuar dita, djali pa lerë me brekët prerë."
"Kush nëng ka kryetë, ka shaddëtë",Conditional-like relative proverb; negative possession in first clause; balanced possession in second clause.,"A careless person must compensate with extra effort; if you forget or fail to think, you will have to run around fixing it.","Kush nuk mendon mirë, lodhet më shumë.",B2,"daily errands, parenting, school, workplace mistakes, practical advice",colloquial-proverbial; lightly scolding,Documented for Falconara Albanese; matches a broad Mediterranean village ethic that values foresight and practical intelligence.,/kuʃ nəŋ ka ˈkɾjɛtə ka ʃadˈdətə/,"Harrove çelësat dy herë; kush nëng ka kryetë, ka shaddëtë.","Nxënësi u kthye në shtëpi për librin, dhe mësuesja i tha me buzëqeshje: kush nëng ka kryetë, ka shaddëtë.","Në pazar mora vetëm gjysmën e listës; kush nëng ka kryetë, ka shaddëtë."
Gurë mbë gurë bëghet muri,Iterative prepositional noun phrase plus passive/medio-passive present verb “bëghet”; result noun “muri”.,"Large achievements are built gradually through small, steady steps.",Me punë të vogla e të vazhdueshme arrihet një rezultat i madh.,B1,"education, craft, construction, language learning, long projects","proverbial; patient, encouraging","Found in Falconara Albanese proverbial material; stone-wall imagery reflects rural building, patience, and collective labor.",/ˈɡuɾə mbə ˈɡuɾə ˈbəɡɛt ˈmuɾi/,Mëso nga dhjetë fjalë çdo ditë; gurë mbë gurë bëghet muri.,"Shtëpia e re nuk u ngrit me një javë, se gurë mbë gurë bëghet muri.","Arkivi i këngëvet u mbush ngadalë, gurë mbë gurë bëghet muri."
Rri ndënj ma thuaj ndreq,Imperative sequence; posture command “rri ndënj” followed by coordinated imperative “thuaj” with adverb “ndreq”.,Speak plainly and truthfully; do not decorate or twist the facts.,Ulu dhe thuaje të vërtetën qartë.,B2,"family disputes, testimony, classroom correction, mediation, advice","colloquial; direct, corrective",Recorded for Falconara Albanese; the seated posture suggests calm testimony before elders or family authority.,/rri ndənj ma ˈθuaj ndɾɛt͡ʃ/,Mos bëj rrotulla me fjalë; rri ndënj ma thuaj ndreq.,"Kur hyri djali në dhomë, i ati i tha: rri ndënj ma thuaj ndreq.","Para se të zemërohemi, rri ndënj ma thuaj ndreq çë ndodhi."
Venë përsùtetë te ku nëng janë torqe,Proverbial finite clause; plural subject “përsùtetë”; locative relative phrase “te ku”; negative existential predicate.,Resources or benefits often go to people who cannot use them or do not need them.,E mira shkon aty ku nuk shërben ose nuk vlerësohet.,C1,"social criticism, politics, economics, family property, satire","colloquial-proverbial; ironic, satirical",Falconara Albanese expression using cured-meat storage imagery; it criticizes misallocation in a household or community economy.,/ˈvɛnə pərˈsutɛtə tɛ ku nəŋ janə ˈtɔɾt͡ʃɛ/,Fondet vajtën te kush nuk kishte projekt: venë përsùtetë te ku nëng janë torqe.,I dhanë dhomën më të madhe atij çë nuk rri kurrë në shtëpi; venë përsùtetë te ku nëng janë torqe.,"Në zyrë morën pajisjet ata që nuk dinë t’i përdorin, prandaj plaku tha: venë përsùtetë te ku nëng janë torqe."
Pa brumë ngë bëghet bukë,Negative instrumental/prepositional proverb; “pa” plus noun; negative medio-passive present “ngë bëghet”.,"A result is impossible without the necessary material, preparation, or foundation.","Pa mjetet dhe përgatitjen e duhur, puna nuk bëhet.",A2,"cooking, work planning, education, project management, advice","neutral-proverbial; practical, instructive",Documented among Falconara Albanese sayings; bread-making vocabulary anchors the expression in domestic and agrarian Arbëresh life.,/pa ˈbɾumə ŋə ˈbəɡɛt ˈbukə/,"Mos kërko këngë pa këngëtarë, se pa brumë ngë bëghet bukë.",Për kursin duhen libra dhe kohë; pa brumë ngë bëghet bukë.,"Ata deshën festë pa punëtorë, por në katund dihet: pa brumë ngë bëghet bukë."
