Idiom (Abé),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Abé)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bé nɔ̀n kɛ̀ wá lɛ́ sɔ́,Fixed clause (subject + auxiliary + verb + locative),To show off or pretend to be more important than one is,To boast or act proud,B2,"Daily speech, humor","Colloquial, ironic",Commonly used in Gagnoa; derived from market culture describing those who ‘walk high’,[bɛ̀ nɔ̃̀ kɛ̀ wa lɛ sɔ́],Á dé bé nɔ̀n kɛ̀ wá lɛ́ sɔ́ ní wá ɓlé.,Mɔ̀n bé nɔ̀n kɛ̀ wá lɛ́ sɔ́ nà nàhɛ́.,Á dé bé nɔ̀n kɛ̀ wá lɛ́ sɔ́ nà ɲáhɛ́ ní sɔ́.
Kɔ́ tán bé nà ɓlé,Fixed nominal phrase,To remain silent despite knowing the truth,To stay quiet,B1,"Family, workplace, politics","Colloquial, cautious",Used in communal meetings; reflects respect for elders’ discretion,[kɔ́ tã̀ bɛ̀ na ɓle],Á dé kɔ́ tán bé nà ɓlé ní nà mɔ̀n.,Mɛ̀n nɔ̀n kɔ́ tán bé nà ɓlé ní bé sɔ́.,Ná dé kɔ́ tán bé nà ɓlé ní ɲáhɛ́.
Mɛ̀n bɔ̀n wá nà ɓlé,Fixed clause (subject + verb + complement),To fail at something despite high confidence,To mess up or fail,B2,"Daily life, humor","Ironic, humorous",Originates from traditional games where overconfident players lose quickly,[mɛn bɔ̀n wa na ɓle],Á dé mɛ̀n bɔ̀n wá nà ɓlé ní ɓlé wá.,Mɔ̀n nɔ̀n mɛ̀n bɔ̀n wá nà ɓlé ní.,Á dé bé mɛ̀n bɔ̀n wá nà ɓlé nà ɲáhɛ́.
Á nɔ̀n bé tán ní bɔ̀n,Subordinate clause (subject + auxiliary + main clause),To gossip about someone,To talk behind someone’s back,B1,"Family, workplace, community","Colloquial, sarcastic",Reflects social gatherings and indirect communication norms,[a nɔ̃̀ bɛ̀ tã ni bɔ̃̀],Á dé nɔ̀n bé tán ní bɔ̀n nà mɛ̀n.,Mɛ̀n nɔ̀n bé tán ní bɔ̀n bé nà wá.,Á dé bé tán ní bɔ̀n bé ɲáhɛ́ ní.
Bé ká ɲáhɛ́ kɔ́ sɔ́,Verbal phrase (auxiliary + object + complement),To be patient and calm under stress,To stay calm,A2,"Education, advice, family","Formal, gentle",Taught in Abé proverbs about patience; linked to self-control,[bɛ̀ ka ɲahe kɔ sɔ́],Á dé bé ká ɲáhɛ́ kɔ́ sɔ́ ní nà bɔ̀n.,Mɛ̀n nɔ̀n bé ká ɲáhɛ́ kɔ́ sɔ́ ní bɛ̀ sɔ́.,Á dé bé ká ɲáhɛ́ kɔ́ sɔ́ ní wá.
Wò ɓlé nɔ̀n bé sɔ́,Fixed phrase (possessive pronoun + noun + predicate),To betray someone’s trust,To deceive someone,C1,"Politics, social relations, humor","Ironical, serious",Used in contexts of broken alliances or friendships; rooted in community trust systems,[wɔ ɓle nɔ̃̀ bɛ sɔ́],Wò ɓlé nɔ̀n bé sɔ́ ní mɛ̀n.,Á dé wò ɓlé nɔ̀n bé sɔ́ ní nà bɔ̀n.,Mɛ̀n nɔ̀n wò ɓlé nɔ̀n bé sɔ́ ní ɲáhɛ́.
Mɔ̀n nɔ̀n bé wá nà bɔ̀n,Subordinate clause (subject + auxiliary + verb + complement),To act prematurely or rush a decision,To act too soon,B2,"Workplace, humor","Colloquial, ironic",Linked to the Abé farming cycle — planting before the rain was seen as folly,[mɔ̃̀ nɔ̃̀ bɛ wa na bɔ̃̀],Á dé mɔ̀n nɔ̀n bé wá nà bɔ̀n ní wá.,Mɛ̀n nɔ̀n bé wá nà bɔ̀n ní nà ɓlé.,Ná dé bé wá nà bɔ̀n ní bé sɔ́.
Tán bé ɲáhɛ́ wá,Simple clause (verb + object + complement),To speak wisely or make a sharp remark,To say something wise,C1,"Elders’ speech, literature, public life","Poetic, formal",Used in ceremonial speech; symbolizes verbal mastery,[tã̀ bɛ ɲahe wa],Á dé tán bé ɲáhɛ́ wá ní mɔ̀n.,Mɛ̀n nɔ̀n tán bé ɲáhɛ́ wá ní nà ɓlé.,Ná dé tán bé ɲáhɛ́ wá ní bé sɔ́.
Á dé bé kɔ̀n ɓlé sɔ́,Compound clause (subject + auxiliary + verb + complement),To take credit for others’ work,To claim others’ success,B2,"Politics, workplace, satire","Sarcastic, formal",Common in political talk; originated from clan rivalry speeches,[a de bɛ kɔ̃ ɓle sɔ́],Á dé bé kɔ̀n ɓlé sɔ́ ní wá.,Mɛ̀n nɔ̀n bé kɔ̀n ɓlé sɔ́ ní nà bɔ̀n.,Ná dé bé kɔ̀n ɓlé sɔ́ ní ɲáhɛ́.
Bé ɲáhɛ́ nɔ̀n tán sɔ́,Complex clause (subject + auxiliary + verb + complement),To be confused or overwhelmed,To lose focus,A2,"Education, family, stress situations","Colloquial, reflective",Associated with youth education idioms about distraction and focus,[bɛ ɲahe nɔ̃ tã sɔ́],Á dé bé ɲáhɛ́ nɔ̀n tán sɔ́ ní ɲáhɛ́.,Mɛ̀n nɔ̀n bé ɲáhɛ́ nɔ̀n tán sɔ́ ní bé wá.,Ná dé bé ɲáhɛ́ nɔ̀n tán sɔ́ ní nà bɔ̀n.
