Idiom (Acadian French),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Acadian French)",First Example Sentence,Second Example Sentence,Third Example Sentence
Péter sa coche,Pronominal verb phrase,To lose one's temper explosively,Se fâcher soudainement,B2,"Daily speech, family, humor","Colloquial, humorous","Common across the Maritimes, linked to vehicular slang (coche = car)",[ˈpe.tɛʁ sa ˈkɔʃ],"Quand mon frère a vu sa note, y a pété sa coche pour vrai.","Si t’oublies encore le lait, j’vas péter ma coche, là!",Le prof a pété sa coche en plein milieu du cours devant toute la classe.
Avoir la langue bien pendue,Fixed clause with idiomatic subject,To be very talkative or outspoken,Parler beaucoup ou facilement,B1,"Workplace, humor, sarcasm","Colloquial, ironic",Widely used among elders in the Acadian Peninsula,[a.vwaʁ la lɑ̃ɡ bjɛ̃ pɑ̃.dy],Ma tante Rolande a ben la langue bien pendue quand elle commence.,"Ce gars-là a la langue bien pendue, pis y retient rien.","J’aime pas parler avec elle, elle a trop la langue bien pendue."
Être dans la lune,Fixed clause (être + locative),To be distracted or daydreaming,Être inattentif,A2,"School, family, literature","Colloquial, poetic",Borrowed from continental French but well-integrated in Acadian discourse,[ɛtʁ dɑ̃ la lyn],Mon oncle disait toujours que j’étais dans la lune au lieu d’écouter.,Elle est encore dans la lune ce matin — café pas fait?,"Quand il pense à elle, il est ben dans la lune."
Avoir les yeux dans la graisse de binnes,Figurative phrase with definite article,To look tired or groggy,Avoir l’air fatigué,B2,"Morning routines, workplace, humor","Colloquial, humorous","Typical to New Brunswick; binnes = beans, from English ‘beans’",[a.vwaʁ lez‿jø dɑ̃ la ɡʁɛs də bɪn],T’as les yeux dans la graisse de binnes ce matin!,"Après son quart de nuit, il avait ben les yeux dans la graisse de binnes.",Pas dormi? T’as l’air d’avoir les yeux dans la graisse de binnes.
Se pogner le beigne,Reflexive verb phrase,To do nothing or to loaf around,Ne rien faire du tout,B1,"Workplace, school, sarcasm","Colloquial, sarcastic","Modern idiom in Moncton youth culture, likely derived from ‘beigne’ = donut",[sə pɔ.ɲe lə bɛɲ],"Y fait rien, il fait juste se pogner le beigne toute la journée.",Arrête de te pogner le beigne pis donne-moi un coup de main!,"On était là à se pogner le beigne, à rien faire."
Courir comme un poulet sans tête,Simile with subordinate clause,To act frantically or without direction,Courir dans tous les sens,C1,"Stress, workplace, family","Colloquial, ironic",Rural imagery found in Kent County and elsewhere,[ku.ʁiʁ kɔm œ̃ pu.lɛ sɑ̃ tɛt],"Depuis qu’elle a perdu son cell, elle court comme un poulet sans tête.",J’me sens comme un poulet sans tête avant le souper de Noël.,Le directeur courait comme un poulet sans tête le jour de l’inspection.
Y mouille à boire debout,Impersonal clause,It’s raining very heavily,Il pleut fort,A2,"Weather, daily speech","Colloquial, rural",Very local to Acadian rural regions in Nova Scotia and NB,[i mu.ja bwaʁ də.bu],R’garde donc ça! Y mouille à boire debout!,"Prends ton imper, y mouille à boire debout dehors!","Pas question d’aller là, y mouille à boire debout!"
Virer sur un dix cennes,Infinitive clause with preposition,To turn quickly or change direction abruptly,Changer rapidement d’idée ou de direction,C1,"Driving, decision-making, sarcasm","Colloquial, idiomatic",Based on Canadian coin imagery (10 cents = ‘dix cennes’),[vi.ʁe syʁ œ̃ dis sɛn],Y a viré sur un dix cennes quand il a vu la facture.,"Fais attention, cette char-là vire sur un dix cennes.",Elle a viré sur un dix cennes pis elle est partie.
Faire la baboune,Fixed expression with definite noun,To sulk or pout visibly,Faire la moue,A2,"Family, children, school","Colloquial, informal",‘Baboune’ is a uniquely Acadian term for a pouty face,[fɛʁ la ba.bun],"Laisse-le, y fait encore la baboune parce qu’il a perdu.",Ma sœur faisait la baboune toute la soirée.,"Y fait la baboune pour un rien, lui!"
Se faire passer un sapin,Reflexive passive with direct object,To get tricked or scammed,Se faire arnaquer,C2,"Politics, workplace, sarcasm","Colloquial, ironic",Used in political discourse and family debates,[sə fɛʁ pɑ.se œ̃ sa.pɛ̃],Ils m’ont passé un sapin avec ce contrat-là!,Faut pas te faire passer un sapin par les vendeurs.,Elle s’est fait passer un sapin en louant cet appart-là.
