Idiom (Tunisian Arabic),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tunisian Arabic)",First Example Sentence,Second Example Sentence,Third Example Sentence
يا خشم البقرة وين ما تمشي يفضحك الحليب,"Fixed clause, declarative",A person cannot hide their true nature,Your true character will always show,C1,"Daily speech, sarcasm","Colloquial, sarcastic",Agricultural communities where cows were common; relates to honesty,/jaː xʃem elˈbæqra wiːn maː ˈtimʃi jifˈdˤaħek elħəˈliːb/,ما تصدقوش كلامه، يا خشم البقرة وين ما تمشي يفضحك الحليب.,حاول يتظاهر بالجدية، أما يا خشم البقرة وين ما تمشي يفضحك الحليب.,حتى كي يلبس بدلة، يا خشم البقرة وين ما تمشي يفضحك الحليب.
يضرب عصفورين بحجرة,"Fixed clause, active voice",Achieve two goals with one action,To accomplish two tasks at once,B1,"Daily speech, work",Colloquial,Common in Arabic; reflects tactical wisdom,/jiːðˤrəb ʕasˤfuːˈreːn bħaːʒra/,كي خذيت الكونجي في العيد، ضربت عصفورين بحجرة.,قريت وارتحت، ضربت عصفورين بحجرة.,اشترى هدية وعمل دورة، ضرب عصفورين بحجرة.
الحوت يفسد من راسو,"Fixed clause, declarative",Corruption starts from the top,Leadership is the root of organizational issues,C2,"Politics, workplace, social critique","Colloquial, critical","Derived from fish spoilage, used metaphorically for corruption",/elħuːt jifˈsəd men ˈraːsu/,الإدارة خايبة، الحوت يفسد من راسو.,كي تشوف المشاكل، تفتكر الحوت يفسد من راسو.,ما تلومش الموظف، الحوت يفسد من راسو.
اللي فات مات,"Fixed clause, past tense",Let bygones be bygones,The past is over,A2,"Daily speech, reconciliation, advice","Colloquial, consoling",Widely used across Arab world to encourage emotional healing,/elli faːt maːt/,ما تبكيش، اللي فات مات.,ما تحكيش عليه، اللي فات مات.,ننسى الخلاف، اللي فات مات.
ينفخ في قربة مشقوقة,Verb phrase with prepositional object,Wasting effort on a hopeless case,To put effort into something doomed to fail,B2,"Workplace, family, frustration","Colloquial, ironic",Traditional musical or water bags; leaking air/water used metaphorically,/jinfuχ fiː ˈɡirba mʃəˈquːqa/,تحاول تصلحو؟ تنفخ في قربة مشقوقة.,تعاود تشرح وهو ما يسمعش؟ تنفخ في قربة مشقوقة.,نحكي معاهم؟ نحنا نعرف، تنفخ في قربة مشقوقة.
الكلب اللي يعوي ما يعضّش,Conditional clause,Those who make noise rarely act,Barking dogs seldom bite,B1,"Daily speech, advice, confrontation","Colloquial, metaphorical",Common animal behavior metaphors in Maghreb oral tradition,/elkælb elli jʕaːwiː maː jʕadˤːiʃ/,ما تخافش من تهديداته، الكلب اللي يعوي ما يعضّش.,يحكي برشة، أما الكلب اللي يعوي ما يعضّش.,ما تقلقش، الكلب اللي يعوي ما يعضّش.
جاب الذيب من ذيلو,"Verb phrase, past tense",Accomplished something very difficult,Did the impossible,C1,"Admiration, humor, exaggeration","Colloquial, poetic","Reflects North African storytelling, exaggeration for effect",/ʒaːb edˤːiːb men ðejlu/,نجح في الامتحان؟ جاب الذيب من ذيلو!,كيفاش لقاها؟ جاب الذيب من ذيلو.,عملها؟ جاب الذيب من ذيلو والله!
الطاسور يغني للميّت,"Fixed clause, present tense",Efforts made for an unresponsive audience,Like preaching to the choir,C2,"Politics, culture, resignation","Colloquial, ironic, poetic","From Sufi or funeral traditions, lamentation practices",/ettɑːsuːr jiɣanːi lelˈmejjit/,تحكي معاهم؟ الطاسور يغني للميّت.,هكا كلام؟ الطاسور يغني للميّت.,صوتك ما يوصلش، الطاسور يغني للميّت.
يطيّح الدمعة ووراه ضحكة,"Conjoined clause, present tense",Feigning sadness while hiding true feelings,Crocodile tears,B2,"Family, sarcasm, emotion","Colloquial, ironic","Related to emotional manipulation, a common theme in Tunisian family dynamics",/jiˈtˤajjəħ edˤːamʕa wuːraːh dˤiħka/,تبكي فينا؟ يطيّح الدمعة ووراه ضحكة.,ما تغترش، يطيّح الدمعة ووراه ضحكة.,في الدراما؟ يطيّح الدمعة ووراه ضحكة.
يبيع الماء في حومة السقايين,"Verb phrase, present tense",Offering something useless to those who already have it,Carrying coals to Newcastle,C1,"Sarcasm, workplace, trade","Colloquial, ironic",Saqayeen were traditional water sellers; ironic twist when done in their own area,/jibiːʕ elmaː fiː ħuːmat essəqqajjiːn/,تعلمهم؟ تبيع الماء في حومة السقايين.,نفس النصيحة؟ تبيع الماء في حومة السقايين.,عاود نفس الكلام؟ تبيع الماء في حومة السقايين.
