Idiom (Akkadian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Akkadian)",First Example Sentence,Second Example Sentence,Third Example Sentence
ina qāt ilim napšatam ittabši,Prepositional clause with a perfect verb form,To be blessed or to succeed beyond human power,He succeeded with divine help,C1,"Religious texts, blessings, formal discourse","Formal, poetic",Temple inscriptions and royal blessings from Babylonian contexts,ina qaːt ʔilˈim napʃaˈtam ʔittabʃi,šarrum īmur ana mārīšu ina qāt ilim napšatam ittabši.,awīlum iqbi ana ilim: 'ina qāt ilim napšatam ittabši ana dārum.',ina ṭuppim ša ēkallim ittabši kīma: 'ina qāt ilim napšatam ittabši.'
šumšu kīma kakkī ina libbi bēlim,Simile clause introduced by kīma with locative phrase,He is dangerous or temperamental like a weapon in his master’s hand,He is unpredictable and volatile,C2,"Military, politics, oral storytelling","Colloquial, ironic",Used in warrior culture and satirical epics,ʃumʃu kiːma kakˈki ina libˈbi beːlim,awīlum ša īmur kīma kakkī ina libbi bēlim lā tušēššu.,"šarrum iqbi: 'lā tēzibšu, šumšu kīma kakkī ina libbi bēlim.'","ina ālim qātūšu īmurū, šumšu kīma kakkī ina libbi bēlim."
kīma nārim īlul mūšu,Comparative simile with verb in perfect tense,The night passed swiftly or time flew by,The night passed quickly,B2,"Daily speech, letters, reflective writing","Poetic, neutral",Common in love poetry and letters,kiːma naːrim ʔiːlul muːʃu,mārī awīlim iqbi: 'kīma nārim īlul mūšu ušēš ana ūmim.',mūšu illik kīma nārim īlul.,šarratum iqbi: 'mūšu illik kīma nārim īlul ana nūram.'
lā tebbi šumšu ša ilim,Negative imperative with possessive clause,Do not invoke a god’s name in vain,Do not swear falsely or misuse divine words,C1,"Religious, ethical speech","Formal, moralistic",Originates in priestly laws and omen texts,laː tebˈbi ʃumˈʃu ʃa ʔilˈim,bēlum iqbi ana wardīšu: 'lā tebbi šumšu ša ilim.',"šarrum īmur: 'lā tebbi šumšu ša ilim, ina qāti ana dīnim!'","ṭupšarru ittabši: 'lā tebbi šumšu ša ilim, māti tušēš.'"
"māru lā īmur, ālum lā iktūm",Parallel negation with nominal subject,"Without a son, a city is desolate",A family or city without heirs will fall,B2,"Proverbs, moral teachings, family discourse","Moralistic, proverbial",Common proverb in Old Babylonian wisdom literature,"maːru laː ʔiːmur, ʔaːlum laː ʔiktuːm","šarrum iqbi: 'māru lā īmur, ālum lā iktūm.'","ina ṭuppim ša bēl napištim ittabši: 'māru lā īmur, ālum lā iktūm.'","awīlum ana mārīšu īmur: 'lā tēzib, māru lā īmur, ālum lā iktūm.'"
ina qāt šadî ūmu lā nēpuš,Locative prepositional phrase with negative infinitive,Nothing can be achieved without effort,Success requires hard work,B1,"Wisdom literature, daily speech, workplace advice","Proverbial, motivational",Common proverb among merchants and scribes,ina qaːt ʃadiː ʔuːmu laː neːpuʃ,awīlum iqbi ana mārīšu: 'ina qāt šadî ūmu lā nēpuš.',ṭupšarru išṭur: 'ina qāt šadî ūmu lā nēpuš ana balāṭ napišti.',"šarratum iqbi: 'ina qāt šadî ūmu lā nēpuš, kīma šadî īmur.'"
"ilum lā izziz, awīlum lā īšēš",Parallel negative verbs with coordination,"Even gods falter, and men fail",Everyone makes mistakes,B2,"Philosophical writing, consolation, rhetoric","Poetic, reflective",Attributed to Neo-Assyrian wisdom texts,"ʔilum laː ʔizziz, ʔawiːlum laː ʔiːʃeːʃ","awīlum iqbi: 'ilum lā izziz, awīlum lā īšēš.'","ina ṭuppim ša nēpešam ittabši: 'ilum lā izziz, awīlum lā īšēš.'","šarrum īmur ana ummānīšu: 'ilum lā izziz, awīlum lā īšēš.'"
"kīma ēni ša ilu, māti īmur",Simile clause with comparative genitive,He sees the land as a god’s eye sees — clearly and wisely,He has insight or divine understanding,C2,"Praise, leadership, divination texts","Formal, reverential",Used in royal inscriptions praising kings’ wisdom,"kiːma ʔeːni ʃa ʔilˈu, maːti ʔiːmur",šarrum īmur māti kīma ēni ša ilu.,"ṭupšarru išṭur: 'šarrum īmur kīma ēni ša ilu, lā ḫaṭû.'",awīlum iqbi: 'mārīya īmur māti kīma ēni ša ilu.'
qātam ana šamê tēšēš,Verb phrase with directional preposition,To strive for greatness or seek divine favor,To aim high or pursue lofty goals,B2,"Inspirational, religious, educational speech","Formal, uplifting",Common in hymns and wisdom poetry,qaːtam ana ʃameː teːʃeːʃ,"awīlum iqbi ana mārīšu: 'qātam ana šamê tēšēš, lā iparras.'","šarratum īmur: 'qātam ana šamê tēšēš, ana balāṭ napišti.'",ṭupšarrum išṭur: 'qātam ana šamê tēšēš ana ilu.'
"awīlum ša lā ibassi, lā iššakkan kaspam",Conditional relative clause with negation,A man who is not wise cannot keep his wealth,Foolishness leads to poverty,B1,"Proverbial sayings, business advice","Moralistic, practical",Found in economic texts and didactic proverbs,"ʔawiːlum ʃa laː ʔibassi, laː ʔiʃʃakkan kasˈpam","ṭupšarru ittabši: 'awīlum ša lā ibassi, lā iššakkan kaspam.'","šarrum iqbi: 'lā tēpuš kīma awīlum ša lā ibassi, lā iššakkan kaspam.'","awīlum īmur: 'awīlum ša lā ibassi, lā iššakkan kaspam, dīnī lā īmur.'"
