Idiom (Yanesha'),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Yanesha')",First Example Sentence,Second Example Sentence,Third Example Sentence
Tsineñ yomañets tsonñats pajroñcheñ,Fixed clause; transitive structure,To hide true intentions or feelings.,To pretend or not show one’s real emotions.,B2,"Daily speech, irony, family advice","Colloquial, ironic",Refers to the Yanesha’ custom of modesty and indirectness in speech.,[tsineʔ jomaɲets tsõɲats paxɾoɲtʃeɲ],Noya’t tsineñ yomañets tsonñats pajroñcheñ pa’tsañcheñ oyamets.,Ñame’tña oyemets tsineñ yomañets tsonñats pajroñcheñ oyaneñ.,Tsaña’tña oyemets tsineñ yomañets tsonñats pajroñcheñ oyapayeñ.
Pajroñcheñ atso’mets oyamets,Fixed verb phrase; habitual aspect,To act without thinking or to rush decisions.,To act impulsively.,B1,"Youth, humor, daily life","Colloquial, humorous",Linked to the Yanesha’ teaching of patience as virtue.,[paxɾoɲtʃeɲ atsomets ojamets],Mats’ñanñe oyaneñ pajroñcheñ atso’mets oyamets.,Amiña’tña oyemets pajroñcheñ atso’mets oyamets oyaneñ.,Ño’tsa’tña oyemets pajroñcheñ atso’mets oyamets oyaneñ pajroñcheñ.
Tsameñatañ pa’ñets oyemets,Verb phrase; reflexive use,To be proud or boastful.,To show off.,B2,"Social, irony, moral teachings","Ironic, moralistic",Used in traditional tales warning against arrogance.,[tsameɲataɲ paɲets ojemets],Yopayeñ oyaneñ tsameñatañ pa’ñets oyemets.,Mats’ñanñe oyaneñ tsameñatañ pa’ñets oyemets oyaneñ.,Ñame’tña oyemets tsameñatañ pa’ñets oyemets pajroñcheñ.
Noya’t ñomeñcheñ yomañets,Fixed clause; active voice,To be careless or inattentive.,To not pay attention.,A2,"Family, education, discipline","Colloquial, admonishing",Originates from advice by elders during communal work.,[nojaʔ ɲomeɲtʃeɲ jomaɲets],Ñame’tña oyemets noya’t ñomeñcheñ yomañets oyaneñ.,Amiña’tña oyaneñ noya’t ñomeñcheñ yomañets oyaneñ pajroñcheñ.,Tsaña’tña oyemets noya’t ñomeñcheñ yomañets oyamets.
Tsapoñcheñ yopa’tsoñcheñ,Compound verb; reciprocal construction,To make peace after conflict.,To reconcile or forgive each other.,B1,"Social, conflict resolution, family","Neutral, reflective",Traditional concept symbolizing social harmony after disagreements.,[tsapoɲtʃeɲ jopatsõɲtʃeɲ],Mats’ñanñe oyaneñ tsapoñcheñ yopa’tsoñcheñ oyemets.,Pa’tsoñcheñ oyaneñ oyemets tsapoñcheñ yopa’tsoñcheñ.,Yopayeñ oyamets oyaneñ tsapoñcheñ yopa’tsoñcheñ.
Atsañcheñ oyemets yomañets poyeñ,Verb phrase; progressive aspect,To be hard-working or persistent.,To work diligently.,A2,"Work, education, family","Colloquial, praiseful",Associated with Yanesha’ communal work ethics and perseverance.,[atstaɲtʃeɲ ojemets jomaɲets pojeɲ],Noya’t oyaneñ atsañcheñ oyemets yomañets poyeñ pajroñcheñ.,Pa’tsoñcheñ oyaneñ oyemets atsañcheñ oyemets yomañets poyeñ.,Amiña’tña oyaneñ oyemets atsañcheñ oyemets yomañets poyeñ.
Ñame’tña oyemets ñatsñats oyaneñ,Verb phrase; iterative structure,To gossip or talk behind someone’s back.,To spread rumors.,B2,"Social, humor, moral discussions","Colloquial, humorous",Rooted in cautionary tales about honesty and trust.,[ɲametɲa ojemets ɲatsɲats ojaneɲ],Tsaña’tña oyemets ñame’tña oyemets ñatsñats oyaneñ pajroñcheñ.,Pa’tsoñcheñ oyaneñ oyemets ñame’tña oyemets ñatsñats oyaneñ.,Mats’ñanñe oyamets oyaneñ ñame’tña oyemets ñatsñats oyaneñ.
Yopayeñ oyaneñ oyatsañcheñ pajroñcheñ,Fixed clause; declarative,To give one’s best effort.,To try hard.,A2,"Motivational, family, education","Encouraging, colloquial",Commonly used by elders encouraging youth to work or study.,[jopajeɲ ojaneɲ ojatstaɲtʃeɲ paxɾoɲtʃeɲ],Noya’t oyaneñ yopayeñ oyaneñ oyatsañcheñ pajroñcheñ oyamets.,Mats’ñanñe oyamets oyaneñ yopayeñ oyaneñ oyatsañcheñ pajroñcheñ.,Ñame’tña oyemets yopayeñ oyaneñ oyatsañcheñ pajroñcheñ oyaneñ.
Ño’tsa’tña oyaneñ yomañets oyemets,Declarative sentence; active voice,To speak truthfully and bravely.,To be honest and direct.,B1,"Moral, political, public speech","Formal, moralistic",Reflects communal respect for sincerity and moral strength.,[ɲotsatɲa ojaneɲ jomaɲets ojemets],Pa’tsoñcheñ oyaneñ oyemets ño’tsa’tña oyaneñ yomañets oyemets.,Amiña’tña oyemets ño’tsa’tña oyaneñ yomañets oyemets oyaneñ.,Yopayeñ oyamets ño’tsa’tña oyaneñ yomañets oyemets pajroñcheñ.
Tsaña’tña oyaneñ ñameñets oyamets,Fixed clause; habitual aspect,To repeat mistakes or ignore advice.,To not learn from experience.,B2,"Elders’ speech, education, discipline","Admonishing, reflective","Common in oral storytelling, emphasizing wisdom and learning.",[tsanatɲa ojaneɲ ɲameɲets ojamets],Ñame’tña oyemets tsaña’tña oyaneñ ñameñets oyamets pajroñcheñ.,Mats’ñanñe oyamets oyaneñ tsaña’tña oyaneñ ñameñets oyamets.,Noya’t oyaneñ oyemets tsaña’tña oyaneñ ñameñets oyamets.
