Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Andean Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Más perdido que cuy en tómbola,Comparative simile (fixed phrase),Estar completamente desorientado o confundido.,Muy confundido o desubicado.,B2,"humor, conversación diaria","coloquial, humorístico","Hace referencia al cuy (conejillo de indias), típico de la región andina, y a su uso en juegos de azar tradicionales como la tómbola.",[mas peɾˈdiðo ke kuj en ˈtomβola],Estaba más perdido que cuy en tómbola cuando llegamos a Lima.,"En la reunión, Juan estaba más perdido que cuy en tómbola con tanta jerga técnica.","Cada vez que habla inglés, se le ve más perdido que cuy en tómbola."
Estar como cancha,Verb phrase with prepositional simile,Haber algo en gran cantidad o abundancia.,Estar en abundancia.,A2,"vida cotidiana, humor, economía informal",coloquial,"La ‘cancha’ es el maíz tostado típico del Perú, muy abundante y barato.",[esˈtaɾ ˈkomo ˈkanʃa],Aquí hay plata como cancha en época de turismo.,"Después de las lluvias, hay mosquitos como cancha.",Esa chica tiene seguidores como cancha en su cuenta de TikTok.
Se le fue el alma al cuerpo,Reflexive passive structure,Sentir gran alivio después de una situación estresante.,Se sintió aliviado.,B1,"familiar, literatura, emociones","coloquial, expresivo",Expresa una cosmovisión andina del alma como ente que puede separarse del cuerpo bajo tensión.,[se le ˈfwe el ˈalma al ˈkweɾpo],"Cuando vio que su hijo estaba bien, se le fue el alma al cuerpo.","Después del sismo, se me fue el alma al cuerpo al ver mi casa en pie.","Recién cuando recibió el resultado negativo, se le fue el alma al cuerpo."
Más lento que procesión de Semana Santa,Comparative simile (fixed phrase),Algo muy lento o que tarda mucho.,Extremadamente lento.,B2,"humor, crítica social, conversación diaria","irónico, coloquial",Basado en las procesiones religiosas tradicionales del Cusco durante Semana Santa.,[mas ˈlento ke pɾoseˈsjon de semana ˈsanta],Este internet está más lento que procesión de Semana Santa.,Tu primo llega más lento que procesión de Semana Santa.,La fila en la municipalidad va más lento que procesión de Semana Santa.
No saber ni papa,Negative clause with noun emphasis,No saber nada sobre un tema.,No tener ningún conocimiento.,A2,"estudio, conversación informal, crítica humorística","coloquial, humorístico",La papa es un alimento básico andino; usada aquí para enfatizar lo ‘básico’ que no se sabe.,[no saˈβeɾ ni ˈpapa],No sabe ni papa de computación.,Entré al examen y no sabía ni papa.,Mi tío no sabe ni papa de inglés pero igual lo intenta.
Hacerse el lornas,"Reflexive verb phrase, colloquial fixed expression",Pretender no entender o hacerse el desentendido para evitar responsabilidades.,Fingir ignorancia.,B2,"sarcasmo, humor, vida cotidiana","coloquial, sarcástico","Término popular en Perú, ‘lornas’ deriva de 'loro', en alusión a hacerse el hablador inocente o tonto.",[aˈseɾse el ˈloɾnas],"Cuando le pregunté por el dinero, se hizo el lornas.","No te hagas el lornas, ya sé que tú rompiste el florero.","Cada vez que hay trabajo duro, Juan se hace el lornas."
Tener más rollo que película peruana,"Comparative clause, humorous simile",Tener muchas complicaciones o hablar demasiado sin ir al grano.,Ser muy enredado o verboso.,C1,"humor, crítica cultural, conversación sarcástica","coloquial, irónico",Juega con la percepción de que las películas peruanas pueden ser lentas o excesivamente explicativas.,[teˈneɾ mas ˈroʝo ke peliˈkula peˈɾwana],Ese plan tiene más rollo que película peruana.,"Cuando explica, el profe tiene más rollo que película peruana.",Esa telenovela tiene más rollo que película peruana.
Estar misio,"Stative verb phrase (estar + adjective, regional slang)",No tener dinero.,Estar sin plata.,A2,"vida estudiantil, juventud, economía informal","coloquial, juvenil",‘Misio’ es jerga peruana popular entre jóvenes para referirse a la falta de dinero.,[esˈtaɾ ˈmisjo],No salgo porque estoy misio.,Quería comprar entrada pero estoy misio.,"Siempre a fin de mes, termino misio."
Sacar cara por alguien,Verb phrase with prepositional complement,"Defender o apoyar a alguien, especialmente en su ausencia.",Defender a alguien.,B1,"amistad, familia, política","coloquial, solidario","Muy usado en todo el Perú, implica lealtad y compromiso emocional.",[saˈkaɾ ˈkaɾa poɾ ˈalɣjen],Mi mejor amigo siempre saca cara por mí en el trabajo.,Ella sacó cara por su hermano en la reunión.,"No esperaba que sacara cara por mí, me sorprendió."
Más salado que papa de caldo,Comparative simile with possessive noun,Tener muy mala suerte.,Ser muy desafortunado.,B2,"humor, desgracia cotidiana, superstición","coloquial, irónico","Hace referencia a la papa cocida en sopa, que suele absorber mucha sal y ‘sufrir’ en el caldo.",[mas saˈlaðo ke ˈpapa de ˈkaldo],Ese chico está más salado que papa de caldo: se le fue el bus y llovió.,"Cada vez que juega, pierde. Está más salado que papa de caldo.",Compró un celular nuevo y se le cayó. ¡Más salado que papa de caldo!
