Idiom (Kotava),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kotava)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tura ni vola,"Fixed clause, negation structure",It means something is futile or impossible.,It cannot be done.,B1,"Daily speech, frustration",Colloquial,From early Kotava proverbs expressing futility.,ˈtuɾa ni ˈvola,"Ta meva dreta ni vota, tura ni vola.","Mevo dral atena ju, tura ni vola.","Avena ta dreta ju, tura ni vola."
Meva jova ni tala,"Declarative clause, negation particle ‘ni’",Said when someone is not telling the truth.,You are lying.,B2,"Humor, irony, everyday talk",Ironic,Modern idiom from youth speech in Kotava cities.,ˈmeva ˈjova ni ˈtala,"Eya dreta mevo ni vera, meva jova ni tala.","Tu jona ni dreta, meva jova ni tala.","Meva ni tala, meva jova ni tala."
Evo tami ta dreta,Imperative expression with demonstrative ‘ta’,Encouragement to continue or act bravely.,Keep going bravely.,A2,"Motivational, workplace, sports",Encouraging,Common expression in Kotava sports culture.,ˈevo ˈtami ta ˈdɾeta,"Evo tami ta dreta, vare jona ju!","Evo tami ta dreta, vare ta lorka!","Evo tami ta dreta, vare ta ju!"
Nomi jona ju,Imperative verb phrase with negative particle,Used to tell someone to calm down or stop.,Calm yourself.,A2,"Family, friendship, informal talk",Colloquial,Derived from family talk traditions.,ˈnomi ˈjona ʒu,"Nomi jona ju, eya ni dral ta re.","Nomi jona ju, tura ni dreta.","Nomi jona ju, vare dral meva vota."
Vora ta meva vota,Nominal phrase with reflexive possession,Expression of pride in one’s own effort.,I’m proud of what I did.,B1,"Workplace, personal reflection",Formal,From professional pride expressions.,ˈvoɾa ta ˈmeva ˈvota,"Vora ta meva vota, ni ta mevo dreta ju.","Vora ta meva vota, dral ta lorka.","Vora ta meva vota, vare ta lorka."
"Lorka ta vota, dreta ta jova",Parallel clause with conjunction,Means balance between work and pleasure.,Balance your duties and joy.,C1,"Philosophical, literature, workplace",Philosophical,Ancient proverb emphasizing balance.,"ˈloɾka ta ˈvota, ˈdɾeta ta ˈjova","Lorka ta vota, dreta ta jova, vare tura vota.","Lorka ta vota, dreta ta jova, vare vora ju.","Lorka ta vota, dreta ta jova, vare ta re."
Tava dreta ni vora,Negative declarative sentence,Said when an attempt will fail or has no chance.,It will not succeed.,B2,"Sarcasm, daily speech",Sarcastic,"Postmodern Kotava humor, early 21st century.",ˈtava ˈdɾeta ni ˈvoɾa,"Tava dreta ni vora, ju mevo ta lorka.","Tava dreta ni vora, vare dral ni ju.","Tava dreta ni vora, vare ta ju vota."
Eya ta jona ni meva re,Possessive reflexive clause,Means someone has no control over another person.,You cannot control them.,C1,"Family, relationships",Ironic,Popular relationship saying in Kotavina.,ˈeja ta ˈjona ni ˈmeva ɾe,"Eya ta jona ni meva re, vare vota.","Eya ta jona ni meva re, dreta ju.","Eya ta jona ni meva re, vare ta dreta."
Ta lenk drova aven kotava,"Fixed proverb, declarative structure",Used to affirm the uniqueness of the Kotava language.,Kotava is unique.,B1,"Cultural pride, education, linguistics",Formal,National linguistic motto of Kotava movement.,ta ˈleŋk ˈdɾova ˈaven koˈtava,"Ta lenk drova aven kotava, vare lorka ju.","Ta lenk drova aven kotava, vare vota ju.","Ta lenk drova aven kotava, vare ta meva."
Mevo dreta ta ju kora,Complex clause with embedded action verb,Means to take decisive action without hesitation.,Act firmly and confidently.,C2,"Politics, leadership, military",Assertive,Used historically in political discourse.,ˈmevo ˈdɾeta ta ʒu ˈkoɾa,"Mevo dreta ta ju kora, vare dreta vota.","Mevo dreta ta ju kora, vare dreta ni ta.","Mevo dreta ta ju kora, vare ta vora."
