Idiom (Awadhi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Awadhi)",First Example Sentence,Second Example Sentence,Third Example Sentence
अँधेर नगरी चौपट राजा,Fixed nominal clause,Complete lawlessness and mismanagement in a system,A place or system where rules and order don't exist,C1,"Politics, satire, historical commentary","Literary, sarcastic, ironic",Medieval folk tales from Awadh; reflects lawlessness under incompetent leadership,ə̃.dʱeːɾ nə.ɡə.ɾi t͡ʃʰoː.pəʈ ɾaː.d͡ʒaː,अरे ई त अँधेर नगरी चौपट राजा होइ गवा बा।,जहँवा देखऽ उहँवा अँधेर नगरी चौपट राजा के हाल बा।,हमरे गाँव के पंचायत त अँधेर नगरी चौपट राजा जइसन चलत ह।
नाच न आवे आँगन टेढ़,Compound negative clause,Blaming external factors for one’s own shortcomings,Someone makes excuses instead of accepting their fault,B2,"Daily speech, humor, sarcasm","Colloquial, humorous",Common village saying; critiques excuse-making,naːt͡ʃ nə aː.ʋeː aːŋ.ɡən ʈeːɽʱ,तू अपना गलती माने के बजाय कहत ह कि आँगन टेढ़ ह।,ऊ त नाच न आवे आँगन टेढ़ कहिके बच गवा।,हर बार नाच न आवे आँगन टेढ़ वाली बात कहत ह।
ऊँट के मुँह में जीरा,Metaphorical noun phrase,Something too little for a great need,Insufficient solution for a big problem,B1,"Workplace, finance, sarcasm","Colloquial, ironic",Draws from camel imagery common in desert trade,uːnʈ keː mũːʰ meː d͡ʒiː.ɾaː,एतना तनखा त ऊँट के मुँह में जीरा जइसन बा।,हमार मदद उनकर लिए ऊँट के मुँह में जीरा बा।,ई इलाज त ऊँट के मुँह में जीरा निकरल।
"घर के जोगी जोगड़ा, आन गाँव के सिद्ध",Comparative proverb structure,One undervalues what they already have,People often ignore local talent and admire outsiders,C1,"Family, workplace, commentary","Proverbial, didactic",Reflects rural favoritism toward outsiders,ɡʱəɾ keː d͡ʒoː.ɡiː d͡ʒoː.ɡə.ɽaː aːn ɡãːʋ keː sidʱ,हमका त कबहुँ समझ ना आवा - घर के जोगी जोगड़ा काहे होला?,तू आपन भाई के मदद ना करत अउर बाहर वाला के देखत हउवा - घर के जोगी जोगड़ा!,"अरे भाई, ई त साफ-साफ घर के जोगी जोगड़ा वाली बात भइ।"
कागज के नाव बहावल,Verb phrase with metaphorical object,Doing something pointless or bound to fail,Engaging in futile efforts,B2,"Literature, sarcasm, daily speech","Poetic, ironic",Evokes rural rainy season childhood games,kaː.ɡəd͡ʒ keː naːʋ bə.ɦaː.ʋəl,तू त बस कागज के नाव बहावत हउवा।,ऊ सपना त कागज के नाव निकरल।,"ई सब त कागज के नाव बहावल बा, कउनो फायदा नाहीं।"
जिनगी जहर भइल बा,Metaphorical clause with copula,Life has become unbearable,Life feels very difficult,B1,"Emotion, complaint, social realism","Emotive, colloquial",Used in rural lamentation songs and complaints,d͡ʒiːn.ɡiː d͡ʒə.ɦəɾ bə.ɦə.il baː,ए महँगाई मा जिनगी जहर भइल बा।,"जब से ऊ गइल, जिनगी जहर भइल बा।",काम न मिलत त जिनगी जहर लागे।
बिल्ली के सपना चूहा,Noun phrase with embedded metaphor,People dream only of what they desire most,One dreams about their strongest desires,A2,"Humor, storytelling, dreams","Playful, humorous",Village humor; reflects basic instinctual desires,bɪl.liː keː səp.naː t͡ʃuː.ʰaː,हम त बिल्ली के सपना चूहा देखत हईं।,"ऊ केहू आउर ना, बस चूहा के सपना देखत रहत ह।","बिल्ली के सपना चूहा, कउनो अउर सोच ना सके।"
आगा न पाछा,Fixed adverbial phrase,Totally lost or clueless,Not knowing what to do,A2,"Daily speech, family, confusion",Colloquial,Common usage in village discussions and directions,aː.ɡaː nə paː.t͡ʃʰaː,हम त आगा न पाछा भइ गइ।,ऊ बात सुन के आगा न पाछा बुझात।,ई हालात मा त आगा न पाछा भइल बा।
धूप में बाल सफेद नाहीं कइले,Negative past perfect with causal implication,Gained wisdom from life experience,I’ve learned from experience,C1,"Advice, workplace, seniority","Assertive, respectful",Used by elders to assert authority or experience,d̪ʱuːp meː baːl sə.pʰeːd naː.ɦĩ kə.i.leː,हम धूप में बाल सफेद नाहीं कइले हईं।,ई सलाह त धूप में बाल सफेद कइले के बाद बा।,तू सोच कि हम धूप में बाल सफेद कइले बानी।
किस्मत के खोट,Possessive noun phrase,Blaming misfortune or fate,Unlucky circumstances,B2,"Emotion, complaint, life story","Colloquial, emotive",Common in rural tales of hardship,kɪs.mət keː kʰoːʈ,"हमार किस्मत के खोट बा, नाहीं त सब ठीक होत।",ऊ बार-बार किस्मत के खोट कहत ह।,ई त पक्का किस्मत के खोट ह।
