Idiom (Bagri),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
ऊंट के मुँह में जीरो,स्थिर संज्ञा वाक्यांश; तुलनात्मक रूपक संरचना,बहुत कम मात्रा जो आवश्यकता की तुलना में नगण्य हो,जरूरत के मुकाबले बहुत कम,B1,"दैनिक बोलचाल, आर्थिक चर्चा, हास्य","लोकोक्ति, व्यंग्यात्मक",रेगिस्तानी जीवन और ऊंट आधारित ग्रामीण अर्थव्यवस्था से उत्पन्न,uːɳʈ ke mũːʱ mẽ dʒiːɾo,इतनी तनख्वाह तो ऊंट के मुँह में जीरो है।,दो बाल्टी पानी इस खेत खातर ऊंट के मुँह में जीरो बराबर है।,सरकार रो अनुदान गाँव खातर ऊंट के मुँह में जीरो साबित भयो।
थोथा चणा बाजे घणा,लोकोक्ति; विरोधाभासी वर्णनात्मक वाक्य,अज्ञान व्यक्ति अधिक शोर मचाता है,कम ज्ञान वाला व्यक्ति ज्यादा बोलता है,B2,"हास्य, सामाजिक टिप्पणी, राजनीति","व्यंग्यात्मक, लोक शैली",कृषि समाज में चने की फसल से उपजी कहावत,tʰoːtʰa tʃəɳa baːdʒe ɡʱəɳa,"वो हर सभा में बोले, पर थोथा चणा बाजे घणा ही लागै।","बिना पढ़े राय देवे, बिलकुल थोथा चणा बाजे घणा।",उसकी डींगां सुनके सबने कह्यो—थोथा चणा बाजे घणा।
नाच न जाणे आंगण टेढ़ो,शर्तीय अर्थ वाला स्थिर वाक्य; दोषारोपण संरचना,अपनी कमी का दोष दूसरे पर डालना,अपनी गलती स्वीकार न करना,B1,"परिवार, कार्यस्थल, हास्य","लोक, आलोचनात्मक",ग्रामीण आंगण संस्कृति और लोकनृत्य परंपरा से,naːtʃ nə dʒaːɳe aːŋɡəɳ ʈeːɽʱo,काम न आवे तो नाच न जाणे आंगण टेढ़ो मत कह।,इम्तिहान में फेल होके सिस्टम ने दोष देवे—नाच न जाणे आंगण टेढ़ो।,अपणी भूल छुपावै खातिर वो नाच न जाणे आंगण टेढ़ो कर रह्यो है।
घर को जोगी जोगड़ो,संज्ञात्मक कहावत; तुलनात्मक उपमान,अपने लोगों की कद्र न करना,घर वालों को महत्व न देना,B2,"परिवार, सामाजिक चर्चा","लोक, चिंतनशील",भारतीय संत परंपरा और गृहस्थ जीवन से,ɡʱəɾ ko dʒoːɡi dʒoːɡɽo,थारी कला घर में कोई न सराहै—घर को जोगी जोगड़ो।,"गाँव वाले अपने शिक्षक ने कम आँके, घर को जोगी जोगड़ो हो गयो।","परदेश में नाम कमायो, पर घर को जोगी जोगड़ो ही रह्यो।"
बूंद-बूंद सूं घड़ो भरै,क्रियात्मक लोकोक्ति; क्रमिक क्रिया रूप,धीरे-धीरे संचय से बड़ा परिणाम होता है,छोटे प्रयासों से बड़ा काम पूरा होता है,A2,"शिक्षा, प्रेरणा, परिवार","प्रेरक, लोक शैली",मरुस्थलीय जल संचयन परंपरा से जुड़ी कहावत,buːnd buːnd sũ ɡʱəɽo bʱəɾe,"रोज थोड़ा बचत कर, बूंद-बूंद सूं घड़ो भरै।","पढ़ाई में मेहनत कर, बूंद-बूंद सूं घड़ो भरै समझ।","विश्वास रख, बूंद-बूंद सूं घड़ो भरै जरूर।"
सांप भी मरै लाठी भी न टूटै,द्वंद्वात्मक संतुलन वाक्य; समांतर संरचना,दोनों पक्षों को नुकसान बिना समाधान करना,ऐसा समाधान जिससे किसी को हानि न हो,C1,"राजनीति, कूटनीति, विवाद समाधान","औपचारिक, रणनीतिक",ग्रामीण आत्मरक्षा और व्यावहारिक बुद्धिमत्ता से,saː̃p bʱiː məɾe laːʈʰi bʱiː nə ʈuːʈe,ऐसो फैसला करां कि सांप भी मरै लाठी भी न टूटै।,मध्यस्थता में सांप भी मरै लाठी भी न टूटै रो उपाय खोज्यो।,समझौतो एरो हो जावै कि सांप भी मरै लाठी भी न टूटै।
आग बिना धूंआ न उठै,निषेधात्मक कथन; कारण-परिणाम संरचना,हर अफवाह के पीछे कुछ सच्चाई होती है,बिना कारण चर्चा नहीं होती,B1,"सामाजिक चर्चा, राजनीति","लोक, चेतावनीपूर्ण",ग्रामीण जीवन में चूल्हा और आग के अनुभव से,aːɡ bɪnaː dʱũːa nə uʈʰe,"लोगां की बातां यूं ही न फैली, आग बिना धूंआ न उठै।",इतनी चर्चा होवे तो आग बिना धूंआ न उठै समझो।,गाँव में अफवाह चली—आग बिना धूंआ न उठै।
एक पंथ दो काज,संक्षिप्त द्विकर्मक संरचना; समानांतर संज्ञा समूह,एक प्रयास से दो लाभ होना,एक काम से दो फायदे,A2,"दैनिक जीवन, योजना, व्यापार","लोक, सकारात्मक",यात्रा और व्यापार मार्ग संस्कृति से,eːk pən̪tʰ do kaːdʒ,शहर जाके सामान भी ले आयो—एक पंथ दो काज हो गया।,"मीटिंग में नेटवर्किंग भी कर ली, एक पंथ दो काज।",पढ़ाई संग नौकरी करै—एक पंथ दो काज समझ।
जैसी करनी वैसी भरनी,समांतर कर्मफल संरचना; नैतिक कथन,कर्म के अनुसार फल मिलना,जैसा करोगे वैसा पाओगे,B2,"नैतिक शिक्षा, परिवार, साहित्य","गंभीर, नैतिक",भारतीय कर्म सिद्धांत से जुड़ी कहावत,dʒɛːsi kəɾni vɛːsi bʱəɾni,बुरो करसी तो जैसी करनी वैसी भरनी।,समाज में न्याय है—जैसी करनी वैसी भरनी।,"उसने सबने समझायो, जैसी करनी वैसी भरनी याद रखो।"
जाको राखे साइयाँ मार सके ना कोय,भक्तिपरक कथन; नकारात्मक संभाव्यता संरचना,जिसकी रक्षा ईश्वर करे उसे कोई नुकसान नहीं पहुँचा सकता,ईश्वर की कृपा से सुरक्षा मिलती है,C1,"धार्मिक प्रसंग, सांत्वना, साहित्य","भक्तिपूर्ण, काव्यात्मक",भक्ति परंपरा और संत साहित्य से,dʒaːko raːkʰe saːĩjaː maːɾ səke naː koi,हादसे में बच गयो—जाको राखे साइयाँ मार सके ना कोय।,"माँ बोली, डर मत, जाको राखे साइयाँ मार सके ना कोय।","संकट में सबने कहा, जाको राखे साइयाँ मार सके ना कोय।"
