Idiom (Bengali),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Bengali)",First Example Sentence,Second Example Sentence,Third Example Sentence
ঘোড়ার ডিম,নামপদ বাক্যাংশ (noun phrase),সম্পূর্ণ মূল্যহীন বা অবাস্তব কিছু,একেবারে বাজে বা মূল্যহীন বিষয়,B2,"রসিকতা, দৈনন্দিন কথাবার্তা","অপচারিত, কৌতুকপূর্ণ",লোককাহিনি ও হাস্যরসের প্রসঙ্গে প্রচলিত,ɡʱoɽar dim (ঘোড়ার ডিম),"সে যে প্ল্যান বানিয়েছে, তা ঘোড়ার ডিম।",তোমার ওই উদ্ভট থিওরি একেবারে ঘোড়ার ডিম।,"তাকে যে দায়িত্ব দেওয়া হয়েছিল, সে তো ঘোড়ার ডিম করেই ফিরল।"
মাটি কামড়ে পড়ে থাকা,ক্রিয়ামূলক বাক্যাংশ (verb phrase),জেদ বা সংকল্প নিয়ে নিরলস প্রচেষ্টা চালানো,অত্যন্ত পরিশ্রম ও অধ্যবসায় করা,C1,"শিক্ষা, কর্মক্ষেত্র","সাহিত্যিক, উদ্বুদ্ধ",কৃষিজীবী সমাজ থেকে আগত,maʈi kamɽe pɔɽe tʰaka (মাটি কামড়ে পড়ে থাকা),সে পরীক্ষার আগে মাটি কামড়ে পড়ে ছিল।,জয় পাওয়ার আশায় খেলোয়াড়রা মাটি কামড়ে পড়ে ছিল।,ও চাকরি পাওয়ার জন্য মাটি কামড়ে পড়ে আছে।
ঠেলা গাড়ির যাত্রী,নামপদ বাক্যাংশ (noun phrase),যে নিজে কিছু না করে অন্যের কৃতিত্বে ভোগ করে,পরের কাজে সুবিধা নেওয়া ব্যক্তি,C2,"রাজনীতি, অফিস পরিবেশ","ইঙ্গিতপূর্ণ, ব্যঙ্গাত্মক",শ্রমজীবী শ্রেণির অভিজ্ঞতা থেকে আগত,ʈʰela ɡaɽir jat̪ri (ঠেলা গাড়ির যাত্রী),"সে নিজে কিছুই করেনি, কেবল ঠেলা গাড়ির যাত্রী।","প্রজেক্টে সবাই খেটেছে, আর সে ঠেলা গাড়ির যাত্রী হয়ে সার্টিফিকেট নিল।",ঠেলা গাড়ির যাত্রীরা সবসময়ই দল নষ্ট করে।
দুধ কলা খাইয়ে সাপ পোষা,উপমাসূচক বাক্যাংশ (comparative clause),অযোগ্য বা ক্ষতিকর কাউকে সাহায্য করে বিপদ ডাকা,অযোগ্য ব্যক্তিকে সাহায্য করে নিজের ক্ষতি ডাকা,C1,"পারিবারিক, নৈতিক আলোচনায়","নৈতিক, উপদেশমূলক",রামায়ণ ও পুরাণের উপমা থেকে আগত,dudʱ kola kʰaie sap poʃa (দুধ কলা খাইয়ে সাপ পোষা),তার মত চরিত্রহীনকে বিশ্বাস করা মানে দুধ কলা খাইয়ে সাপ পোষা।,ওকে সুযোগ দেওয়া ছিল দুধ কলা খাইয়ে সাপ পোষার মত।,সবাই জানে সে দুধ কলা খাইয়ে সাপ পোষার দৃষ্টান্ত।
অন্ধকারে ঢিল মারা,ক্রিয়ামূলক বাক্যাংশ (verb phrase),ঠিক না জেনে অনুমানভিত্তিক চেষ্টা করা,অনুমান করে কিছু করা,B2,"পরীক্ষা, সমস্যা সমাধান","সাধারণ, বাস্তবধর্মী",লোকজ প্রবচন থেকে উৎস,ɔndʱokare ɖʱil mara (অন্ধকারে ঢিল মারা),প্রশ্নের উত্তরটা আমি অন্ধকারে ঢিল মেরে দিয়েছি।,তার বক্তব্য ছিল একেবারে অন্ধকারে ঢিল মারা।,"তুমি তো সবসময় অন্ধকারে ঢিল মারো, আগে বুঝে নাও।"
পিঁপড়ের পাখা গজানো,ক্রিয়া যুক্ত উপমাসূচক বাক্যাংশ,কারো অহংকার বা আত্মবিশ্বাস অতিরিক্ত বেড়ে যাওয়া,কোনো ব্যক্তি অতিরিক্ত আত্মবিশ্বাসী হয়ে ওঠা,C1,"রসিকতা, ব্যক্তিগত আলোচনা","কৌতুকপূর্ণ, উপদেশমূলক","লোকপ্রচলিত প্রবচন, পশুর আচরণের রূপক",pĩpɽer pɑkʰa ɡɔdʒano (পিঁপড়ের পাখা গজানো),ছোট চাকরি পেয়ে পিঁপড়ের পাখা গজিয়েছে।,পড়াশোনায় একটু সাফল্য পেয়ে তার পিঁপড়ের পাখা গজিয়েছে।,তোমার কথায় পিঁপড়ের পাখা গজানোর মত ভাব এসেছে।
গোদের উপর বিষফোঁড়া,উপমাসূচক নামপদ বাক্যাংশ,খারাপ অবস্থার উপর আরও খারাপ কিছু যোগ হওয়া,অপ্রীতিকর পরিস্থিতির আরও অবনতি,B2,"দৈনন্দিন জীবন, রাজনীতি","ব্যঙ্গাত্মক, নাটকীয়",আয়ুর্বেদ ও লোকচিকিৎসা থেকে রূপক ধারণা,ɡoder upoɽ biʃpʰoɽa (গোদের উপর বিষফোঁড়া),"বোন অসুস্থ, তার উপর চাকরি হারানো—গোদের উপর বিষফোঁড়া।","বাড়িতে ঝামেলা, অফিসে কাজের চাপ—একেবারে গোদের উপর বিষফোঁড়া।","ট্রাফিকে আটকে পড়া, তারপর গাড়ির পাংচার—গোদের উপর বিষফোঁড়া।"
মূর্খের মত হাঁ করে থাকা,"ক্রিয়া বাক্যাংশ, উপমান যুক্ত",কোনো কিছু না বুঝে বোকার মতো চেয়ে থাকা,বুদ্ধিহীনভাবে চেয়ে থাকা,A2,"পারিবারিক, ব্যঙ্গাত্মক ভাষা","অপচারিত, অবজ্ঞাসূচক",লোকাচার ও নাট্যরীতির প্রচলিত রূপ,muːrkʰer mɔtʰe ɦã kɔre tʰaka (মূর্খের মত হাঁ করে থাকা),"সবাই আলোচনা করছে, আর সে মূর্খের মত হাঁ করে আছে।",বক্তৃতার মাঝখানে সে হঠাৎ মূর্খের মত হাঁ করে রইল।,"জানতেও চায় না, কেবল মূর্খের মত হাঁ করে থাকে।"
পান থেকে চুন খসলেই আগুন,"শর্তযুক্ত বাক্য, রূপক উপমা",অল্প কারণেই কারো প্রচণ্ড প্রতিক্রিয়া,সামান্য ভুলেও অত্যন্ত রেগে যাওয়া,B2,"পারিবারিক, কর্মক্ষেত্র","বিবরণমূলক, ব্যঙ্গাত্মক",পানের উপকরণে সূক্ষ্মতা ও অভিমানী মনোভাব থেকে আগত,pan tʰeke tʃun kʰosleɪ aɡun (পান থেকে চুন খসলেই আগুন),তাকে কিছু বললেই সে রেগে যায়—পান থেকে চুন খসলেই আগুন।,"বসের মেজাজ এমন, পান থেকে চুন খসলেই আগুন।","ছোট ভুলেই যদি এমন হয়, তবে তো সবসময় পান থেকে চুন খসলেই আগুন।"
নাচতে না জানলে উঠোন বাঁকা,"শর্তযুক্ত প্রবচন, দ্বৈত অংশবিশিষ্ট বাক্য",নিজের ব্যর্থতা ঢাকতে বাহানা দেওয়া,নিজের দোষ অন্যের ওপর চাপানো,B1,"দৈনন্দিন, বিতর্ক, রসিকতা","রূপক, ইঙ্গিতপূর্ণ",লোকসংস্কৃতি ও নাট্যশিল্পে প্রচলিত প্রবচন,natʃte na dʒanle uʈʰon bãka (নাচতে না জানলে উঠোন বাঁকা),"তোমারই ভুল, আর বলছো উঠোন বাঁকা—নাচতে না জানলে উঠোন বাঁকা।","পরীক্ষায় ফেল করেই বলছে প্রশ্ন খারাপ ছিল, নাচতে না জানলে উঠোন বাঁকা।","নিজে ভালো করো না, তারপর বলো পরিবেশ খারাপ—উঠোন বাঁকা!"
