Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lhasa Tibetan)",First Example Sentence,Second Example Sentence,Third Example Sentence
ཁ་བ་མ་ཟད་མཆོག་མེད།,Fixed clause with verb phrase,Overwhelming praise without limit or comparison,He/she was excessively praised,C1,"Literature, speeches, political discourse","Literary, formal",Classical style used in court eulogies and poetic compositions,kʰà wà mà sè tɕʰó mè,དེ་ཁོང་གི་ལས་དོན་ལ་ཁ་བ་མ་ཟད་མཆོག་མེད་ཞུས་ཡོད།,མགྲོན་པོ་ལ་གསུང་བཤད་ནས་ཁ་བ་མ་ཟད་མཆོག་མེད་བཤད་སོང་།,ཁོང་གི་མཚན་རིས་ལ་ཁ་བ་མ་ཟད་མཆོག་མེད་ཞིག་གནང་བ་རེད།
གནམ་ལ་འཕུར་བ་བཏང་།,Fixed clause with transitive verb,To set very high expectations or unrealistic goals,He/she aimed too high,B2,"Workplace, education, advice","Colloquial, cautionary",Common metaphor about dreams or aspirations,nám lá pʰʉ̀ɾ wà táŋ,ཁོང་གི་འཆར་གཞི་ནི་གནམ་ལ་འཕུར་བ་བཏང་བ་ཡིན།,འགྲོ་སྟངས་དེ་ནི་གནམ་ལ་འཕུར་བ་འདྲ་བ་རེད།,མཚན་ཉམས་དང་འབྲེལ་བ་མེད་པའི་རིགས་ནི་གནམ་ལ་འཕུར་བ་བཟོ་བ་ཡིན།
རྒྱུན་མི་ཆགས་པ།,Noun phrase with negative modifier,Uninterrupted or continuous,Without interruption,B2,"Monastic, educational, professional","Formal, descriptive",Common in Buddhist discourse for sustained effort,kỳn mì ʈʂʰàʔ pá,ཁོང་གི་མཚན་ཉམས་ནི་རྒྱུན་མི་ཆགས་པ་རེད།,སློབ་མའི་ལས་ཀ་ནི་རྒྱུན་མི་ཆགས་པ་བྱས།,རྒྱུན་མི་ཆགས་པའི་དམིགས་བསལ་ཡོད།
མི་གཞན་མ་སྤྱོད།,Negative imperative verb phrase,Don’t rely on others; be self-reliant,Don’t depend on others,B1,"Advice, family, education","Advisory, neutral",From Tibetan values on self-sufficiency,mí ɕɛ̃̀ mà tɕʰø̀ʔ,ཁྱེད་རང་མི་གཞན་མ་སྤྱོད།,མི་གཞན་མ་སྤྱོད་པས་རང་གི་སྒོ་འབྱེད་བྱ།,རང་འཁོར་ལ་མི་གཞན་མ་སྤྱོད་རོགས།
སྐུ་མདོག་མ་ཞག།,Negative fixed clause,Don’t judge by appearances,Appearances can be deceiving,B2,"Social, wisdom, cautionary","Cautionary, reflective",Related to Buddhist humility teachings,kʰú tóʔ mà ɕàʔ,སྐུ་མདོག་མ་ཞག་ཅིག་གོ།,སྐུ་མདོག་མ་ཞག་ནས་ལས་འགན་བྱེད།,ཁོང་ནི་སྐུ་མདོག་མ་ཞག་རེད།
འཁོར་ལོ་འཁྱིལ་བ་འདྲ།,Simile with genitive noun,Life moves on; cyclical nature,Life goes in cycles,C1,"Philosophy, reflection, poetry","Poetic, literary",Common in Buddhist cosmology and poetry,kʰóʔ lò ɕʰìʔ wà ʔàʔ,འཁོར་ལོ་འཁྱིལ་བ་འདྲ་ཞིག་བྱུང་ཡོད།,ཚེ་སྲོག་འཁོར་ལོ་འཁྱིལ་བ་འདྲ།,མིའི་འཚོ་བ་འཁོར་ལོ་འཁྱིལ་བ་འདྲ་བ་རེད།
སྐྱེས་མེད་བདག་མེད།,Fixed clause with negated existential verbs,Something completely baseless or nonexistent,A false claim or illusion,C1,"Religion, philosophy, sarcasm","Philosophical, literary",Buddhist philosophical expression on illusion or ego,c̀e mè tàʔ mè,ཁོང་གི་གནད་དོན་ནི་སྐྱེས་མེད་བདག་མེད་རེད།,སྐྱེས་མེད་བདག་མེད་ལ་བརྟན་པའི་བགྱིས་མི་འདུག,སྐྱེས་མེད་བདག་མེད་ཅེས་པ་འདི་ནི་ཆོས་ལུགས་སྨྲ་བརྒྱུད་རེད།
མགྱོགས་དྲག་འགྱོ་མི་རུང་།,Negative modal clause,Acting too fast leads to mistakes,Don’t rush; slow and steady,B1,"Advice, teaching, family","Colloquial, cautionary",Used in parenting and local proverbs,m̀ɟóʔ ʈàʔ ɟó mì ɾʉ̀ŋ,མགྱོགས་དྲག་འགྱོ་མི་རུང་ཞིག་གསུངས་ཡོད།,མགྱོགས་དྲག་འགྱོ་མི་རུང་དེས་མ་ལེན་བརྒྱབ།,ལས་ཀ་ལ་མགྱོགས་དྲག་འགྱོ་མི་རུང་བས་ཐག་ཆོད་བྱས།
ལུས་དབང་མེད།,Fixed descriptive phrase,Lacking self-control or discipline,He/she is undisciplined,B2,"Behavioral, educational, family","Neutral, evaluative",Common judgment in traditional Tibetan upbringing,lỳ ʔwàŋ mè,ཁོང་ནི་ལུས་དབང་མེད་པས་བསྟོད་མི་བྱུང་།,སློབ་ཕྲུག་ལ་ལུས་དབང་མེད་པ་མ་བྱ།,ལུས་དབང་མེད་མི་ནི་འགྲོ་འདོད་མེད།
སྤྱན་ལ་མེ་མེད།,Nominal metaphor with negation,Eyes without fire; lifeless or unmotivated expression,He/she lacks spirit or motivation,C1,"Poetic, descriptive, critique","Poetic, critical",Poetic metaphor for lifelessness or despair,cʰɛ̃̀ lá mè mè,ཁོང་གི་སྤྱན་ལ་མེ་མེད་པ་འདུག,སྤྱན་ལ་མེ་མེད་ནས་སྙུང་བ་མཐོང་།,ངའི་ལག་ལེན་ནས་སྤྱན་ལ་མེ་མེད་མི་མང་།
