Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Canarian Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar en la luna de Tenerife,Locución verbal fija,"Estar despistado o distraído, sin prestar atención.",Estar distraído o desconectado.,B1,"Conversaciones cotidianas, humor, familia","Coloquial, humorístico",Referencia a la desconexión insular o a la distancia percibida con respecto al resto del país.,[esˈtaɾ en la ˈluna ðe teneˈɾife],"Chacho, ¿no escuchaste nada? ¡Estás en la luna de Tenerife!",Otra vez se olvidó del pan... siempre anda en la luna de Tenerife.,"Cuando le hablé del trabajo, estaba en la luna de Tenerife."
Tener más cuento que Calleja,Locución verbal fija,Ser muy excusón o inventar muchas historias para no hacer algo.,Poner muchas excusas o mentir frecuentemente.,B2,"Familia, humor, conversación casual","Coloquial, irónico","Referencia al editor Saturnino Calleja, conocido por sus cuentos infantiles.",[teˈneɾ maɾ ˈkwento ke kaˈʎexa],"Ese pibe tiene más cuento que Calleja, nunca dice la verdad.",¿Otra vez no vino? Más cuento que Calleja.,"Siempre se inventa algo, tiene más cuento que Calleja."
Irse por los cerros de Güímar,Locución verbal pronominal,Desviarse del tema en una conversación.,Hablar de cosas que no vienen al caso.,C1,"Académico, literatura, conversación elaborada","Literario, culto","Adaptación canaria del dicho peninsular 'irse por los cerros de Úbeda', refiriéndose a los cerros de Güímar (Tenerife).",[ˈiɾse poɾ los ˈθeɾos ðe ˈɣwi.maɾ],Estábamos hablando de política y se fue por los cerros de Güímar.,"No te vayas por los cerros de Güímar, vuelve al tema.",Le pregunté algo simple y terminó por los cerros de Güímar.
Ser más salado que un cherne seco,Comparación adjetival,Ser muy gracioso o tener chispa.,Ser simpático o divertido.,A2,"Amistad, humor, familia","Coloquial, humorístico",El cherne seco es un pescado tradicionalmente salado en la cocina canaria.,[seɾ maɾ saˈlaðo ke un ˈʧeɾne ˈseko],Ese niño es más salado que un cherne seco.,Tu primo tiene un arte... ¡más salado que un cherne seco!,"Me parto con ella, más salada que un cherne seco."
Estar como una cabra majorera,Locución adjetival comparativa,Estar loco o actuar de manera excéntrica.,Estar un poco loco o actuar de forma extraña.,B1,"Humor, conversación informal","Coloquial, humorístico","La cabra majorera es una especie típica de Fuerteventura, famosa por su carácter enérgico.",[esˈtaɾ ˈkomo ˈuna ˈkaβɾa maxoˈɾeɾa],Mi tía bailando en la calle... ¡estaba como una cabra majorera!,Ese chico se tira del muelle en pleno enero... como una cabra majorera.,Te juro que pareces una cabra majorera a veces.
No ver tres en un burro,Locución verbal negativa,Tener muy mala vista o no notar lo evidente.,Tener mala visión o no percatarse de lo obvio.,A2,"Diálogo cotidiano, familia, humor",Coloquial,Frase común en zonas rurales; referencia humorística al campo.,[no βeɾ tɾeθ en un ˈbu.ro],Con esas gafas rotas no ves tres en un burro.,¡Pero si está delante tuyo! No ves tres en un burro.,Siempre busca las llaves y no ve tres en un burro.
Quedarse en el aparato,Locución verbal pronominal,"No obtener una respuesta, especialmente en llamadas telefónicas.",No recibir contestación o ser ignorado.,B2,"Tecnología, conversación moderna","Coloquial, irónico",Hace alusión a quedarse esperando al teléfono ('el aparato').,[keˈðaɾse en el apaˈɾato],Llamé al banco y me quedé en el aparato.,Le escribí y nada... me dejó en el aparato.,"Siempre que llamo al médico, me quedo en el aparato."
Dar más vueltas que un trompo,Locución verbal comparativa,Marearse o moverse mucho sin llegar a nada.,Andar sin rumbo claro o complicarse innecesariamente.,B1,"Narración, humor, familia","Coloquial, visual","El trompo es un juguete típico que gira sin parar, usado tradicionalmente en las islas.",[daɾ maɾ ˈβweltaθ ke un ˈtɾom.po],Está dando más vueltas que un trompo con ese tema.,"Para ir a casa, dio más vueltas que un trompo.","No te compliques, das más vueltas que un trompo."
Montar un Cristo,Locución verbal idiomática,Armar un escándalo o conflicto grande.,Hacer mucho ruido o exagerar un problema.,C1,"Familia, conflictos, política","Coloquial, enfático","Cristo alude a escenas religiosas dramáticas, muy presentes en las festividades canarias.",[monˈtaɾ un ˈkɾis.to],Montó un Cristo por un plato roto.,En la reunión montaron un Cristo por un comentario.,La abuela montó un Cristo cuando vio el desorden.
Ser más lento que un burro mareado,Comparación adjetival,Ser extremadamente lento en actuar o pensar.,Tardar mucho en hacer algo.,A2,"Humor, familia, escuela","Coloquial, humorístico","El burro es símbolo de lentitud en el habla popular, aquí con un giro irónico.",[seɾ maɾ ˈlento ke un ˈbu.ro maɾeˈaðo],"Corre más, que vas más lento que un burro mareado.",Tardó tres horas... más lento que un burro mareado.,"Pa’ escribir ese mensaje, más lento que un burro mareado."
