Idiom (Chavacano),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chavacano)",First Example Sentence,Second Example Sentence,Third Example Sentence
Anda na hangin el noticia,Declarative fixed clause with prepositional phrase functioning metaphorically,News or gossip spreads very quickly within the community,El noticia ya circula rapidamente entre la gente,B1,"Daily speech, gossip, community talk",Colloquial,Reflects coastal and wind-centered imagery common in Zamboanga maritime culture,[ˈanda na aŋˈɡin el noˈtisja],Anda na hangin el noticia que ta subi el precio del pescado na mercado.,"Antes pa llega el anuncio oficial, anda ya na hangin el noticia.","Si tiene secreto, no confiá, porque anda na hangin el noticia aqui."
Tiene dos cara como moneda,Descriptive comparative clause with simile structure,A person who behaves differently depending on the situation; hypocritical,Ele ta cambia actitud depende con quien ele ta conversa,B2,"Politics, workplace, social conflicts","Colloquial, ironic",Derived from Spanish metaphor comparing duplicity to two-sided coin imagery,[ˈtjene dos ˈkaɾa ˈkomo moˈneda],No confiá con ele porque tiene dos cara como moneda.,"Na reunion amable ele, pero afuera tiene dos cara como moneda.",El gente ya cansa con su actitud que tiene dos cara como moneda.
Queda na alanganin,Resultative stative construction with locative complement,To be left in an awkward or uncertain situation,Queda ele na situacion dificil y incierto,B1,"Daily life, workplace, family situations",Neutral colloquial,From Spanish 'alanganín' used in Philippine Spanish dialects to indicate hesitation or uncertainty,[ˈkeda na alaŋɡaˈnin],Ya queda yo na alanganin cuando no sila ya llega.,"Si no tu termina el proyecto, queda kita na alanganin con el jefe.",El plan ya falla y ahora queda sila na alanganin.
Puro palabra lang,Nominal phrase functioning as evaluative comment,All talk and no action,Ele ta habla mucho pero no ta actua,A2,"Casual conversation, criticism, politics","Colloquial, critical",Blend of Spanish 'palabra' with Philippine discourse particle 'lang',[ˈpuɾo paˈlabɾa laŋ],Ese promesa suyo puro palabra lang.,No yo cree con ele porque puro palabra lang siempre.,Ya demuestra ya que no puro palabra lang su intención.
Ta carga el mundo na hombro,Progressive verbal clause with direct object metaphor,To carry heavy responsibilities or emotional burden,Ele tiene demasiado responsabilidad y preocupacion,B2,"Family, personal struggle, literature","Poetic, expressive",Echoes biblical and Hispanic imagery of burden-bearing figures,[ta ˈkaɾɡa el ˈmundo na ˈombɾo],"Desde que ya enferma su tata, ta carga el mundo na hombro ele.",Mira ele como si ta carga el mundo na hombro todo el dia.,No necesita tu ta carga el mundo na hombro solo.
Mano-mano lang el laban,Fixed nominal clause with reduplication and evaluative particle,A fair fight or equal competition,Igual el oportunidad entre dos parte,B1,"Sports, debate, politics","Colloquial, competitive",Reflects Filipino reduplication influence blended with Spanish lexicon,[ˈmano ˈmano laŋ el laˈβan],"Na torneo, mano-mano lang el laban entre dos equipo.",Quiere ele que mano-mano lang el laban sin ventaja.,"Si justo el reglas, mano-mano lang el laban."
Quema el puente,Transitive verbal clause used metaphorically,To destroy a relationship or eliminate possibility of return,Ele ya rompe completamente el relacion,C1,"Relationships, career decisions, politics","Serious, metaphorical",Derived from Spanish military metaphor of burning bridges to prevent retreat,[ˈkema el ˈpwente],"Cuando ya insulta ele con su jefe, quema ya el puente.",No tu quema el puente si necesita pa tu ese conexion.,"Por orgullo, ya quema ele el puente con su familia."
Sube el sangre na cabeza,Intransitive verbal clause with locative complement,To become very angry suddenly,Ele ya queda muy enojado,B1,"Family arguments, daily speech","Colloquial, emotional",Hispanic physiological metaphor linking anger to rising blood,[ˈsube el ˈsaŋɡɾe na kaˈbesa],Ya sube el sangre na cabeza cuando ya mira ele el daño.,No provoca conmigo porque facil sube el sangre na cabeza.,"Por el injusticia, sube el sangre na cabeza del gente."
Ta baila con otro son,Progressive verbal clause with prepositional complement,To change allegiance or follow a different agenda,Ele ya cambia posicion o grupo,C1,"Politics, organizational shifts","Ironic, political",Music-based metaphor common in Hispanic cultures indicating shifting loyalty,[ta ˈbaila kon ˈotɾo son],"Antes aliado ele, pero ahora ta baila con otro son.",El lider ya baila con otro son despues del eleccion.,No claro su postura porque siempre ta baila con otro son.
Cae na oido sordo,Passive-like verbal clause with locative phrase,Advice or warning is ignored completely,El consejo no ya escucha ni considera,B2,"Family advice, workplace guidance","Neutral, cautionary",From Spanish 'caer en oídos sordos' adapted into Chavacano phonology,[ˈkae na oˈido ˈsoɾdo],Todo su advertencia ya cae na oido sordo.,"Si no tu presta atencion, cae na oido sordo el consejo.",El llamada del comunidad ya cae na oido sordo con autoridad.
