Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Janưk bang tapak mak,Fixed verbal clause with resultative verb phrase (janưk + bang + object),To make matters worse through unnecessary interference,Ka bang rang halưm perlu,B2,"Family disputes, workplace conflict, sarcasm","Colloquial, ironic",Common in Phan Rang rural speech referring to overhandling rice pounding tasks,/ɟaˈnɯk ɓaŋ taˈpak mak/,Sang janưk bang tapak mak di rang makrang.,Anưk di halam janưk bang tapak mak palei.,"Ka janưk bang tapak mak, rang halưm puas."
Palei halam mưtai sang,Negative declarative clause (subject + negation + verb),A community cannot function without leadership,Palei cần sang di hu,C1,"Politics, leadership discourse, literature","Formal, proverbial",Reflects Cham village governance structure under Po Adhia system,/paˈlei haˈlam mɯˈtaj saŋ/,"Palei halam mưtai sang, janưk rang rơh.","Sang hu, palei halam mưtai sang lingik.",Halưm palei halam mưtai sang di thun.
Yang janưk di lingik rang,Relative clause with temporal marker,Opportunities must be seized at the right time,Ka tapak mak di waktu phù hợp,B2,"Motivational speech, education","Poetic, advisory",Linked to agricultural timing traditions in Ninh Thuận,/jaŋ ɟaˈnɯk di liˈŋik raŋ/,"Yang janưk di lingik rang, halưm chậm.",Anưk hu yang janưk di lingik rang.,Sang janưk di lingik rang makrang.
Tapak mak halưm lama,Verb phrase with negated duration marker,Success does not come instantly,Ka cần waktu để thành công,B1,"Daily speech, mentoring","Neutral, advisory",Derived from rice-processing metaphor in Cham households,/taˈpak mak haˈlam laˈma/,"Tapak mak halưm lama, ka sabar.",Anưk halưm hiểu tapak mak halưm lama.,Saya hu tapak mak halưm lama di rang.
Rang bang mưtai palei,Causative construction (subject + bang + verb),One person’s actions affect the whole community,Ka hành động ảnh hưởng cộng đồng,C1,"Community meetings, social criticism","Serious, communal",Reflects tight-knit kinship systems among Cham Ahier villages,/raŋ ɓaŋ mɯˈtaj paˈlei/,Rang bang mưtai palei lingik.,Sang hu rang bang mưtai palei makrang.,Anưk halưm nên rang bang mưtai palei.
Janưk di rang lingik,Short declarative clause with locative complement,To be emotionally invested in someone,Ka yêu hoặc quan tâm sâu sắc,B1,"Family, romance, poetry","Warm, intimate",Popular in Cham love poetry traditions,/ɟaˈnɯk di raŋ liˈŋik/,Saya janưk di rang lingik makrang.,Anưk janưk di rang lingik lama.,Sang hiểu janưk di rang lingik.
Sang bang lingik rang,Transitive verb phrase with object focus,To speak honestly and directly,Ka nói thẳng,B2,"Debate, advice, counseling","Direct, firm",Reflects oral debate traditions in Cham religious councils,/saŋ ɓaŋ liˈŋik raŋ/,Sang bang lingik rang di palei.,Saya hu sang bang lingik rang.,Anưk janưk sang bang lingik rang.
Janưk palei halưm thun,Negative existential clause,A place lacks prosperity or blessing,Palei halưm phát triển,C2,"Religious discourse, social critique","Literary, symbolic",Associated with spiritual interpretations in Ramưwan sermons,/ɟaˈnɯk paˈlei haˈlam tʰun/,Janưk palei halưm thun di thun.,Sang nói janưk palei halưm thun makrang.,Anưk hiểu janưk palei halưm thun.
Bang lingik rang mak,Imperative-like emphasis clause,Speak carefully and respectfully,Ka nói cẩn trọng,A2,"Family instruction, school settings","Advisory, polite",Common parental advice phrase in Phan Rang households,/ɓaŋ liˈŋik raŋ mak/,Bang lingik rang mak di sang.,Anưk hu bang lingik rang mak.,Saya nói bang lingik rang mak.
Halưm janưk tapak mak,Negative resultative construction,Effort without understanding leads nowhere,Ka làm việc không hiệu quả,C2,"Academic critique, satire","Ironic, critical",Used in modern Cham academic commentary circles,/haˈlam ɟaˈnɯk taˈpak mak/,Halưm janưk tapak mak di rang.,Sang phê bình halưm janưk tapak mak.,Anưk hiểu halưm janưk tapak mak.
