Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, CH-DE)",First Example Sentence,Second Example Sentence,Third Example Sentence
den Fünfer und s Weggli wöue,Infinitive construction with modal verb,To want to have it both ways / have your cake and eat it too,Etwas Unvereinbares gleichzeitig wollen,B2,"Daily speech, humor, negotiation","Colloquial, ironic",Swiss-German baker culture; Fünfer (five rappen) and Weggli (bread roll),[dɛn ˈfʏnfər ʊnt s ˈvɛkli ˈvøːən],Er cha nöd de Fünfer und s Weggli wöue – entweder zahle oder verzichte!,"Si will de Job nöd verlüre, aber au meh Ferie – de Fünfer und s Weggli, hä?",Mir gönd nöd immer de Fünfer und s Weggli ha – me mues sich entschide.
jemandem auf den Keks gehen,Dative construction with prepositional phrase,To annoy someone,Jemanden nerven,B1,"Daily speech, workplace",Colloquial,Modern slang from German pop culture; imported into Swiss usage,[ˈjeːmandəm ʔaʊ̯f deːn keːks ˈɡeːən],Du geisch mer würkli uf de Keks mit dim ewige Gschwätz.,"D’Diskussion isch so lang worde, sie isch allne uf de Keks gange.","Wenn er nonemol luegt, geit er mir definitiv uf de Keks!"
dr Haan chräie losä,Infinitive construction with causative aspect,To allow oneself to be overly optimistic,"Etwas glauben, obwohl es unrealistisch ist",C1,"Literature, sarcasm","Literary, ironic","Biblical image from the Peter denial story, blended with folk motifs",[dr haːn ˈxrɛiə ˈloːzə],"Wer no dr Haan chräie losä will, lügt sich sälber a.","Ich han scho lang ufghört, dr Haan chräie losä, was Politik aht.","Dr Chef het no dr Haan chräie losä, dass s Projekt klappt – realist isch das nüm."
es isch nöd all Tag Sunntig,Negative clause with temporal adverb,Not every day is a good day; you can't always win,Man kann nicht immer Glück haben,B2,"Family, daily speech, advice","Colloquial, reflective",Traditional Sunday as a day of rest and pleasure,[ɛs ɪʃ nəːd ʔal taːk ˈzʊntɪk],Mach der nüt draus – es isch nöd all Tag Sunntig.,"De Match verlore? Jo, es isch halt nöd all Tag Sunntig.","Si muess lerne, dass es nöd all Tag Sunntig isch im Läbe."
de Chopf usehäbe,Infinitive with separable prefix verb,To show pride or self-confidence,Stolz oder selbstbewusst auftreten,C1,"Workplace, motivational, politics","Formal, empowering",Traditional image of holding one's head high with dignity,[də ˈxɔpf ˈʊzəˌhæbə],Nach allem het sie de Chopf usehäbe und isch wieder cho schaffe.,"Mir müend de Chopf usehäbe, au wenn s schwierig isch.","Er het mit Stolz de Chopf usehäbe, trotz em Fiasko."
de Faden verlüre,Infinitive construction with article-noun-object,To lose one's train of thought,Den Zusammenhang oder Gedanken verlieren,B1,"Conversation, presentation, teaching",Neutral,Image of thread in weaving or storytelling,[də ˈfaːdən fɛrˈlyːrə],"Warte, ich han grad de Faden verlore.",Er het bim Redä plötzlich de Faden verlore.,"Wenn du mi unterbrichsch, verlier ich de Faden."
es bitzeli z’viel um d’Ohre ha,Diminutive with prepositional phrase,To be slightly overwhelmed or confused,Ein bisschen überfordert sein,A2,"Family, work, learning","Colloquial, sympathetic",Regional expression about hearing and sensory overload,[ɛs ˈbɪtsəli tsˈfiːl ʊm dˈoːrə ha],Am erste Tag het sie es bitzeli z’viel um d’Ohre gha.,Mit allne Infos hani jetzt es bitzeli z’viel um d’Ohre.,"Lah der Zyt, er het grad z’viel um d’Ohre."
d’Flösch öppis lüpte,"Object-verb combination, idiomatic verb",To reveal a secret or slip up,Ein Geheimnis verraten,C1,"Humor, gossip, workplace","Colloquial, humorous",The bottle (Flösch) as metaphor for something tightly sealed,[də fløːʃ ˈœpɪs ˈlʏptə],Bim Fäscht het er d’Flösch öppis glüpft – jitz weiss es jede.,"Wenn du nöd ufpasst, lüptisch d’Flösch!",Sie het sich verplappert und d’Flösch lüpft.
wie d’Made im Speck läbe,Comparative clause with preposition,To live in luxury,Im Überfluss leben,B2,"Economics, sarcasm, politics","Colloquial, ironic",Made = maggot; image of luxury through food abundance,[viː dˈmaːdə ɪm ʃpɛk ˈlɛːbə],Si lebet wie d’Made im Speck – alles vom Fiinste.,"De Politiker lebt wie d’Made im Speck, aber mir müend spaarä.",Mit dere neui Stelle lebt er wie d’Made im Speck.
ä Gluscht hocke,Indefinite article with noun-verb collocation,To crave or yearn for something,Appetit oder Sehnsucht nach etwas haben,A2,"Daily life, food, emotions",Colloquial,Common idiom in Romandy and German-speaking regions of Switzerland,[æ ˈɡlʊʃt ˈhɔkə],Ich han grad ä Gluscht ufs Fondue.,Si hocket scho lang ä Gluscht uf es Stück Schoggi.,Nach em Spaziere hani ä Gluscht ufs Bier gha.
