Idiom (Chilean Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Chilean Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar hasta las cachas,Verbo + preposición + artículo definido + sustantivo plural; expresión fija,"Estar profundamente involucrado o enamorado de alguien o algo, generalmente sin salida fácil",Estar completamente metido en algo,C1,"Relaciones personales, humor, conversaciones informales","Coloquial, humorístico",Deriva del lunfardo rioplatense; comúnmente usado en el Cono Sur desde el siglo XX,[esˈtaɾ ˈast̪a las ˈkat͡ʃas],Mi primo está hasta las cachas por esa chiquilla nueva del barrio.,"No puedo salir de este proyecto, estoy hasta las cachas.",Se nota que está hasta las cachas; no para de hablar de ella.
Pasarlo chancho,Verbo transitivo pronominal + sustantivo; uso informal,Disfrutar mucho de una actividad o evento,Divertirse mucho,A2,"Fiestas, vida social, vacaciones","Coloquial, alegre",El chancho representa placer y exceso en la cultura popular chilena,[paˈsaɾlo ˈt͡ʃant͡ʃo],Anoche lo pasamos chancho en la fiesta de la Katy.,"Cada vez que salgo con ustedes, lo paso chancho.",¡Lo están pasando chancho en la playa!
Quedarse para vestir santos,Verbo reflexivo + preposición + verbo infinitivo + sustantivo plural,Permanecer soltero(a) por mucho tiempo o indefinidamente,No casarse o no tener pareja,B2,"Familia, sociedad, humor, género","Irrónico, tradicional",Referencia a mujeres solteras que dedicaban su vida al servicio religioso,[keˈðaɾse ˈpaɾa βesˈtiɾ ˈsantos],Mi tía dice que me voy a quedar para vestir santos si sigo así.,"A los 40 sin pareja, ya pensaban que se quedaba para vestir santos.","No quiero quedarme para vestir santos, pero tampoco me apuro."
Más perdido que el teniente Bello,Comparativo + adjetivo + conjunción + artículo definido + sustantivo + nombre propio,Estar muy confundido o desorientado,Estar completamente desorientado,C1,"Academia, humor, conversación diaria","Coloquial, irónico","Referencia histórica al aviador Bello, desaparecido misteriosamente en 1914",[mas peɾˈdiðo ke el teˈnjente ˈbeʎo],En esa clase estuve más perdido que el teniente Bello.,Me explicaron tres veces y sigo más perdido que el teniente Bello.,Estaba más perdido que el teniente Bello buscando la dirección.
Tener más cuento que Calleja,Verbo + adjetivo comparativo + sustantivo; expresión con nombre propio,Ser exagerado o mentiroso habitual,Exagerar constantemente o inventar cosas,B2,"Cuentos, crítica, sociedad","Irrónico, coloquial","Referencia al escritor español Saturnino Calleja, conocido por sus cuentos",[teˈneɾ mas ˈkwento ke kaˈʝexa],Ese compadre tiene más cuento que Calleja.,"No le creas, siempre tiene más cuento que Calleja.","Cada vez que lo pillan, saca más cuento que Calleja."
Estar con la caña,Verbo + preposición + artículo definido + sustantivo; estructura fija,Sufrir los efectos de la resaca después de beber alcohol,Tener resaca,B1,"Vida social, salud, juventud","Coloquial, informal",Ampliamente usado en Chile; refleja la cultura festiva urbana,[esˈtaɾ kon la ˈkaɲa],"No quiero salir hoy, estoy con la caña pesada.","Después del carrete, todos estaban con la caña.","Tráeme una sopaipilla, estoy con la caña desde ayer."
Ponerle el pecho a las balas,Verbo transitivo + sustantivo + preposición + artículo definido + sustantivo plural,Enfrentar una situación difícil con valentía,Enfrentar los problemas con coraje,C1,"Trabajo, política, vida cotidiana","Formal, heroico, literario","Imagen popular de heroísmo militar, adoptada en Latinoamérica",[poˈneɾle el ˈpet͡ʃo a las ˈβalas],Hay que ponerle el pecho a las balas y enfrentar lo que venga.,Mi mamá siempre le pone el pecho a las balas cuando hay problemas.,"Aunque fue difícil, le puse el pecho a las balas y salí adelante."
Quedarse raja,Verbo pronominal + sustantivo coloquial,Dormirse profundamente por agotamiento,Dormirse completamente,B1,"Vida cotidiana, juventud, humor","Vulgar, juvenil, coloquial",Raja como término vulgar que indica totalidad; común en jerga urbana chilena,[keˈðaɾse ˈraxa],"Me quedé raja viendo la serie, ni supe cuándo.","Después del viaje, todos se quedaron raja.","Apenas llegué a la casa, me quedé raja en el sillón."
Sacar los choros del canasto,Verbo transitivo + artículo definido + sustantivo plural + preposición + sustantivo,Reaccionar con furia o molestia de manera súbita,Enojarse mucho o explotar de rabia,C2,"Discusión, familia, política, calle","Vulgar, emocional, muy chileno","Expresión chilena con raíz rural; ""choros"" como sinónimo de agallas o enojo",[saˈkaɾ los ˈt͡ʃoɾos del kaˈnasto],No me hagas sacar los choros del canasto.,Le sacó los choros del canasto al jefe con ese comentario.,"Cada vez que lo interrumpen, saca los choros del canasto."
Andar pato,Verbo intransitivo + sustantivo; expresión fija,Estar sin dinero,No tener plata,A2,"Juventud, economía, conversación diaria","Coloquial, humorístico","Referencia a los patos que caminan con las patas vacías, sin peso; muy popular en Chile",[anˈdaɾ ˈpato],"No puedo salir, ando pato.","Después del arriendo, andamos todos pato.","Fui al mall a mirar no más, porque ando pato."
