Idiom (Montenegrin),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Montenegrin)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pasti s Marsa,"verbal phrase, perfective aspect",Biti potpuno iznenađen ili neinformisan o nečemu.,Ne znati ništa o situaciji.,B2,"svakodnevni govor, humor, ironija","kolokvijalno, ironično","Moderni izraz iz XX vijeka, povezan sa idejom neupućenosti, kao da dolaziš s druge planete.",/pǎsti s mârsa/,"Kada je čuo vijest o izborima, izgledao je kao da je pao s Marsa.","Ne pravi se da si pao s Marsa, znaš dobro o čemu pričamo.",U razredu su ga zadirkivali jer se ponašao kao da je pao s Marsa.
Biti na konju,kopulativna konstrukcija s prijedlogom,"Biti u povoljnoj situaciji, imati prednost.",Biti u dobroj poziciji.,B1,"posao, sport, svakodnevni govor","neutralno, razgovorno",Izraz potiče iz vremena kada je posjedovanje konja značilo moć i bogatstvo.,/bǐti na kôɲu/,"Kad su mu odobrili kredit, znao je da je na konju.","Ako položiš taj ispit, bićeš na konju!","Poslije dogovora s direktorom, on je stvarno na konju."
Imati putera na glavi,imenska fraza s metaforičkim značenjem,"Biti kriv za nešto, imati skrivenu grešku ili sramotu.",Biti odgovoran za nešto loše.,C1,"politika, posao, razgovor, ironija","kolokvijalno, ironično",Izraz potiče iz ideje da puter (mastan) simbolizuje krivicu koja se lako otkriva pod 'suncem' istine.,/îmati pûtera na glȃvi/,"Nemoj ga braniti, i on ima putera na glavi.","Svi u toj firmi imaju putera na glavi, samo ćute.",Političar koji najviše viče obično ima najviše putera na glavi.
Preliti čašu,verbalna fraza s direktnim objektom,Dostići tačku kada se više ne može trpjeti.,Izazvati kraj nečijeg strpljenja.,B2,"porodica, posao, sukobi","neutralno, figurativno",Stara metafora o čaši koja preliva nakon posljednje kapi — simbol granice strpljenja.,/prěliti čȁʃu/,Njegovo ponašanje je prelilo čašu strpljenja.,Ta uvreda je bila kap koja je prelila čašu.,"Poslije svega, i najmanja sitnica je prelila čašu."
Uhvatiti maglu,"verbalna fraza, perfektivni oblik",Pobjeći brzo i neprimjetno.,Pobjeći ili otići naglo.,B1,"humor, svakodnevni govor, narodne priče","kolokvijalno, šaljivo",Narodni izraz povezan s maglom kao simbolom nestajanja i tajanstva.,/ûhvatiti mâglu/,"Kad je čuo policijsku sirenu, odmah je uhvatio maglu.","Čim je počela svađa, on je uhvatio maglu.","Svi su otišli, samo je on uhvatio maglu bez pozdrava."
Ići glavom kroz zid,infinitivna fraza s instrumentalom,"Pokušavati nešto uporno, iako je nemoguće.",Raditi nešto tvrdoglavo i besmisleno.,C1,"posao, porodica, savjetovanje","neutralno, figurativno","Izraz starog porijekla, simbol tvrdoglavosti i nepopustljivosti.",/îći glȁvom kroz zîd/,"Znaš ga, uvijek ide glavom kroz zid.","Pokušavaš da riješiš to na silu, ideš glavom kroz zid.",Njegova upornost je ponekad kao da ide glavom kroz zid.
Držati jezik za zubima,verbalna fraza s instrumentom,"Ne govoriti nešto što ne treba, čuvati tajnu.",Ćutati o nečemu.,B2,"porodica, posao, povjerenje","neutralno, opominjuće","Stara metafora prisutna u više slovenskih jezika, odnosi se na suzdržanost u govoru.",/dr̀ʒati jêzik za zûbima/,"Ako znaš šta je dobro za tebe, drži jezik za zubima.",Rekla mu je da drži jezik za zubima dok ne prođe sastanak.,Bolje je nekad držati jezik za zubima nego se kajati.
Vidjeti đavola,verbalna fraza s akuzativom,Doživjeti veliku nevolju ili strah.,Proći kroz težak trenutak.,C1,"religija, svakodnevni govor, narodne priče","kolokvijalno, slikovito","Stara narodna metafora o susretu sa zlom, prisutna u balkanskom folkloru.",/vȉdjeti ʥâvola/,"Kad je izgubio novčanik, vidio je đavola.","U vojsci smo svi vidjeli đavola, nije bilo lako.","Prošao je kroz pakao, vidio je đavola na svakom koraku."
Nositi srce na dlanu,verbalna fraza s instrumentom,"Biti iskren, otvoren, emotivan.",Otvoreno pokazivati osjećanja.,B2,"ljubav, prijateljstvo, porodica","poetski, iskreno","Metafora o otvorenosti i ranjivosti, česta u balkanskoj poeziji.",/nôsiti sȑt͡se na dlȃnu/,"Ona uvijek nosi srce na dlanu, ne zna da sakrije emocije.","Marko nosi srce na dlanu, zato ga svi vole.","Previše nosiš srce na dlanu, i to te često povrijedi."
Ići kao po loju,verbalna fraza s poređenjem,"Ići glatko, bez problema.",Ostvarivati se bez poteškoća.,B1,"posao, planiranje, uspjeh","neutralno, figurativno","Tradicionalni izraz koji potiče iz domaćinstava, gdje loj označava lakoću klizanja.",/îći kâo po lôju/,"Sve je išlo kao po loju, bez ijedne greške.",Njihov plan se odvijao kao po loju.,"Posao je krenuo kao po loju, sve teče savršeno."
