Idiom (Chittagonian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
গাছে কাঁঠাল গোঁফে তেল,Nominal metaphorical clause; juxtaposed noun phrases without explicit verb,Planning or celebrating success before it actually happens,আগে থেকে ফলাফল নিশ্চিত ধরে নেওয়া,B2,"Daily speech, humor, mild sarcasm, family discussions","Colloquial, ironic",Agrarian metaphor referencing premature harvesting expectations in rural Bengal,/ɡat͡ʃe kaʈʰal ɡofe tel/,"তুঁই এখনো চাকরি পাইস নাই, আর গাছে কাঁঠাল গোঁফে তেল দিতাস।","ফলাফল বাহির অয় নাই, গাছে কাঁঠাল গোঁফে তেল কইরো না।",ওরে দেইখা মনে অয় গাছে কাঁঠাল গোঁফে তেল দিয়া বইসা আছে।
চোর পালাইলে বুদ্ধি বাড়ে,Conditional subordinate clause + main clause,Realizing what should have been done only after damage is done,ঘটনার পরে বুদ্ধি হওয়া,B1,"Daily speech, politics, social commentary","Proverbial, didactic",Village justice proverb emphasizing vigilance after theft,/t͡ʃor palaile buddʱi baɽe/,টাকা হারাইয়া এখন চোর পালাইলে বুদ্ধি বাড়ে কইরা লাভ নাই।,"আগে ব্যবস্থা লইলে ভালো আছিল, এখন চোর পালাইলে বুদ্ধি বাড়ে।",সব শেষ হওয়ার পর চোর পালাইলে বুদ্ধি বাড়ে বইলা আফসোস গরিস।
নাচতে না জানলে উঠান বাঁকা,Conditional clause expressing inability + evaluative predicate,Blaming external factors for one’s own incompetence,নিজের অক্ষমতার দায় অন্যের উপর চাপানো,B2,"Humor, workplace critique, family disputes","Colloquial, sarcastic",Traditional courtyard dance metaphor from rural households,/nat͡ʃte na d͡ʒanle uʈʰan baka/,পরীক্ষায় ফেল কইরা এখন নাচতে না জানলে উঠান বাঁকা কইতাস।,"কামডা ঠিকমতো গরস নাই, আর নাচতে না জানলে উঠান বাঁকা।",ওর অজুহাত শুনলে মনে অয় নাচতে না জানলে উঠান বাঁকা।
ঘর পোড়া গরু সিঁদুরে মেঘে ডরায়,Compound nominal metaphor with embedded relative imagery,Someone previously harmed becomes overly cautious,আগের অভিজ্ঞতায় অতিরিক্ত সতর্ক হওয়া,C1,"Literature, counseling, political analysis","Literary, reflective",Fire imagery tied to agrarian cattle shelters,/ɡʱor poɽa ɡoru ʃindure meɡʱe ɖoray/,একবার প্রতারণা খাইয়া এখন ঘর পোড়া গরু সিঁদুরে মেঘে ডরায়।,ওর আচরণ দেইখা বুঝা যায় ঘর পোড়া গরু সিঁদুরে মেঘে ডরায়।,আগের ক্ষতির পর সে ঘর পোড়া গরু সিঁদুরে মেঘে ডরায় অইছে।
মাথার উপরে আকাশ ভাঙা,Metaphorical clause; subject + locative phrase + verb,Sudden overwhelming shock or distress,হঠাৎ বড় বিপদে পড়া,B2,"Family crises, emotional narration","Emotional, dramatic",Cosmic imagery common in Bengali folk storytelling,/matʰar upore akaʃ bʱaŋa/,খবরডা শুনে মাথার উপরে আকাশ ভাঙা অইল।,ঋণের চিঠি আইলে তার মাথার উপরে আকাশ ভাঙা যায়।,হঠাৎ চাকরি হারাইয়া মাথার উপরে আকাশ ভাঙা লাগল।
ঢাকের চোটে লাভ নাই,Nominal phrase + postpositional expression of futility,Making noise without meaningful outcome,ফাঁকা কথা বলা,B1,"Politics, social critique","Colloquial, dismissive",Festival drum metaphor implying loud but empty sound,/ɖʱaker t͡ʃoʈe lab nai/,শুধু বক্তৃতা দিয়া ঢাকের চোটে লাভ নাই।,কাম ছাড়া ঢাকের চোটে লাভ নাই কইলাম।,ওর প্রতিশ্রুতি ঢাকের চোটে লাভ নাই।
আগে পান্তা পরে পানি,Sequential imperative-like proverb; temporal ordering structure,Prioritize essentials before secondary matters,গুরুত্বপূর্ণ কাজ আগে করা,B1,"Family advice, financial planning","Didactic, practical",Rural food culture prioritization metaphor,/aɡe panta pore pani/,"আগে পান্তা পরে পানি, আগে পড়াশোনা শেষ কর।","টাকা কম, আগে পান্তা পরে পানি মনে রাখ।",ওরে উপদেশ দিলাম আগে পান্তা পরে পানি।
এক ঢিলে দুই পাখি মারা,Infinitive verbal clause expressing dual outcome,Achieving two goals with one action,এক কাজে দুই লাভ করা,B1,"Business, strategy, planning","Neutral, strategic",Hunting metaphor common in South Asian proverbs,/ek ɖʱile dui pakʰi mara/,এই পরিকল্পনায় এক ঢিলে দুই পাখি মারা অইব।,ওর সিদ্ধান্তে এক ঢিলে দুই পাখি মারা গেল।,ট্রেনিং আর নেটওয়ার্কিং একসাথে কইরা এক ঢিলে দুই পাখি মারা গরলাম।
চাল নাই চুলো নাই ঢেঁকি স্বর্গে যায়,Compound negative nominal clause with hyperbolic conclusion,Pretending to aim high despite lacking basic resources,বাস্তবতা না বুঝে বড় স্বপ্ন দেখা,C1,"Satire, social criticism","Ironic, critical",Agricultural imagery critiquing unrealistic ambition,/t͡ʃal nai t͡ʃulo nai ɖʱeŋki ʃorɡe d͡ʒay/,"ব্যবস্থা নাই, তয় বড় কথা — চাল নাই চুলো নাই ঢেঁকি স্বর্গে যায়।",ওর পরিকল্পনা শুনে মনে অয় চাল নাই চুলো নাই ঢেঁকি স্বর্গে যায়।,টাকা ছাড়া ব্যবসা শুরু কইরা চাল নাই চুলো নাই ঢেঁকি স্বর্গে যায় অবস্থা।
যার লাঠি তার ভেঁড়া,Possessive determiner clause; parallel noun structure,Power determines ownership or authority,ক্ষমতাবান ব্যক্তি সিদ্ধান্ত নেয়,B2,"Politics, law, power dynamics","Proverbial, assertive",Pastoral imagery reflecting rural authority hierarchies,/d͡ʒar laʈʰi tar bʱeɽa/,গ্রামত যার লাঠি তার ভেঁড়া চলে।,রাজনীতিত অনেক সময় যার লাঠি তার ভেঁড়া।,"বিচার নাই, যার লাঠি তার ভেঁড়া অবস্থা।"
