Idiom (Cuban Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cuban Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
estar más perdido que el hijo de Lindbergh,Comparative clause with idiomatic subject,To be completely lost or clueless,No saber dónde se está o qué se hace,B2,"daily speech, humor, sarcasm","colloquial, humorous","Refers to Charles Lindbergh’s baby, famous kidnapping case, adopted sarcastically in Cuban slang",[ehˈtaɾ mah peɾˈdi.o ke el ˈixo ðe linˈbeɾ],"Compadre, tú estás más perdido que el hijo de Lindbergh en esta reunión.","Cuando llegó al Vedado, el guajiro estaba más perdido que el hijo de Lindbergh.","Si sigues así, vas a terminar más perdido que el hijo de Lindbergh en La Habana Vieja."
comerse un cable,Reflexive verb construction,"To be going through hard times, especially financially",Estar pasando necesidad o dificultades económicas,B1,"daily speech, humor, social commentary","colloquial, ironic",Emerged in the Special Period in Cuba when resources were extremely scarce,[koˈmeɾse un ˈkaβle],Ahora mismo estoy comiéndome un cable con esta inflación.,"Muchacho, ¿y tú qué haces por aquí? ¿Comiéndote un cable también?","Desde que lo votaron del trabajo, se ha estado comiendo un cable bien serio."
irse con la de trapo,Pronominal verb + prepositional phrase,To be deceived or fall for a trick,Caer en una trampa o ser engañado,B2,"daily speech, family, humor","colloquial, ironic","Likely from colonial-era puppet shows or street slang, metaphor for being misled by something harmless-looking",[ˈiɾse kon la ðe ˈtɾapo],"Pipo, te fuiste con la de trapo con ese cuento de la prima.","Yo sabía que era mentira, pero él se fue con la de trapo completico.","No me voy con la de trapo otra vez, esta vez reviso bien los papeles."
tener tremenda muela,Verb phrase with intensifier,"To talk excessively or persuasively, often to manipulate",Hablar mucho con el propósito de convencer o manipular,B1,"daily speech, workplace, humor","colloquial, ironic",From slang for long-winded talkers or street hustlers,[teˈneɾ tɾeˈmenda ˈmwe.la],"Ese tipo tiene tremenda muela, cuidado si te vende la torre de Gálvez.","No le creas nada, siempre viene con tremenda muela.",Mi primo resolvió con tremenda muela pa’ que le prestaran el carro.
estar en talla,Verb phrase with prepositional phrase,To be on point or in agreement; to be up to standard,"Estar correcto, en onda, o en sincronía",A2,"daily speech, youth culture, teamwork","colloquial, youthful","Recent urban Cuban slang, popularized through music and street culture",[ehˈtaɾ en ˈta.ʝa],"¡Asere, tú estás en talla pa’ la entrevista!","Cuando ella explicó todo, vi que estaba en talla.",Los muchachos del barrio están en talla con la limpieza del solar.
estar como bola e’ trapo,Simile with comparative clause,To be physically or emotionally worn out,Estar exhausto o muy golpeado,B2,"daily speech, humor, workplace","colloquial, humorous","Refers to makeshift cloth balls used by children, always worn and tattered",[ehˈtaɾ ˈkomo ˈβola e ˈtɾapo],Después del turno doble estoy como bola e’ trapo.,Mi abuela se siente como bola e’ trapo con esta calor.,"Tanto problema me tiene como bola e’ trapo, sin ánimo de ná."
dar cuero,Verb phrase with object,To mock or criticize someone playfully or harshly,Burlar o criticar con intención humorística o hiriente,B1,"daily speech, humor, school, politics","colloquial, sarcastic",May derive from Afro-Cuban expressions or metaphor of lashes (cuero = whip/leather),[daɾ ˈkwe.ɾo],Hoy sí te van a dar cuero por ese corte de pelo.,La prensa le dio cuero al ministro por su discurso.,"No te metas en eso, que a ti también te van a dar cuero."
estar más salao que un bacalao,Comparative simile with noun phrase,To be very unlucky,Tener muy mala suerte,B1,"daily speech, humor, family","colloquial, humorous","Bacalao (salt cod) is a common, extremely salty food; metaphor for excess",[ehˈtaɾ mah saˈla.o ke un bakaˈla.o],"¡Muchacha, tú estás más salá que un bacalao!",Desde que empezó el año estoy más salao que un bacalao.,"A ese le pasa todo, vive más salao que un bacalao seco."
no tener donde caerse muerto,Negative verbal clause with idiomatic reflexive,To be very poor,Estar sin dinero ni recursos básicos,B2,"daily speech, social commentary, literature","colloquial, literary","Common in Latin America, intensified by Cuban scarcity narratives",[no teˈneɾ ˈdon.de kaˈeɾ.se ˈmweɾ.to],Ese hombre no tiene donde caerse muerto y aún así sonríe.,"Cuando llegué a La Habana, no tenía donde caerme muerto.",Vivimos tantos años sin tener donde caerse muerto que ya nos da risa.
irse a bolina,Pronominal verb phrase with prepositional complement,"To go downhill, fail or fall apart",Desmoronarse o arruinarse algo completamente,C1,"politics, economy, literature, sarcasm","colloquial, sarcastic, literary",Derived from maritime slang; 'bolina' refers to a tight sailing angle—difficult or failing,[ˈiɾ.se a βoˈli.na],El plan se fue a bolina cuando subieron los precios.,"Si seguimos así, esto se va a bolina en menos de un mes.",La reunión se fue a bolina con tanta discusión absurda.
