Idiom (Danish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Danish)",First Example Sentence,Second Example Sentence,Third Example Sentence
At have ben i næsen,Fast expression; possessive structure,"To be determined, persistent, courageous",At være beslutsom og handlekraftig,B2,"Workplace, daily speech, leadership",Colloquial,Old seafaring communities where nose was metaphorically associated with facing winds bravely,ˈhævə ˈbeːn i ˈnɑːsn̩,Hun har virkelig ben i næsen og lader sig ikke kyse af modstand.,"Hvis du vil starte egen virksomhed, skal du have ben i næsen.","Politikeren viste, at han havde ben i næsen under debatten."
At stikke op for bollemælk,Verb phrase; negative subjunctive connotation,To be overly sensitive or cowardly,At være pylret eller sart,C1,"Humor, daily speech","Colloquial, ironic","Traditional Danish dairy dish, soft and sweet, used to mock softness",ˈstikə ɔb fɔː ˈbɔləmɛlg,"Du må ikke stikke op for bollemælk, når kritikken hagler.","Han stak op for bollemælk, så snart der blev stillet krav.","Vi har ikke plads til folk, der stikker op for bollemælk."
At skyde papegøjen,Verb phrase; fixed expression,To be extremely lucky,At være meget heldig,B1,"Daily speech, gambling, business","Colloquial, humorous",Carnival games where the main prize involved shooting at a parrot-shaped target,ˈskyðə pæbəˈgøjən,Han skød virkelig papegøjen med sin nye jobmulighed.,"Hvis du vinder lotteriet, har du skudt papegøjen!",De skød papegøjen ved at investere på det rigtige tidspunkt.
At kaste håndklædet i ringen,Idiomatic phrase; based on boxing imagery,To give up or admit defeat,At overgive sig eller give op,B2,"Sports, workplace, politics","Neutral, formal",Originates from boxing where a thrown towel signals surrender,ˈkɑsdə ˈhɔnːklɛːðəð i ˈʁeŋ,Efter lang kamp måtte han kaste håndklædet i ringen.,"Projektet var dømt til at fejle, så de kastede håndklædet i ringen.","Hun nægtede at kaste håndklædet i ringen, trods alle odds."
At være ude med riven,Verb phrase; metaphorical,To criticize others sharply,At kritisere eller angribe nogen,C1,"Politics, workplace, media","Ironic, formal",Refers to farmers using rakes to 'attack' weeds,ˈvæːɐ ˈuːðə mə ˈʁiːvən,Oppositionen var ude med riven under debatten.,"Han er altid ude med riven, når budgettet diskuteres.",Avisen var igen ude med riven mod regeringen.
At slå to fluer med ét smæk,Coordinated verb phrase,To achieve two goals with one action,At opnå to ting på én gang,B1,"Workplace, problem-solving, daily speech",Colloquial,Traditional pest control imagery,ˈslɔ ˈtoː ˈfluɐ̯ mɑ ˈeːd ˈsmɛk,Ved at kombinere opgaverne slog vi to fluer med ét smæk.,Hun slog to fluer med ét smæk med sin løsning.,Projektet slog to fluer med ét smæk: effektivitet og besparelser.
At gå over åen efter vand,Prepositional phrase; ironic,To complicate things unnecessarily,At gøre noget unødigt besværligt,B2,"Daily speech, workplace","Colloquial, ironic",Based on geographic imagery of unnecessary detours,ˈgɔ ˈɔːɐ̯ ˈɔːən ˈɛfdɐ ˈvan,De gik over åen efter vand ved at hyre en dyr konsulent.,Vi behøver ikke gå over åen efter vand for en simpel løsning.,At gå over åen efter vand er spild af tid.
At få kolde fødder,Verb phrase; reflexive sense,To get cold feet; to lose courage,At blive usikker eller bange,B2,"Marriage, workplace, life changes","Colloquial, psychological",Literal reference to fear causing chills,ˈfɔ ˈkɔlə ˈføːðɐ,Han fik kolde fødder dagen før brylluppet.,Vi fik kolde fødder og droppede projektet.,Hun får altid kolde fødder før store beslutninger.
At smøre tykt på,Verb phrase; figurative exaggeration,To exaggerate greatly,At overdrive,C1,"Daily speech, humor, literature","Colloquial, humorous",Based on the imagery of applying a thick layer,ˈsmɶː ˈtygd pʰɔ,"Han smører altid tykt på, når han fortæller historier.",De smurte tykt på for at gøre sagen mere dramatisk.,Journalisten smurte tykt på i artiklen.
At gå som varmt brød,Fixed phrase; commercial metaphor,To sell very quickly,At blive solgt hurtigt,B1,"Commerce, daily speech",Colloquial,Based on bakery sales when fresh bread was prized,ˈgɔ sɔm ˈvɑːmˀd ˈbʁœð,Billetterne gik som varmt brød.,De nye sko går som varmt brød i butikkerne.,Hun solgte sine malerier som varmt brød.
