Idiom (Drents),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Drents)",First Example Sentence,Second Example Sentence,Third Example Sentence
De koe bie de hoorns vatten,Vaste infinitiefconstructie met lijdend voorwerp; verbaal idioom,Direct en moedig een probleem aanpakken zonder uitstel,Een probleem onmiddellijk aanpakken,B1,"Dagelijkse spraak, werkvloer, politiek debat","Colloquial, resoluut","Afkomstig uit het boerenleven in Drenthe, waar fysieke moed bij veehandel symbool stond voor daadkracht",/də ku bi də hɔrns ˈvatən/,Wi'j mutten de koe bie de hoorns vatten en dat conflict oplössen.,Hee vatte de koe bie de hoorns toen de financiën uut de hand liepen.,As bestuurder moej soms de koe bie de hoorns vatten.
Met de handen in 't haar zitten,Vaste voorzetseluitdrukking met infinitief 'zitten',Radeloos of wanhopig zijn over een situatie,Niet weten wat te doen,B1,"Familie, onderwijs, humoristische situaties","Colloquial, emotioneel","Beeldspraak van fysieke wanhoop, veel gebruikt in Noord-Nederlandse dialecten",/mɛt də ˈhandən ɪn t har ˈzɪtən/,Zi'j zat met de handen in 't haar deur de kapotte wasmachine.,De leerkracht zat met de handen in 't haar nao het rumoer in de klas.,Ik zat gister met de handen in 't haar toen de computer vastleup.
De kop in 't zand steken,Vaste werkwoordelijke uitdrukking met reflexieve nuance,Problemen negeren in plaats van ze onder ogen zien,Een probleem ontwijken,B2,"Politiek, maatschappelijk debat, werk","Ironic, kritisch",Verwijst naar het beeld van een struisvogel; wijdverspreid in Germaanse talen,/də kɔp ɪn t zant ˈstekən/,Hee steekt de kop in 't zand as 't moeilijk wordt.,Wi'j kunt niet langer de kop in 't zand steken over klimaatverandering.,De directie stak de kop in 't zand bij de klachten.
Dat is veur de kat zien viool,Vaste nominale vergelijking,Iets doen dat totaal zinloos is,Dat heeft geen enkel nut,B2,"Humor, dagelijkse frustraties","Humoristisch, licht sarcastisch","Volksuitdrukking; een kat waardeert geen vioolmuziek, dus inspanning is verspild",/dat ɪs vør də kat zin viˈjol/,Al dat gepraat was veur de kat zien viool.,"As hee niet luustert, is uitleggen veur de kat zien viool.",Zunder voorbereiding wark is veur de kat zien viool.
De knoop deurhakken,Vaste infinitiefuitdrukking met samengesteld werkwoord,Definitief een besluit nemen na twijfel,Een beslissing nemen,B1,"Werk, bestuur, gezin","Neutraal, besluitvaardig",Verwijzing naar de Gordiaanse knoop uit de klassieke oudheid,/də knoːp dørˈhakən/,Nao lang overleg hakte wi'j de knoop deur.,De wetholder moet de knoop deurhakken over het budget.,Soms moej gewoan de knoop deurhakken.
Een donderslag bie heldere hemel,Vaste nominale uitdrukking,Een totaal onverwachte gebeurtenis,Een onverwachte gebeurtenis,B2,"Nieuws, familiegesprekken","Dramatisch, expressief",Gebaseerd op natuurervaringen in open Drents landschap,/ən ˈdɔndərslax bi ˈhɛldərə ˈhɛməl/,Het ontslag kwam as een donderslag bie heldere hemel.,Dat nieuws was een donderslag bie heldere hemel.,Heur vertrek voelde as een donderslag bie heldere hemel.
Het hart op de tonge hebben,Werkwoordelijke vaste uitdrukking,Rechtuit spreken zonder terughoudendheid,Eerlijk en direct spreken,B1,"Familie, sociale interactie","Colloquial, openhartig",Beeldspraak die openheid koppelt aan fysieke nabijheid van hart en tong,/ət hart ɔp də ˈtɔŋə ˈhɛbən/,Zi'j hef het hart op de tonge en zegt wat ze denkt.,"Hee hef altied het hart op de tonge, ook in vergaderingen.",Met heur hart op de tonge maakte zi'j indruk.
Op eieren lopen,Vaste infinitiefuitdrukking,Zeer voorzichtig handelen om conflicten te vermijden,Heel voorzichtig zijn,B2,"Werkvloer, gezin, conflictbemiddeling","Neutraal, licht ironisch",Kwetsbaarheid van eieren als metafoor voor fragiele situaties,/ɔp ˈɛiərən ˈlopən/,Wi'j loopt op eieren rond de nieuwe chef.,Thuus moet hee op eieren lopen nao het meningsverschil.,In die vergadering liep iederiene op eieren.
Iemand een loer draaien,Transitieve vaste uitdrukking met lijdend voorwerp,Iemand bedriegen of misleiden,Iemand misleiden,C1,"Humor, literatuur, informele gesprekken","Colloquial, soms negatief",‘Loer’ verwijst historisch naar een hinderlaag of valstrik,/ˈimant ən lur ˈdraːiən/,Hee dreide zien vriend een loer in het kaartspel.,Ze probeerden de klant een loer te draaien.,In het verhaal draait de hoofdpersoon iederiene een loer.
Met twee linkerhanden geboren zijn,Vaste predicatieve uitdrukking met voltooid deelwoord,Onhandig zijn in praktische zaken,Niet handig zijn,B1,"Dagelijkse humor, familie","Humoristisch, mild spottend",Linkerhand werd traditioneel geassocieerd met onhandigheid in Europese cultuur,/mɛt twe ˈlɪŋkərˌhandən xəˈborən zain/,Ik bin met twee linkerhanden geboren as 't op klussen ankump.,Hee is met twee linkerhanden geboren en breekt altied wat.,Ze lachte en zee dat ze met twee linkerhanden geboren was.
