Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Iglu pagtuq aniguq,Fixed biclausal construction with intransitive verb + resultative clause,When a problem becomes larger because it was ignored,Problem grew worse over time,B2,"Family discussions, community meetings, conflict reflection","Colloquial, reflective",Winter survival metaphor referencing snow accumulation against houses,/iɣ.lu paɣ.tuq a.ni.ɣuq/,"Iglu pagtuq aniguq, ellangqellruunga tamatkuni.",Ayuqunaq iglu pagtuq aniguq iluani.,Taamna qanrutke iglu pagtuq aniguq.
Qepghaghaq ellangqertuq,Metaphorical noun + stative verb construction,Someone who pretends to know everything,Person is overconfident,C1,"Humor, political commentary, workplace sarcasm","Ironic, humorous",Derived from hunting pride narratives,/qep.ʁa.ʁaq el.laŋ.qer.tuq/,Qepghaghaq ellangqertuq tamatkuni aŋun.,Ellangqertuq qepghaghaq ilagii.,Aŋun qepghaghaq ellangqertuq.
Umyuaq aturluni ellangqertuq,Instrumental participial phrase with reflexive implication,To act recklessly without foresight,Acts without thinking,B2,"Daily speech, parenting advice","Colloquial, advisory",Sea navigation metaphor,/u.mju.aq a.tur.lu.ni el.laŋ.qer.tuq/,Umyuaq aturluni ellangqertuq aŋun.,Ellangqertuq umyuaq aturluni.,Tamatkuni umyuaq aturluni ellangqertuq.
Qanrutkeq tuquq,Imperative-based ironic construction,Speaking carelessly causes trouble,Words create consequences,C1,"Community governance, elder advice","Serious, cautionary",Oral tradition emphasizing careful speech,/qa.nʁut.keq tu.quq/,"Qanrutkeq tuquq, ellangqellruuq.",Tuquq qanrutkeq tamatkuni.,Aŋun qanrutkeq tuquq.
Cam aniguq ellamun,Adverbial clause with directional suffix,Something disappears unexpectedly,It vanished suddenly,B1,"Storytelling, humor","Neutral, narrative",Seasonal animal migration reference,/t͡ʃam a.ni.ɣuq el.la.mun/,Cam aniguq ellamun tamatkuni.,Aŋun cam aniguq ellamun.,Iglu cam aniguq ellamun.
Aŋun ellangqellruuq nakuuruaq,Past stative clause with evaluative adjective,Someone proved wise after doubt,Person turned out wise,B2,"Family praise, reflection","Positive, affirming",Elder praise expression,/aŋ.un el.laŋ.qel.ɬʁuːq na.kuː.ʁu.aq/,Aŋun ellangqellruuq nakuuruaq.,Ellangqellruuq nakuuruaq tamatkuni.,Tamatkuni aŋun ellangqellruuq nakuuruaq.
Iluani qepghaghaq,Noun phrase with locative nuance,Hidden arrogance,Quiet pride,C2,"Literature, advanced discourse","Poetic, subtle",Linked to communal humility values,/i.lu.a.ni qep.ʁa.ʁaq/,Iluani qepghaghaq ellangqertuq.,Aŋun iluani qepghaghaq.,Qepghaghaq iluani tamatkuni.
Ella nangeqtuq,Intransitive stative clause,Truth eventually stands firm,Truth becomes clear,B1,"Conflict resolution, teaching","Formal, moral",Community justice metaphor,/el.la naŋ.eq.tuq/,Ella nangeqtuq tamatkuni.,Nangeqtuq ella aŋun.,Tamatkuni ella nangeqtuq.
Ublumi ayuqunaq pagtuq,Temporal adverb + evaluative predicate,Today feels unusually difficult,Hard day,A2,"Daily speech, informal complaints",Colloquial,Seasonal hardship reference,/ub.lu.mi a.ju.qu.naq paɣ.tuq/,Ublumi ayuqunaq pagtuq.,Ayuqunaq pagtuq ublumi.,Pagtuq ayuqunaq ublumi.
Agayutmun ellangqertuq,Directional postpositional phrase with stative verb,To behave with moral awareness,Acts responsibly,B2,"Church, moral discussion","Respectful, formal",Christian-era influence on SLI Yupik discourse,/a.ɣa.jut.mun el.laŋ.qer.tuq/,Agayutmun ellangqertuq aŋun.,Aŋun agayutmun ellangqertuq.,Ellangqertuq agayutmun tamatkuni.
