Idiom (Faroese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Faroese)",First Example Sentence,Second Example Sentence,Third Example Sentence
at fáa skøtuna í høvdið,"Fast verb phrase with object, figurative passive construction",To receive harsh or unexpected criticism or punishment,To be blamed or punished suddenly,C1,"Workplace, politics, humor","Colloquial, ironic","Refers to getting hit by a ray (skata), a metaphor in fishing culture for sudden misfortune",[a ˈfɔa ˈskœːtʊna i ˈhœvːɪd],"Tá arbeiðið gekk galið, fekk hann skøtuna í høvdið frá leiðaranum.","Hon visti, at hon fór at fáa skøtuna í høvdið, tá hon segði sannleikan.","Vit komu aftur, og alt var í ringum standi – og eg fekk sjálvandi skøtuna í høvdið."
at hava heilan í koppinum,Fixed clause with possessive verb phrase,"To be clever, mentally sharp",To be intelligent or quick-witted,B2,"Education, daily speech, praise","Colloquial, positive","Reflects older folk metaphor comparing brain to liquid in a cup, signaling presence of wisdom",[a ˈhaːva ˈhɛiːlan i ˈkʰʊhpːinʊm],"Tað sæst beinanvegin, at tú hevur heilan í koppinum.","Lærarin segði, at hon hevði heilan í koppinum – hon skilti alt við einum.","Tá spurningarnir vórðu settir, svaraði hann sum skot – heilan í koppinum, segði tey."
at drekka sær til mót og megi,Infinitive verb phrase with reflexive purpose,To drink alcohol to gain courage or strength,To drink to boost confidence,C1,"Humor, social life, satire","Humorous, ironic",References traditional gatherings where drink was used to prepare for speeches or action,[a ˈtrɛhka sɛaʊ̯ɹ tʃɪl ˈmouːt ɔ ˈmɛiː],Hann mátti drekka sær til mót og megi áðrenn hann bjóðaði henni út.,"Eg veit, tú drekkur tær til mót og megi, men tú kundi bara sagt tað beint út!",Tey sótu við borðið og drukku sær til mót og megi – nú skuldu tey syngja alment.
at snara sær sum roktur havhestur,Simile clause with reflexive verb,To react erratically or panic under stress,To act chaotically when pressured,C2,"Literature, sarcasm, critical description","Literary, sarcastic",Havhestur (fulmar) is known for spinning and screeching in storms,[a ˈsnɛaɹa sɛaʊ̯ɹ sʊm ˈɹɔktʊɹ ˈhɔuvhɛstʊɹ],"Tá hann hoyrdi tíðindini, snaraði hann sær sum roktur havhestur.",Eg havi ongantíð sæð hana snara sær so – sum ein roktur havhestur í stormi!,Ikki snara tær sum roktur havhestur – tað loysir einki!
at ganga við tí sum huldumaðurin,Infinitive clause with simile and indefinite noun phrase,"To keep something secretively, hidden from others",To hide something or not share information,B2,"Family, interpersonal relationships","Neutral, poetic","Huldumenn are hidden people in Faroese folklore, known to live in secrecy",[a ˈkaŋka vɪ ˈtʰiː sʊm ˈhʊlʊmaʊ̯ɹɪn],"Tú gongur við tí sum huldumaðurin – sig mær, hvat er í gongd?","Hon gekk við hesum loyniliga, sum huldumaðurin við sínum gulli.","Ikki ganga við tí sum huldumaðurin, deil tað við okkum!"
at syngja sum skordýrið í sólini,Simile clause with infinitive verb phrase,To be overly optimistic or naive before disaster strikes,To be blindly cheerful before a downfall,C2,"Literature, satire, social critique","Poetic, ironic",Insects are drawn to the sun but often burn—metaphor for tragic naivety,[a ˈsʏɲca sʊm ˈskɔɹˌdʊiɹɪ ɪ ˈsɔuːlɪnɪ],"Hann syngur sum skordýrið í sólini, hóast hann veit hvat kemur.","Tað er vakurt, men hann syngur sum skordýrið í sólini – tað endar ikki væl.","Politikararnir syngja sum skordýrini í sólini – glaðir, hóast óveðrið nærkast."
at vera sum eitt lamb í varginum,Simile clause using passive nominal comparison,To be vulnerable or defenseless in a dangerous situation,To be at someone's mercy or helpless,B2,"Politics, workplace, drama","Serious, literary",Lambs and wolves figure prominently in Nordic metaphor and folklore,[a ˈvɛaɹa sʊm ˈaɪ̯tː ˈlam i ˈvaɹjɪnʊm],Hon var sum eitt lamb í varginum millum teir harðrendu leiðararnar.,"Tá hann talaði móti teimum, var hann sum eitt lamb í varginum.","Eg føldi meg sum eitt lamb í varginum, tá tey byrjaðu at finna meg at."
at leggja høvdið á blokkin,Infinitive verb phrase with object and definite article,"To take a serious risk, often to defend an idea or person",To risk oneself entirely,C1,"Politics, activism, high-stakes decisions","Formal, dramatic",Historic execution image – placing head on chopping block,[a ˈlɛca ˈhœvːɪd a ˈplɔhkin],Hon legði høvdið á blokkin fyri arbeiðsfelagan.,"Tað er ikki hvønn dag, tú leggur høvdið á blokkin fyri eitt mál.","Hann var til reiðar at leggja høvdið á blokkin, sjálvt um útlitini vóru ring."
at vera ikki bangin fyri ongum,Negative clause with comparative and pronoun,"To be fearless, show bravery against all odds",To not be afraid of anything,B1,"Motivational speech, youth, folklore","Colloquial, heroic","Tied to Faroese sagas of bravery, resisting oppression",[a ˈvɛaɹa ˈɪtʃi ˈpaŋɪn ˈfʊɹɪ ˈɔŋkʊm],"Tað sást beinanvegin, hann var ikki bangin fyri ongum.",Eg haldi tú ert ikki bangin fyri ongum – tað er at dáma!,Okkara forfedrar vóru ikki bangnir fyri ongum – og tað skulu vit heldur ikki vera.
at sleppa undan við blákalli,Verb phrase with prepositional complement and object,To escape consequences through charm or deceit,To get away with something easily,B2,"Humor, daily speech, politics","Ironic, colloquial",Blákallur was once a slang for a clever trickster,[a ˈslɛhpa ˈʊntan vɪ ˈblaʊkʰalːɪ],Hann royndi at sleppa undan við blákalli – og tað riggaði eisini hesa ferðina.,"Tú sleppur ikki undan við blákalli hvørja ferð, vinur!",Fólk í valdinum sleppa alt ov ofta undan við blákalli.
