Idiom (Farsi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Farsi)",First Example Sentence,Second Example Sentence,Third Example Sentence
آب در هاون کوبیدن,"Fixed clause, infinitive form",To make a futile effort.,تلاش بیهوده کردن.,B2,"Workplace, politics, daily speech","Formal, colloquial",Traditional imagery from manual labor metaphors.,ʔɒːb dær hɒːvun kubidæn,نصیحت او مثل آب در هاون کوبیدن بود.,در برابر لجاجت او، آب در هاون کوبیدم.,دعوا با او آب در هاون کوبیدن است.
چوب خط پر شدن,"Fixed clause, passive construction",To reach a limit or quota.,به حد نهایی رسیدن.,B1,"Workplace, humor, daily speech",Colloquial,Historical reference to keeping scores on sticks.,tʃub-xɑt por ʃodæn,دیگر وام نمی‌دهند، چوب خطت پر شده.,چوب خط اشتباهاتش پر شد.,مراقب باش چوب خطت زود پر نشود.
پنبه کسی را زدن,Verb phrase with metaphorical object,To thoroughly defeat or humiliate someone.,کسی را به شدت شکست دادن.,C1,"Politics, workplace, humor","Colloquial, ironic",Traditional imagery linked to cotton processing.,pæmbe-ye kasi rɑ zædæn,در مناظره، پنبه‌اش را زدند.,او در جلسه کاری پنبه مدیر را زد.,پنبه حریفش را در مسابقه زد.
دود از کنده بلند می‌شود,"Fixed clause, simple present",Experience and old age still hold power.,بزرگان هنوز توانمندند.,B2,"Family, workplace, humor","Colloquial, formal",Derived from traditional fire-making practices.,dud æz konde bolænd miʃævəd,پیرمرد نشان داد که دود از کنده بلند می‌شود.,در فوتبال هم دود از کنده بلند می‌شود.,با این نتیجه فهمیدیم دود از کنده بلند می‌شود.
مار گزیده از ریسمان سیاه و سفید می‌ترسد,"Fixed clause, complex conditional",A once-burned person fears even harmless things.,فرد آسیب دیده، بی‌جهت محتاط می‌شود.,C1,"Family, workplace, literature","Formal, literary",Ancient cautionary sayings about survival.,mɑr gazide æz risman-e siɑh o sefid mitarsad,او بعد از آن تصادف، از همه چیز می‌ترسد؛ مار گزیده از ریسمان سیاه و سفید می‌ترسد.,بعد از ورشکستگی، مار گزیده شده بود.,این ترس بیجاست اما مار گزیده از ریسمان سیاه و سفید می‌ترسد.
با دست پس زدن با پا پیش کشیدن,"Fixed clause, parallel actions",To pretend to reject something while secretly wanting it.,ظاهراً رد کردن اما در دل خواستن.,B2,"Family, romance, humor","Colloquial, ironic",Traditional Persian expressions of pride and courtship.,bɑ dæst pas zædæn bɑ pɑ piʃ kæʃidæn,او با دست پس زد و با پا پیش کشید.,در خواستگاری، با دست پس زد ولی با پا پیش کشید.,این سیاستمدارها همیشه با دست پس می‌زنند و با پا پیش می‌کشند.
آتش زیر خاکستر بودن,"Fixed clause, metaphorical",A hidden danger or unresolved conflict.,خطر پنهان.,C2,"Politics, family, workplace","Formal, literary",Persian wisdom about latent dangers.,ʔɒːtæʃ zire xɒːkestar budæn,رابطه‌شان مثل آتش زیر خاکستر بود.,این بحران سیاسی آتش زیر خاکستر است.,آتش زیر خاکستر خانواده دیر یا زود شعله‌ور می‌شود.
چشمش کور دلش خوش,Fixed ironic structure,Ignorantly happy without realizing the truth.,از واقعیت بی‌خبر خوشحال بودن.,B2,"Humor, family, daily speech","Colloquial, ironic",Common Persian ironic humor.,tʃæʃmæʃ kur delæʃ xoʃ,چشمش کور دلش خوش که همه چیز خوب است.,چشمش کور دلش خوش مانده به وعده‌های توخالی.,چشمش کور دلش خوش به ظاهر زندگی.
سنگ روی یخ شدن,Verb phrase with metaphorical object,To be embarrassed or humiliated.,تحقیر شدن.,B1,"Family, humor, workplace","Colloquial, humorous",Persian imagery of helplessness and cooling.,sæŋ ruː-ye jæx ʃodæn,جلوی همه سنگ روی یخ شدم.,پیشنهادش را رد کردند و سنگ روی یخ شد.,با آن حرف، او را سنگ روی یخ کردند.
گوش کسی را کر کردن,Verb phrase with metaphorical effect,To talk so much that someone gets annoyed.,زیاد حرف زدن تا حد خسته کردن.,A2,"Family, humor, daily speech",Colloquial,Common metaphor in Persian humor about nagging.,guʃ-e kasi rɑ kær kærdæn,آن‌قدر حرف زد که گوشم را کر کرد.,با نصیحت‌هایش گوش بچه‌ها را کر کرده بود.,در مهمانی گوش همه را کر کرد.
