Idiom (Filipino),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Filipino)",First Example Sentence,Second Example Sentence,Third Example Sentence
Pasan ang daigdig,Fixed clause with nominal phrase,Pakiramdam na napakarami ng problema o pasanin sa buhay.,Napakaraming problema.,B2,"Daily speech, literature, drama","Colloquial, poetic",Karaniwang ginagamit sa mga nobela at tula noong panahon ng mga balagtasan.,/ˈpasan ʔaŋ daʔigˈdig/,Pakiramdam ko ay pasan ang daigdig matapos ang lahat ng pagsubok ngayong taon.,Parang pasan ang daigdig si Marco dahil sa bigat ng responsibilidad sa pamilya.,"Sa kanyang mga mata, mababakas ang pasan ang daigdig na kanyang dinadala."
Itaga mo sa bato,Imperative clause,Isang pangako na tiyak at hindi mababawi.,Siguradong mangyayari.,B1,"Daily speech, promises, family","Colloquial, emphatic",Galing sa paniniwala na ang nakaukit sa bato ay hindi mabubura.,/ʔiˈtaga mo sa baˈto/,Itaga mo sa bato na babalik ako bago magtakipsilim.,"Itaga mo sa bato, hindi kita pababayaan kahit kailan.",Itaga mo sa bato na matatapos ang proyekto ngayong linggo.
Bilog ang mundo,Declarative clause,Ang kapalaran ay umiikot; maaaring magbago ang sitwasyon.,Nagbabago ang kapalaran.,B2,"Daily speech, politics, workplace, literature","Colloquial, reflective",Nag-ugat mula sa paniniwala sa pagbabago ng tadhana.,/ˈbilog ʔaŋ munˈdo/,"Huwag kang magmalaki, tandaan mong bilog ang mundo.","Bilog ang mundo, baka bukas siya naman ang mangailangan.","Sa politika, bilog ang mundo at ang nasa ibaba ngayon ay maaaring umangat bukas."
"Nasa Diyos ang awa, nasa tao ang gawa",Proverbial compound sentence,"Kahit may tulong ng Diyos, kailangang magsikap ang tao.",Kailangan ng sariling pagsisikap.,C1,"Religion, family, education, literature","Formal, proverbial",Isang tanyag na kasabihang Kristiyano sa Pilipinas.,"/ˈnasa djos ʔaŋ ˈʔawa, ˈnasa tao ʔaŋ gaˈwa/","Laging tandaan na nasa Diyos ang awa, nasa tao ang gawa.","Ang pagtupad sa pangarap ay nasa Diyos ang awa, nasa tao ang gawa.","Kahit anong dasal, kailangan pa rin ang pagsisikap: nasa Diyos ang awa, nasa tao ang gawa."
Butas ang bulsa,Nominal phrase with metaphor,Walang pera o laging ubos ang pera.,Walang pera.,A2,"Daily speech, humor, workplace","Colloquial, humorous",Batay sa imahen ng pera na laging nahuhulog sa bulsa na may butas.,/ˈbutas ʔaŋ ˈbulsa/,Butas ang bulsa ko matapos ang sunod-sunod na bayarin.,Palaging butas ang bulsa ni Pedro dahil sa bisyo.,Nagbiro siya na butas ang bulsa niya tuwing araw ng sahod.
Bukas ang palad,Adjectival phrase,Mapagbigay o matulungin.,Mapagbigay.,B1,"Daily speech, family, community service, religion","Colloquial, formal",Nagmula sa simbolismo ng pagbibigay gamit ang palad.,/ˈbukas ʔaŋ ˈpalad/,Siya ay bukas ang palad sa mga nangangailangan.,Bukas ang palad si Aling Rosa sa kanyang mga kapitbahay.,Ang pamilya nila ay kilala sa pagiging bukas ang palad.
Nagbibilang ng poste,Progressive verb phrase,Walang trabaho at palakad-lakad lamang.,Walang trabaho.,B2,"Daily speech, workplace, humor, politics","Colloquial, sarcastic",Galing sa imahen ng taong naglalakad sa kalsada na tila nagbibilang ng poste.,/nagbiˈbiːlaŋ naŋ ˈposte/,Araw-araw na lang siyang nagbibilang ng poste sa kanto.,"Imbes na maghanap ng trabaho, nagbibilang ng poste lang siya.",Tinukso siya ng barkada na nagbibilang ng poste tuwing umaga.
Kapit sa patalim,Prepositional phrase,Pagkilos kahit mapanganib dahil sa desperasyon.,Nagawa dahil sa matinding desperasyon.,C1,"Daily speech, politics, literature, crime","Colloquial, literary, dramatic",Nauugnay sa mga kwento ng krimen at desperasyon.,/ˈkapit sa pataˈlim/,"Dahil sa kahirapan, napilitan siyang kumapit sa patalim.",Maraming tao ang kumakapit sa patalim para lamang mabuhay.,Ang kanyang desisyon ay tila kapit sa patalim dahil sa desperasyon.
Nasa ilalim ng tulay,Prepositional phrase,Walang tirahan o palaboy.,Walang bahay.,B2,"Daily speech, social commentary, politics","Colloquial, sarcastic, dramatic",Batay sa imahen ng mga taong naninirahan sa ilalim ng tulay.,/ˈnasa ʔiˈlalim naŋ tuˈlaj/,Matagal na siyang nasa ilalim ng tulay matapos mawalan ng trabaho.,Nasa ilalim ng tulay ang pamilya dahil sa kawalan ng tirahan.,Ginamit ng politiko ang imahen ng nasa ilalim ng tulay sa kanyang talumpati.
"Hampas sa kalabaw, latay sa kabayo",Proverbial compound sentence,Ang parusa o pahayag sa isa ay nakakaapekto rin sa iba.,Ang ginawa sa isa ay damay ang iba.,C2,"Daily speech, family, literature, sarcasm","Proverbial, ironic, literary",Nagmumula sa mga karanasan ng magsasaka sa pakikitungo sa hayop.,"/hamˈpas sa kalaˈbaw, laˈtaj sa kaˈbajo/","Hampas sa kalabaw, latay sa kabayo ang mga salita ng guro sa buong klase.","Naramdaman ng lahat ang puna niya—hampas sa kalabaw, latay sa kabayo.","Sa pulitika, madalas hampas sa kalabaw, latay sa kabayo ang mga desisyon."
