Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (FR),Non-Idiomatic Equivalent (FR),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Tomber dans les pommes,Fixed verb phrase with a prepositional complement,"S'évanouir soudainement, perdre connaissance.",S'évanouir.,B1,"daily speech, humor, workplace","Informal, Colloquial",Dates to the 19th century; possibly from 'pommes cuites' (slang for being drunk or dazed),tɔ̃.be dɑ̃ le pɔm,Il faisait tellement chaud dans la salle qu’elle est tombée dans les pommes.,"En apprenant la nouvelle, j’ai failli tomber dans les pommes.",Il tombe dans les pommes dès qu’il voit une goutte de sang.
Poser un lapin,Transitive verb phrase with direct object,Ne pas se présenter à un rendez-vous sans prévenir.,Ne pas venir à un rendez-vous.,B1,"daily speech, dating, humor","Informal, Playful",Appeared in the 19th century; ‘lapin’ may have symbolized an unwanted surprise or trickery.,pɔ.ze œ̃ la.pɛ̃,J’étais au café depuis une heure — il m’a encore posé un lapin.,Elle a posé un lapin à son collègue sans même s’excuser.,Tu comptes lui poser un lapin ou tu vas y aller ?
Avoir le cafard,Transitive verb phrase with idiomatic noun complement,Se sentir déprimé ou mélancolique.,Être triste ou mélancolique.,A2,"daily speech, literature, introspection","Informal, Melancholic",Popularized by French poet Verlaine; ‘cafard’ meaning ‘cockroach’ symbolizes gloom.,a.vwaʁ lə ka.faʁ,"Depuis qu’elle est partie, j’ai vraiment le cafard.",Il a le cafard tous les dimanches soir.,Tu veux sortir ? Ça te changera les idées si t’as le cafard.
Mettre les pieds dans le plat,Reflexive verb phrase in figurative sense,Aborder un sujet délicat de manière maladroite.,Faire une gaffe en parlant d’un sujet sensible.,B2,"daily speech, family, workplace, awkward situations","Neutral, Mildly Embarrassing",Evokes the image of someone stepping right into a dish or issue without care.,mɛtʁ le pje dɑ̃ lə pla,Il a mis les pieds dans le plat en parlant du divorce devant tout le monde.,"Comme d’habitude, elle a mis les pieds dans le plat sans s’en rendre compte.",Je crois que j’ai mis les pieds dans le plat à propos de son ex.
Être dans de beaux draps,Stative verb phrase with prepositional complement,Être dans une situation compliquée ou embarrassante.,Avoir des ennuis.,B2,"humor, sarcasm, workplace, family",Neutral to Sarcastic,"‘Beaux draps’ ironically refers to trouble, with roots in 17th-century sarcasm.",ɛtʁ dɑ̃ də bo dʁɑ,"Avec cette erreur, tu es dans de beaux draps maintenant.",Ils sont dans de beaux draps avec ce projet raté.,Je me suis encore mis dans de beaux draps avec mes voisins.
Chercher midi à quatorze heures,Infinitive verb phrase with exaggerated temporal comparison,Compliquer inutilement les choses ; chercher des difficultés où il n’y en a pas.,Se compliquer la vie inutilement.,C1,"literature, sarcasm, debate, criticism","Formal, Sarcastic",Classic idiom poking fun at overthinkers; mocking exaggeration of something obvious.,ʃɛʁ.ʃeʁ mi.di a ka.tɔʁz‿œʁ,"Arrête de chercher midi à quatorze heures, c’est beaucoup plus simple que tu ne crois.",Il cherche toujours midi à quatorze heures avec ses explications interminables.,Pourquoi chercher midi à quatorze heures au lieu de simplement lui demander ?
Avoir un poil dans la main,Transitive verb phrase with idiomatic noun phrase,Être extrêmement paresseux.,Être très paresseux.,B2,"daily speech, humor, family, workplace","Informal, Ironic",Visual hyperbole implying one’s hand is so unused it grows hair.,a.vwaʁ œ̃ pwal dɑ̃ la mɛ̃,"Mon frère a un poil dans la main, il ne fait jamais la vaisselle.","Si t’avais pas un poil dans la main, ce travail serait déjà terminé.",Elle a tellement un poil dans la main qu’elle paie quelqu’un pour tout faire.
Faire la pluie et le beau temps,Transitive idiomatic verb phrase with coordinated object,Exercer un pouvoir ou une influence absolue.,Avoir un contrôle total sur une situation.,C1,"politics, workplace, social power dynamics","Formal, Authoritative",Weather metaphor; authority compared to controlling nature’s moods.,fɛʁ la plɥi e lə bo tɑ̃,"Dans cette entreprise, c’est elle qui fait la pluie et le beau temps.",Les grands médias font souvent la pluie et le beau temps dans l’opinion publique.,Il aime faire la pluie et le beau temps lors des réunions.
Être soupe au lait,Stative expression with nominal complement,"Être très susceptible, s’énerver facilement.",S’énerver pour un rien.,B2,"daily speech, family, emotional commentary","Informal, Critical","Soup with milk boils over fast, like a person with quick temper.",ɛtʁ sup o lɛ,"Fais attention à ce que tu dis, il est soupe au lait.","Elle est soupe au lait, mieux vaut ne pas la contrarier.",Tu vas encore te fâcher ? Quelle soupe au lait !
Casser les pieds à quelqu’un,Transitive verb phrase with indirect object construction,"Agacer fortement quelqu’un, l’importuner.",Énerver ou importuner quelqu’un.,B2,"daily speech, sarcasm, informal complaints","Informal, Slightly Vulgar",Popular slang from mid-20th century; bodily discomfort metaphor.,ka.se le pje a kɛl.kœ̃,Tu me casses les pieds avec tes remarques !,Il a cassé les pieds à tout le monde pendant la réunion.,"Je veux pas te casser les pieds, mais t’as pensé à la facture ?"
