Idiom (Glosa),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Glosa)",First Example Sentence,Second Example Sentence,Third Example Sentence
ave no pote du bif,Fixed clause; subject–auxiliary–object order,To be powerless or without influence in a situation,To have no control or power,B1,"Daily speech, workplace, social commentary","Colloquial, neutral","Derived from Glosa proverb traditions, evoking imagery of a bird without wings",/ˈa.ve no ˈpɔ.te du bif/,Mi senti komo ave no pote du bif in biga face de direktora.,"Fe no eske, an ave no pote du bif in politikia.",U juven senti se komo ave no pote du bif ante regula dura.
mu vora sua longi,Fixed verb phrase with reflexive implication,To take too long or hesitate excessively,To delay too much,A2,"Daily life, humor, family talk","Colloquial, humorous",Originating from early Glosa farming speech describing lazy oxen,/mu ˈvɔ.ra sua ˈlɔn.gi/,No mu vora sua longi si tu vidoe ja fini.,An vora sua longi ante starta de projekti.,Mi infan vora sua longi ante sko la tempo omni die.
tem no expecta plu,Fixed clause with negation and comparison,Time waits for no one,Time passes quickly,B2,"Philosophical talk, reflection, literature","Philosophical, poetic",Ancient Glosa saying influenced by Stoic reflections on temporality,/tem no eksˈpek.ta plu/,"Tem no expecta plu; ergo, starta tu via nun.","In poesi, fe skribi: tem no expecta plu, ergo amo.","Seniora dice: tem no expecta plu, e fe rida."
bovi intra domo,Nominal phrase used as idiomatic clause,An awkward or clumsy person in a delicate situation,A person lacking subtlety,B1,"Humor, workplace, daily speech","Colloquial, ironic",Comes from rural metaphors of farm animals entering homes,/ˈbɔ.vi ˈin.tra ˈdo.mo/,An veni komo bovi intra domo in festa.,Fe vora bovi intra domo ante direktora.,U novi kolega es komo bovi intra domo in meeti.
lumi in pusi fenestra,Prepositional phrase with metaphorical subject,A small sign of hope or progress,A glimmer of hope,A2,"Optimism, emotional support, literature","Poetic, hopeful",Used in post-war Glosa writing to express renewal,/ˈlu.mi in ˈpu.si feˈnes.tra/,Fe vidi lumi in pusi fenestra post longa noku.,An senti lumi in pusi fenestra in suo studi.,Mi spira vidi lumi in pusi fenestra anke in difika tempo.
mano lava mano,Symmetrical clause with reflexive structure,Mutual assistance or corruption through cooperation,"You help me, I help you",B2,"Politics, workplace, sarcasm","Ironic, colloquial","Shared idiom across European roots, adapted for Glosa sociopolitical commentary",/ˈma.no ˈla.va ˈma.no/,"In politikia, mano lava mano tro ofte.","Fe dice: mano lava mano, e mi rida.",Tu vidi mano lava mano in omne burokratia.
via de mil pazi starta ex un pazi,Complex clause with prepositional phrase,Every long journey begins with a single step,Begin small to achieve great things,B1,"Motivational, education, philosophy","Proverbial, inspirational",Modern Glosa adaptation of Laozi proverb,/ˈvi.a de mil ˈpa.zi ˈstar.ta eks un ˈpa.zi/,"Via de mil pazi starta ex un pazi, dice fe maestra.",Fe memora: via de mil pazi starta ex un pazi.,Mi ama via de mil pazi starta ex un pazi komo motivi.
pluvi no dura eterna,Declarative clause with negation,Bad times do not last forever,Every hardship passes,A2,"Encouragement, daily life, empathy","Comforting, poetic",Traditional saying in pastoral Glosa communities,/ˈplu.vi no ˈdu.ra eˈter.na/,"Fe dice: pluvi no dura eterna, ergo resta forti.",Mi mater dice pluvi no dura eterna a mi frate.,"Anka si noku longa, pluvi no dura eterna."
silenti dona sapiensa,Nominal clause expressing causality,Wisdom comes from silence,Being quiet helps one learn,C1,"Education, philosophy, literature","Formal, philosophical",Rooted in monastic Glosa traditions promoting contemplation,/siˈlen.ti ˈdo.na sa.piˈen.sa/,Fe dice: silenti dona sapiensa in omni studi.,"In klas, mi maestra ama idiom silenti dona sapiensa.","Sapiensa veni, proke silenti dona sapiensa."
pan no vora se bake,Negative declarative clause,Work must be done; things don’t happen by themselves,You must act to get results,B2,"Workplace, motivation, family advice","Proverbial, instructive",Common Glosa domestic proverb from baker communities,/pan no ˈvɔ.ra se ˈba.ke/,Pan no vora se bake si tu no starta.,"Mi pa dice: pan no vora se bake, ergo move!",Fe memora pan no vora se bake ante labori.
