Idiom (Fiji Hindi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Fiji Hindi)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Naach na aave, angan tedha","Compound clause, negative declarative",Blaming external factors for one's own shortcomings,Apne galti ke dosar pe daal dena,A2,"Daily speech, humor, workplace","Colloquial, ironic",Common across rural Bhojpuri belt; migrated with Indo-Fijians,naːt͡ʃ naː ʔaːʋeː ʔəŋɡən ʈeɖʱaː,"O kaam thik se na kais, aur bolis ki system hi kharab baa – naach na aave, angan tedha!","Report kharaab rahaa, to manager bola printer mein dikkat rahaa – naach na aave, angan tedha.","Exam mein fail bhaile aur teacher pe dos daal dehal – ee to pura naach na aave, angan tedha baa."
O ke naak mein dum baa,Possessive phrase with prepositional idiom,Causing continuous annoyance or frustration,Baar-baar pareshan karna,B1,"Family, daily speech","Colloquial, sarcastic",Common in Indo-Fijian homes from Awadhi/Bhojpuri roots,oː keː naːk meːn d̪ʊm baː,Chhota bhai to pura din o ke naak mein dum baa.,Kaam ke chakkar mein tohar boss tohar naak mein dum dehal baa.,Baccha subah se chillawat baa – sab ke naak mein dum baa.
Andhaa ke andheriya raat,Noun phrase with genitive and adjective,A very bad situation made even worse,Buri halat ke aur kharab ho jaana,B2,"Politics, literature, social commentary","Poetic, metaphorical",Folkloric; metaphoric depth in Indo-Fijian oral storytelling,ənd̪ʱaː keː ənd̪ʱeɾijaː ɾaːt̪,Chakri chhut gayil aur ghar ke kiraya bhi badh gayil – andhaa ke andheriya raat baa.,"Ghar mein bimaari, aur uphaar ke paisa bhi na baa – andhaa ke andheriya raat.",Sab kuch bura hot baa – e situation to andhaa ke andheriya raat baa.
Chor ke daadhi mein tinka,Possessive clause with metaphor,Guilty conscience shows through behavior,Galti kar ke bhi khud ko chhupaa na paana,B2,"Humor, family, gossip","Colloquial, humorous",Popular in Awadhi and Bhojpuri idiomatic banks; migrated with girmitiyas,t͡ʃoːɾ keː d̪aːd̪ʱiː meːn ʈɪŋkaː,"Jab paisa chori bhail, tab se o chup baa – chor ke daadhi mein tinka.",Police aail aur uske muh utar gayil – chor ke daadhi mein tinka.,"Jab sawal poochal gayil, turant bachpana dekhay – chor ke daadhi mein tinka."
"Dil mein kuch aur, muh pe kuch aur",Compound prepositional phrase,Saying something different from one's true feelings,Dil aur bol mein farq hona,B1,"Family, politics, relationships","Neutral, moralistic",Found in traditional Indian moral proverbs and religious texts,"d̪ɪl meːn kut͡ʃʰ ɔːɾ, mʊɦ peː kut͡ʃʰ ɔːɾ","O bola ki hum tohaar bhalaa chahe la – dil mein kuch aur, muh pe kuch aur.","Netaa ke baat pe bharosa na hoi – dil mein kuch aur, muh pe kuch aur.","Ee to aadat ba uske – dil mein kuch aur, muh pe kuch aur."
Billi ke sapna mein chhichhda,Genitive idiom with poetic image,Dreaming about impossible or desired things,Akalpaniya asha ya fantasy,C1,"Literature, sarcasm, humor","Poetic, ironic","Proverbial imagination idiom, rooted in Hindi folk tales",bɪlːiː keː səpnɑː meːn t͡ʃʰɪt͡ʃʰɖɑː,O sochataa baa ki lottery jeet jaayi – billi ke sapna mein chhichhda.,Aapan boss ke chhutti mil jaayi – billi ke sapna mein chhichhda!,Exam ke bina padhe pass ho jai – billi ke sapna mein chhichhda baa.
"Kaam ke na kaaj ke, dushman anaj ke","Negative nominal clause, fixed phrase",Someone who is useless yet causes harm,Koi laabh na pahuchaake nuksaan karne waala,B2,"Politics, gossip, social commentary","Sarcastic, critical","Folk idiom used across Bhojpuri diaspora, including Fiji",kaːm keː naː kaːd͡ʒ keː d̪ʊʃmən ənaːd͡ʒ keː,"O manas to kaam ke na kaaj ke, dushman anaj ke baa.","Office mein baith ke sirf dusar ke kaam bigaadat baa – kaam ke na kaaj ke, dushman anaj ke.","Ee log sirf chilawat baa – kaam ke na kaaj ke, dushman anaj ke."
"Doodh ke jala, chhaachh bhi phook-phook ke peeta","Conditional clause, proverb structure",Past bad experience leads to extreme caution,Bure anubhav ke baad har cheez se dar lagna,C1,"Advice, folk wisdom, storytelling","Proverbial, wise","Rural India and Fiji, passed orally among elders","d̪uːdʱ keː d͡ʒəlaː, t͡ʃʰaːt͡ʃʰ bʱiː pʰuːk pʰuːk keː piːtaː","Pichhla fraud ke baad wo har deal soch ke kare la – doodh ke jala, chhaachh bhi phook-phook ke peeta.","O ke to kisi pe bharosa na rahe – doodh ke jala, chhaachh bhi phook-phook ke peeta.","Ab har mail teen baar check kare la – doodh ke jala, chhaachh bhi phook-phook ke peeta."
Naak katwa dena,Transitive verb phrase with causative construction,Bringing shame or dishonor to someone,Kisi ke izzat ko chhoti kar dena,B1,"Family, morality, cultural values","Moralistic, colloquial",Honor-related idiom tied to Indian patriarchal norms; also prevalent in Fiji Hindi culture,naːk kət̪waː d̪eːnaː,Tohar harkat se humra naak katwa dehal baa.,Public mein o kahani suna ke pura parivaar ke naak katwa dehalas.,Kaam chhod ke bhag jaane se company ke naak kat gayil baa.
Bhaat mein jaaye sab,Imperative phrase with dismissive tone,Complete rejection of something or someone out of frustration,Sab kuch chhodi de; kuch parwaah na hona,B2,"Daily speech, emotional outburst, frustration","Colloquial, emphatic",Local Indo-Fijian speech; connected with rural lifestyle and rice imagery,bʱaːt̪ meːn d͡ʒaːeː səb,Itna tension ho gayil baa ki sochani – bhaat mein jaaye sab!,"Kaam bhi, log bhi – bhaat mein jaaye sab!",O bola ki paisa na milat – bhaat mein jaaye sab!
