Idiom (Hittite),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hittite)",First Example Sentence,Second Example Sentence,Third Example Sentence
šalliš waštul,Adjective + neuter noun formula; nominal idiom often used as object or predicate complement.,"A grave wrong, serious offense, or morally heavy transgression.",idālu ḫandātar iyawar — doing a bad act.,B2,"law, ritual confession, royal admonition, moral judgment","formal, legal, solemn",Grounded in Hittite legal and ritual language where wrongdoing is framed as a burden before gods and community.,[ˈʃalːis ˈwastul],nu=za LÚ-aš šalliš waštul iyazi.,ANA DINGIR.MEŠ šalliš waštul UL tarnanzi.,"mān šalliš waštul ḫarzi, nu=kan arḫa šipandanzi."
idālu memiyan mema-,Adjective + accusative noun + finite verb; verbal idiom with direct object.,"To speak maliciously, slander, or deliver harmful speech.",idālawar tē- — to say something bad.,B1,"court speech, family conflict, diplomacy, accusations","neutral to formal, accusatory",Reflects the high value of oath-bound and ritually controlled speech in Hittite public life.,[iˈdaːlu ˈmɛmijan ˈmɛma],"nu=mu kuit idālu memiyan mematti, nu=mu karū naḫšariyami.",LÚ.MEŠ URU-Ḫattuša idālu memiyan UL išdamaššanunun.,"mān apāš idālu memiyan memai, nu LUGAL-uš ḫandātar šākzi."
aššu memiyan iya-,Adjective + accusative noun + light verb; verbal-nominal idiom.,"To give favorable counsel, make peaceable speech, or say something beneficial.",aššul tē- — to say good things.,B1,"diplomacy, mediation, family advice, temple instruction","polite, positive, advisory","Connected to Hittite diplomatic and ritual ideals of ordered, beneficial speech.",[ˈaʃːu ˈmɛmijan ˈija],nu DUMU-aš attaš aššu memiyan iyazi.,MUNUS.LUGAL-aš peran aššu memiyan iyatten.,"kuitman uddar ḫandāit, nu aššu memiyan iyandu."
kardiyaz arḫa tarna-,Ablative noun phrase + directional particle + transitive verb; metaphorical release construction.,"To let resentment go, forgive, or release a matter emotionally.",waštul UL appa mema- — not mention the offense again.,C1,"reconciliation, prayer, family dispute, royal mercy","poetic, conciliatory, elevated","Uses kardiya- ‘heart’ as the seat of intention and emotion, a recurrent ancient Anatolian metaphor.",[karˈdijaz ˈarxa ˈtarna],nu=za apēl waštul kardiyaz arḫa tarnahhun.,"mān annaš karū nakkiyawan ḫarzi, nu kardiyaz arḫa tarnau.","LUGAL-uš kuit karpiya, nu=za uddar kardiyaz arḫa tarnai."
ištanzan dai-,Accusative abstract noun + transitive verb; light-verb idiom.,"To put one’s mind or soul toward something; to resolve, intend, or commit inwardly.",šanḫ- — to seek or intend.,C1,"prayer, royal decision, personal resolve, ritual vow","literary, introspective, serious","Built on ištanza- ‘soul, mind, will’, an important concept in Hittite ritual and religious discourse.",[isˈtand͡zan ˈdai],nu=za DINGIR-LIM-ni ištanzan daḫḫun.,"mān tuel ištanzan daitti, nu uttar ḫandāi.",DUMU.MEŠ=ya aššuli ištanzan dāer.
šakuwaš anda uwa-,Plural/body-part noun + local particle + intransitive verb; perception metaphor.,"To become visible, evident, or undeniable.",šak- — to know or recognize.,B2,"evidence, prophecy, investigation, political realization","neutral, evidential, vivid","Draws on the eyes as the site of recognition and proof, common in ancient evidentiary phrasing.",[ˈʃakʷawas ˈanda ˈuwa],nu uttar šakuwaš anda uit.,"mān tuppianza išḫi, nu ḫandātar šakuwaš anda uizzi.","idālu memiyan šakuwaš anda uit, nu LÚ.MEŠ išdamaššer."
išḫiul dai-,Accusative legal noun + transitive verb; institutional light-verb construction.,"To impose, establish, or enter into a binding obligation or treaty.",linkiyan iya- — to make an oath.,C1,"law, diplomacy, vassal treaties, administration","formal, legal, official","Rooted in Hittite treaty culture, where obligations were ritually witnessed and politically binding.",[iʃˈxijul ˈdai],LUGAL-uš KUR-e išḫiul dāi.,"mān išḫiul dātten, nu linkiyaš DINGIR.MEŠ išdamaššanzi.",URU-aš LÚ.MEŠ išḫiul dāer nu aššul ḫarkanzi.
GIŠGIDRU ḫark-,Sumerographic object + transitive verb; royal-symbolic idiom.,"To hold authority, rule, or possess legitimate command.",ḫaššuš ēš- — to be king.,B2,"royal inscriptions, politics, succession, authority claims","formal, royal, ceremonial",The staff or sceptre functions as a symbol of royal and administrative power in ancient Near Eastern court language.,[ɡiʃˈɡidru ˈxark],LUGAL-uš GIŠGIDRU ḫarzi nu KUR-e ḫandāizzi.,"mān DUMU.LUGAL GIŠGIDRU ḫarkzi, nu LÚ.MEŠ ašanzi.","GIŠGIDRU kuit ḫarkanzi, nu uddar=šet nakki."
DINGIR.MEŠ-aš peran ḫar(k)-,Genitive plural noun + postposition + transitive/existential verb; ritual accountability idiom.,To hold a matter before the gods; to place it under divine witness or judgment.,DINGIR.MEŠ-ni uttar mema- — to tell the matter to the gods.,C2,"ritual, oath, confession, curse formula, royal prayer","sacral, solemn, elevated",Hittite statecraft and ritual practice frequently cast legal and political obligations before divine witnesses.,[ˈdiŋɡir.mɛʃaʃ ˈpɛran ˈxark],nu=za uttar DINGIR.MEŠ-aš peran ḫarzi.,"mān linkiyaš arḫa pai, nu DINGIR.MEŠ-aš peran ḫarkanzi.","waštul=ma DINGIR.MEŠ-aš peran ḫarta, nu LUGAL-uš naḫšariyat."
aššul ḫark-,Accusative abstract noun + transitive verb; idiomatic possession/state construction.,"To maintain peace, well-being, or favorable order.",aššu ēš- — to be well or peaceful.,A2,"greetings, diplomacy, household, community order","neutral, polite, positive","Draws on aššu-/aššul ‘good, well-being’, central to Hittite formulaic wishes and orderly social relations.",[ˈaʃːul ˈxark],nu=za É-ir aššul ḫarzi.,KUR-e aššul ḫarkanzi nu LÚ.MEŠ šer ašanzi.,"mān tuel aššul ḫarti, nu=mu aššu memiyan mema."
