"Idiom (Jewish Palestinian Aramaic)","Syntactic Structure & Grammatical Form","Figurative Meaning (Contextualized Definition)","Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)","CEFR Level (A1–C2)","Usage Contexts","Register and Tone","Cultural Origin or Historical Reference","Phonetic Transcription (IPA, Jewish Palestinian Aramaic)","First Example Sentence","Second Example Sentence","Third Example Sentence"
"ܕܐܪܩ ܡܢ ܛܘܪܐ ܐܝܟ ܥܪܘܕܐ","Prepositional phrase with simile construction","To escape hastily or unexpectedly, like a partridge fleeing from a mountain","To flee quickly and without warning","B2","Daily speech, storytelling, surprise events","Colloquial, poetic","Refers to wildlife in the Judean hills, known from Mishnah imagery","/daʔraq men ṭura ʔayk ʕaroda/","ܒܪܢܫܐ ܗܘ ܕܐܪܩ ܡܢ ܛܘܪܐ ܐܝܟ ܥܪܘܕܐ ܟܕ ܫܡܥ ܩܠܐ ܒܕܓܠܐ.","ܥܝܕܐ ܕܐܚܘܗ ܓܡܝܪܐ ܗܘܐ ܘܐܢܐ ܕܐܪܩ ܐܝܟ ܥܪܘܕܐ ܡܢ ܛܘܪܐ.","ܐܡܪ ܠܝ ܠܐ ܬܕܐܪܩ ܐܝܟ ܥܪܘܕܐ ܘܬܫܒܘܩ ܟܠ ܡܕܡ."
"ܐܟܠ ܟܪܨܐ ܘܐܡܪ ܬܘܕܝ","Coordinated verb phrases","To accept a bad situation and pretend to be thankful","To endure something unpleasant while feigning gratitude","C1","Irony, workplace, social criticism","Ironic, sarcastic","Reflects ironic humility in Jewish humor","/ʔakal karṣa wʔamar todi/","ܝܗܒ ܠܗ ܐܘܪܘܫܐ ܩܠܝܠܐ ܘܗܘ ܐܟܠ ܟܪܨܐ ܘܐܡܪ ܬܘܕܝ.","ܟܕ ܐܬܝ ܥܡܠܐ ܫܚܝܚܐ ܐܢܐ ܐܟܠܬ ܟܪܨܐ ܘܐܡܪܬ ܬܘܕܝ.","ܠܐ ܐܢܐ ܐܟܠ ܟܪܨܐ ܘܐܡܪ ܬܘܕܝ ܠܕܐ ܕܠܐ ܐܬܪܦܐ."
"ܐܦܐ ܒܠܐ ܚܘܢܐ","Noun phrase with negation","To behave in a rude or unpleasant manner","To act without kindness","B1","Daily speech, family, interpersonal conflict","Colloquial, critical","Reflects social expectations in Semitic traditions","/ʔapa bla ḥona/","ܠܐ ܬܗܘܐ ܐܦܐ ܒܠܐ ܚܘܢܐ ܥܡ ܒܪܢܫܐ.","ܐܦܐ ܒܠܐ ܚܘܢܐ ܗܘܐ ܟܕ ܠܐ ܫܐܠ ܐܦܝ ܒܫܠܡܐ.","ܕܐܒܐ ܕܟܘܠܢ ܗܘܐ ܐܦܐ ܒܠܐ ܚܘܢܐ ܒܝܘܡܐ ܗܘ."
"ܩܛܠ ܘܠܐ ܕܡܐ ܢܦܩ","Verb phrase with negation","To harm someone in a way that's hidden or not obvious","To hurt without leaving evidence","C2","Politics, betrayal, literature","Formal, dramatic","Drawn from legalistic phrasing in rabbinic texts","/qaṭal wla dama nafaq/","ܩܛܠ ܘܠܐ ܕܡܐ ܢܦܩ ܗܘܐ ܟܕ ܐܡܪ ܕܡܝܠܐ ܒܬܘܚ ܒܝܬܐ.","ܠܐ ܬܓܡܠ ܥܠܝ ܐܟܘܬܐ ܕܩܛܠ ܘܠܐ ܕܡܐ ܢܦܩ.","ܡܠܦܢܐ ܗܘ ܩܛܠ ܘܠܐ ܕܡܐ ܢܦܩ ܒܦܘܡܗ."
"ܒܬܪ ܟܒܐ ܐܙܠ","Verb with directional preposition","To act out of desire or appetite rather than reason","To follow one’s urges","B2","Daily speech, humor, self-reflection","Colloquial, humorous","Reflects moral warnings in rabbinic ethics","/batar kaba azal/","ܐܢܐ ܒܬܪ ܟܒܐ ܐܙܠ ܗܘܝܬ ܘܠܐ ܒܬܪ ܪܥܝܢܐ.","ܟܠ ܙܒܢ ܕܐܝܬ ܠܗ ܪܘܓܙܐ ܐܙܠ ܒܬܪ ܟܒܐ.","ܒܬܪ ܟܒܐ ܐܙܠ ܠܐ ܐܝܬ ܠܗ ܫܘܝܢܐ ܒܚܝܐ."
"ܣܓܐ ܦܘܡܐ ܘܙܥܘܪ ܠܒܐ","Adjective phrases in contrast","Talks a lot but has little sincerity or compassion","All talk, no heart","B2","Politics, gossip, social commentary","Critical, sarcastic","Common saying in Levantine cultures, emphasizing moral integrity","/saga fuma wzaʕur liba/","ܠܐ ܬܫܪܝ ܥܠ ܗܘ ܕܣܓܐ ܦܘܡܐ ܘܙܥܘܪ ܠܒܐ.","ܡܠܐ ܡܠܐ ܘܠܐ ܦܘܠܐ — ܣܓܐ ܦܘܡܐ ܘܙܥܘܪ ܠܒܐ.","ܐܝܟ ܡܢ ܕܐܡܪ ܣܓܐ ܦܘܡܐ ܘܙܥܘܪ ܠܒܐ ܘܐܬܓܠܐ."
"ܢܦܠ ܐܒܠܐ ܥܠ ܪܫܗ","Verb phrase with prepositional object","To be struck by unexpected misfortune or mourning","To face sudden grief","C1","Tragedy, emotional events","Dramatic, poetic","Jewish mourning rituals and expressions of grief","/nafal abla ʕal raʃeh/","ܢܦܠ ܐܒܠܐ ܥܠ ܪܫܗ ܟܕ ܫܡܥ ܕܐܒܘܗ ܫܟܒ.","ܐܝܬ ܙܒܢܐ ܕܐܒܠܐ ܢܦܠ ܥܠ ܪܫܐ ܒܠܐ ܙܡܢ.","ܟܕ ܡܐ ܕܡܬܬ ܐܚܬܗ ܗܘ ܢܦܠ ܐܒܠܐ ܥܠ ܪܫܗ."
"ܐܬܐ ܒܩܛܝܢܐ ܘܢܦܩ ܒܛܪܝܢܐ","Verb sequence with antithetical noun imagery","To arrive humbly but leave with pride or arrogance","To change attitude dramatically from humble to proud","C2","Social critique, politics, literature","Ironic, literary","Based on Talmudic expressions contrasting humility and arrogance","/ʔata bqaṭina wnafaq bṭarina/","ܐܬܐ ܒܩܛܝܢܐ ܘܢܦܩ ܒܛܪܝܢܐ — ܐܝܟ ܕܗܘ ܕܫܐܩ ܐܬܪܐ ܒܐܢܝܐ.","ܗܘ ܓܒܪܐ ܐܬܐ ܒܩܛܝܢܐ ܘܢܦܩ ܒܛܪܝܢܐ ܡܢ ܒܝܬ ܟܢܘܫܬܐ.","ܐܝܟ ܬܠܡܝܕܐ ܐܬܐ ܒܩܛܝܢܐ ܘܢܦܩ ܒܛܪܝܢܐ ܟܕ ܚܙܐ ܕܐܫܬܘܕܥ."
"ܓܘ ܠܒܪ ܘܒܪ ܠܓܘ","Parallel contrastive prepositional phrases","Things appear one way on the outside and another on the inside","Outwardly and inwardly contradictory","B2","Philosophy, ethics, daily speech","Reflective, poetic","Midrashic themes of inner vs outer self","/gu labar wbar lagu/","ܓܘ ܠܒܪ ܘܒܪ ܠܓܘ — ܠܐ ܐܝܟ ܕܚܙܐ ܒܥܝܢ.","ܟܕ ܚܙܝܬ ܗܘ ܒܪܢܫܐ ܐܢܐ ܐܡܪܬ ܓܘ ܠܒܪ ܘܒܪ ܠܓܘ.","ܒܡܠܐ ܒܠܝܐ ܫܪܝܪܘܬܐ — ܓܘ ܠܒܪ ܘܒܪ ܠܓܘ."
"ܩܠܐ ܕܐܢܘܢ ܒܗ ܐܘܠܦܐ","Construct phrase with abstract noun","Their voice is in their teaching; their value is in their words","Known by the wisdom they speak","C1","Literary, education, praise","Formal, poetic","Rabbinic sayings about the righteous and sages","/qala dʔinun bah ulfa/","ܡܠܦܢܐ ܗܘ ܩܠܐ ܕܐܢܘܢ ܒܗ ܐܘܠܦܐ — ܟܠ ܡܕܡ ܐܡܪ ܒܝܩܪ.","ܥܠ ܩܠܐ ܕܐܢܘܢ ܒܗ ܐܘܠܦܐ ܐܫܬܡܥ ܒܝܬ ܡܕܪܫܐ.","ܠܐ ܐܝܟ ܦܘܡܐ ܣܪܩܐ — ܩܠܐ ܕܐܢܘܢ ܒܗ ܐܘܠܦܐ."
