Idiom (Kalanga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kalanga)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kucheka mhamba na tsoro,"Fixed clause, verbal idiom",To act foolishly or without thinking ahead,To behave carelessly,B1,"Daily speech, humor","Colloquial, humorous",Derived from hunting culture where cutting the rope while the animal is still trapped shows recklessness,/kutʃɛka m̩hamb̩a na tsɔrɔ/,"Wena u kucheka mhamba na tsoro, uka nga u ka tungwa ngondo.","Aka mwana u acheka mhamba na tsoro, hazwi utshaye nsoko.","Utu u acheka mhamba na tsoro, nga tisu tsiye tsha kubatwa."
Kutema nyoka uchi tsoro,"Verb phrase, figurative clause",To face danger fearlessly,To be brave,B2,"Proverbs, moral teachings, storytelling","Poetic, serious",Originates from the bravery required to kill a snake in the bush,/kutɛma ɲɔka utʃi tsɔrɔ/,"Mukoma u kutema nyoka uchi tsoro, ha tiyi u tshaye nyoka.",Kufa kwaa baba kwakamudzidzisa kutema nyoka uchi tsoro.,Mwana waMoyo u kutema nyoka uchi tsoro mumatambudziko.
Kudinga tshanga mu boko,"Verbal idiom, reflexive sense",To seek personal gain in a collective effort,To act selfishly,C1,"Politics, workplace, sarcasm","Ironic, sarcastic",Derived from traditional beer brewing where someone dips their hand in early,/kudiŋga tʃaŋga mu bɔkɔ/,"Utu u kudinga tshanga mu boko, ha anyi batani zvakanaka.","Kana mukoma u kudinga tshanga mu boko, zvibatsiro hazwi kusiya vamwe.",Kudinga tshanga mu boko kujonjola basa.
Kuhamba ne nkuyu,Verb phrase,To leave quietly or secretly,To slip away unnoticed,A2,"Daily speech, informal",Colloquial,From traditional stories where the nkuyu tree symbolizes silence and stealth,/kuhamba nɛŋkʲujʊ/,Utu u hambile ne nkuyu pamusangano.,"Tisu tisu tati u hambile ne nkuyu, ha atshi salanga.","Wena ka u hamba ne nkuyu, asi kubaleka zvakanaka."
Kuteya njozi na nyoka,"Compound clause, figurative structure",To take on an impossible or dangerous task,To attempt the impossible,C1,"Storytelling, politics, humor","Poetic, dramatic",From folklore comparing foolishness to hunting both dreams and snakes,/kutɛja ɲɔzi na ɲɔka/,"Kuita izvi kuteya njozi na nyoka, hazwi kwenziwe.",Mukoma waTjibelu u kuteya njozi na nyoka pamusangano.,Aka mwana u kuteya njozi na nyoka muupenyu.
Kupisa mbeu mopepo,"Verb phrase, metaphoric clause",To waste potential or resources,To squander opportunities,B2,"Education, family, moral discourse","Formal, advisory",Derived from agricultural imagery—burning seeds before planting time,/kupisa m̩bɛu mɔpɛpɔ/,Kupisa mbeu mopepo hakutshi bo.,"Utu u kupisa mbeu mopepo, hazwi shandira mberi.","Kana wa kupisa mbeu mopepo, ha u tshayi goho."
Kuwasha dzimba dzose,"Verb phrase, plural construction",To interfere in everyone’s business,To meddle in others' affairs,B1,"Family, humor, daily speech","Humorous, ironic",Common from rural settings where a brother-in-law’s duties were widespread,/kuwaʃa d͡zimba d͡zɔsɛ/,"Mukoma u kuwasha dzimba dzose, ha ateleki.",Kuwasha dzimba dzose hakutshi batani.,Aka mwana u kuwasha dzimba dzose mumusha.
Kudula nsiwo muwulu,Compound verbal clause,To act prematurely or too quickly,To rush decisions,B2,"Workplace, advice, family","Neutral, advisory",From cooking traditions—removing porridge before it's done,/kudula nsiwɔ muwulʊ/,"Usa kudula nsiwo muwulu, tengera nguva.","Mwana u kudula nsiwo muwulu, ha aone magumo.",Tisu tisu tati u kudula nsiwo muwulu mumusha.
Kuswala boko muwulu,"Reflexive idiom, metaphorical",To regret past actions,To feel remorse,C1,"Moral teachings, reflection","Formal, poetic",Drawn from traditional imagery of cooling a burnt hand,/kuswala bɔkɔ muwulʊ/,Kuswala boko muwulu hakutshi dzidza munhu.,"Aka mwana u kuswala boko muwulu, hazwi budzi.",Madzibaba u kuswala boko muwulu pamusangano.
Kuteya mpukutu wa makhumbu,"Complex clause, metaphoric idiom",To plan something intricate or secretive,To strategize quietly,C2,"Politics, planning, literature","Formal, sophisticated",Linked to historical resistance movements where secrecy was vital,/kutɛja mpukutu wa makʰumbu/,"Kuti u tshaye utongi, u fanela kuteya mpukutu wa makhumbu.",Aka mukoma u kuteya mpukutu wa makhumbu mumusangano.,"Vadzimu vati, kuteya mpukutu wa makhumbu kunoda njere."
