Idiom (Kirundi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kirundi)",First Example Sentence,Second Example Sentence,Third Example Sentence
Yariye akuya nk’ingwe,Fixed clause; past tense; comparative simile,Worked extremely hard or exerted intense effort,Yakoze cane adahengeshanya,B2,"Daily speech, workplace, literature","Colloquial, poetic",Refers to the leopard’s endurance and stealth in hunting,jaˈɾi.je aˈku.ja nkiːˈɴɡwe,"Yagiye ku murima kare, arima gushika izuba rirenze, yariye akuya nk’ingwe.",Umuhungu yatsinze ikizamini kubera yariye akuya nk’ingwe mu kwitegura.,"Umugore yateguye ubukwe wenyene, yariye akuya nk’ingwe."
Yariye imbwa n’imbeba,Fixed clause; perfect tense; coordinated structure,Is in serious trouble or conflict with everyone,Afise amatati n’abantu bose,C1,"Politics, sarcasm, daily speech","Ironic, colloquial","Draws from the imagery of constant fights between cats, dogs, and rodents",jaˈɾi.je imˈbwa niːmˈbe.ba,Uwo musirikare yariye imbwa n’imbeba kubera ibibazo vyo mu biro.,Yavuye mu rugo kuko yariye imbwa n’imbeba n’abaturanyi.,Umuyobozi yariye imbwa n’imbeba n’abakozi biwe.
Yariye utwatsi,Fixed clause; perfect tense; reflexive implication,Lost completely or failed entirely,Yatsinzwe burundu,B2,"Daily speech, education, sports",Colloquial,Idiomatic representation of chewing on grass (utter defeat),jaˈɾi.je utˈwa.tsi,Umugwi wacu waryiye utwatsi ku mukino wa nyuma.,Yagiye mu biganiro ariko yariye utwatsi ntashoboye kuvuga na gato.,Abakandida bose baryiye utwatsi imbere y’akanama nkemurampaka.
Afise agatima nk’ak’igikoko,Comparative clause; present tense,Lacks compassion or behaves in a beastly way,Ntagira ikigongwe,C2,"Judgment, ethics, social critique","Formal, literary, moralistic",Moral teaching from traditional proverbs about human dignity,aˈfi.se a.ɡaˈti.ma nkaˈki.ɡi.ko.ko,"Umuyobozi afise agatima nk’ak’igikoko, ntiyitaho abanyagihugu.",Uwo mugabo ntiyigeze afasha umuvandimwe wiwe; afise agatima nk’ak’igikoko.,"Umwigisha arakubita abana kubwo ubusa, afise agatima nk’ak’igikoko."
Kugira umutwe w’imbwa,Infinitive + object noun; possessive,To be foolish or easily manipulated,Ntibona kure,B1,"Education, criticism, family, satire","Ironic, colloquial",Criticism from traditional folklore on wisdom and foolishness,ku.ˈɡi.ɾa uˈmu.twe wimˈbwa,Ntimuze mugire umutwe w’imbwa nk’uwo yatanze vyose.,Umuhungu yagize umutwe w’imbwa aragurisha umurima wa sekuru.,"Mu biganiro, ntibagaragaje ubwenge, bagira umutwe w’imbwa."
Kugenda nk’ikirumbo,Infinitive + comparative; progressive sense,"To move sluggishly or aimlessly, without purpose",Agenda atagambiriye,A2,"Daily speech, education, humor","Colloquial, humorous",Refers to the slow motion of a ghost or spirit,ku.ˈɡɛⁿ.da nki.kiˈɾu.mbo,"Amaze kwangwa, agenda nk’ikirumbo atavuga.",Abanyeshure bamwe bagenda nk’ikirumbo mu myigwa.,"Uwo mugabo ntakigira intumbero, aguma agenda nk’ikirumbo."
Kuvuga nk’uwurya imikeke,Infinitive verb + comparative + participle clause,To speak unclearly or mumble nervously,Ntavuga neza,B1,"Speech, humor, sarcasm","Colloquial, ironic","Imikeke (hot millet cakes) burn the mouth if rushed, causing distorted speech",ku.ˈvu.ɡa nku.ˈwu.ɾja i.mi.ˈke.ke,Uwo mwana avuga nk’uwurya imikeke igihe bamusaba ikiganiro.,Abashasha bavuga nk’uwurya imikeke imbere y’abakuru.,"Umuyobozi yavuze nk’uwurya imikeke, abantu ntibamusobanukiwe."
Gusuka amarira nk’umwana,Infinitive + object + simile clause,To cry uncontrollably,Yarize cane,A2,"Family, emotions, mourning","Poetic, emotional","Alludes to the raw, uncontrolled emotions of children",ɡu.ˈsu.ka a.ma.ˈɾi.ɾa nkuˈmwa.na,Umukobwa yasutse amarira nk’umwana igihe bamubwiye inkuru mbi.,Yarize amarira nk’umwana igihe yakomerekeje nyina.,"Bamubwiye ko yatsinzwe, asuka amarira nk’umwana."
Kuronka akamaramaza,Infinitive + object noun,To obtain something utterly useless or disappointing,Yaronse ikitagira akamaro,B2,"Critique, politics, daily speech","Sarcastic, formal",Used in postcolonial critique and satire,ku.ˈɾo.ŋ.ka a.ka.ma.ɾa.ˈma.za,"Baramwemereye igihembo, ariko yaronse akamaramaza.","Igisata cose cashize amezi abiri kizeye, ariko ni akamaramaza.","Twari twarindiriye inama, twaronse akamaramaza gusa."
Kunywa amazi y’amaso,Infinitive + object + possessive construction,To weep in silence; internal sorrow,Yari mu gahinda kadasamirana,C1,"Literature, grief, emotion, personal struggle","Poetic, literary",Used in oral poetry and folktales to depict silent suffering,ku.ˈɲwa a.ˈma.zi ya.ˈma.so,"Yabuze umuvyeyi, aranywa amazi y’amaso mu gacerere.","Umusore yarwaye bikomeye, anywa amazi y’amaso wenyene.","Mu bikorwa vyo kwibuka, bamwe banywa amazi y’amaso."
