Idiom (Kimbundu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kimbundu)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kutula muxima mu maku,Infinitive verbal phrase with object noun and locative prepositional phrase; metaphorical fixed expression.,"To calm down, be patient, and hold oneself back before acting.",Kukala ni kixikanu; kulemba kukwata nzambi.,B1,"family advice, daily speech, conflict resolution, workplace patience","colloquial, advisory, gentle",Built on the image of the heart as the seat of emotion; elders in Luanda and inland communities often advise restraint before public disagreement.,/kuˈtula muˈʃima mu ˈmaku/,"Mona, tula muxima mu maku, kadi makamba ma ku rijila.","Mu musoso wa ndenge, mwene watula muxima mu maku nê waza ku zwela.","Kioso kiwila makuetu, tula muxima mu maku o zwela ni kixikanu."
Kukwata njila ya mbote,Infinitive transitive verb phrase with possessed noun phrase; semi-fixed metaphor of path and conduct.,"To behave properly, choose the right course, or make a wise decision.",Kusola kima kiambote; kubhanga mu kixikanu.,A2,"school, parenting, moral advice, community life","neutral, didactic","The path metaphor is widespread in Kimbundu moral teaching, linking travel, social responsibility, and personal reputation.",/kuˈkwata ˈnʒila ja ˈmbote/,Ngana mesene walonga ana kutu kukwata njila ya mbote.,"Mu kilunga, muntu u kwata njila ya mbote u zola kuzwela ni ukaxi.","Se wenda ku Luanda, kwata njila ya mbote mu ima yoso."
Kudia malavu ma ndunge,Infinitive verb phrase with concrete object and genitive complement; figurative food-metaphor construction.,To gain wisdom through hard experience or suffering.,Kulonguka ku ndenge ya makasi; kukula mu ndunge.,B2,"life lessons, elder speech, literature, reflection after hardship","poetic, serious, reflective",Uses the experience of eating bitter things as a metaphor for learning; resonates with oral traditions where hardship produces discernment.,/kuˈdi.a maˈlavu ma ˈnduŋɡe/,Kimbundu kia xitu kiamutene kudia malavu ma ndunge.,"Emi ngi dia malavu ma ndunge, nê kiki ngi zola kuzwela kiambote.",Mukulu wami wazwela: mundu u dia malavu ma ndunge ka lunga kuxinga.
Kuzola ni mazanga mawiri,Infinitive stative verb with comitative phrase and numeral; ironic fixed phrase.,To pretend affection while hiding another intention; to act two-faced.,Kukala ni makanisi mawiri; kuzola mu mesu kaka.,C1,"sarcasm, politics, friendship disputes, family tensions","ironic, critical, colloquial",Draws on the symbolism of double-sided behavior; often used when public friendliness contrasts with private betrayal.,/kuˈzola ni maˈzaŋɡa maˈwiri/,Kadi u mu kwijila; mwene u zola ni mazanga mawiri.,"Mu makambu ma soba, mundu u zola ni mazanga mawiri ka tala kixima kia mukwenu.","Ame ngi mona o mukongo wendê: u seka, nê u zola ni mazanga mawiri."
Kutema kima mu mesu,Infinitive transitive verb phrase with object and locative body-part phrase; directness idiom.,To speak frankly and tell someone the truth without hiding it.,Kuzwela kiatunda; kuleka kufika o kieleka.,B2,"meetings, family correction, leadership, honest advice","direct, firm, sometimes confrontational","Face-to-face truth-telling is valued in mediation, especially when elders or leaders restore social clarity.",/kuˈtema ˈkima mu ˈmesu/,Soba watema kima mu mesu ku jinjila ja kilunga.,"Ngana João watema kima mu mesu, kadi o maka ma lenda kubula ukamba.","Se u zola kieleka, tema kima mu mesu nê u bika kuxikila."
Kusukula maku ku mayela,Infinitive verb phrase with body-part object and cause/source complement; metaphorical cleansing phrase.,"To free oneself from blame, suspicion, or responsibility.",Kumonisa kieleka; kuleka kulanduka mu maka.,B2,"legal speech, workplace disputes, community mediation, politics","formal-colloquial, defensive, explanatory",Connected to symbolic ideas of clean hands and public accountability in communal judgment.,/kuˈsukula ˈmaku ku maˈjela/,"Mu kima kia tribunal, mwene wasukula maku ku mayela moso.",Kikulu kia empresa kizola kusukula maku ku mayela ma kifuxi.,"Kana u kala ni kieleka, sukula maku ku mayela mu mesu ma makamba."
Kuzwela ni ndaka ya nzaji,Infinitive intransitive verb with instrumental/comitative noun phrase; simile-like fixed metaphor.,"To speak loudly, forcefully, or with intimidating authority.",Kuzwela ni nguzu; kuzwela mu ndaka inene.,B1,"public speaking, anger, leadership, storytelling, humor","vivid, emphatic, colloquial","Thunder imagery evokes power and awe, familiar in oral description of chiefs, elders, storms, and heated public speech.",/kuˈzwela ni ˈndaka ja ˈnzaʒi/,"Tata wazwela ni ndaka ya nzaji, ana oso bavutuka.","Mu zandu, mukaji wazwela ni ndaka ya nzaji sambu a mu iva.","Kana u zola kulonga, kuzwela ni ndaka ya nzaji ku lenda kusosa muxima."
Kukala ni mesu ma ngulungu,Copular/stative construction with possessed body-part noun phrase and animal genitive; descriptive idiom.,"To be very watchful, alert, and hard to deceive.",Kukala ni kutala kwambote; kubika kufundisa.,B1,"market life, security, parenting, travel, praise","colloquial, admiring, cautionary",The antelope/deer image reflects alertness in local ecological memory and hunting narratives.,/kuˈkala ni ˈmesu ma ŋɡuˈluŋɡu/,"Mu zandu ya Kinaxixi, mama u kala ni mesu ma ngulungu.","Kambuta ka mu fundisa, kadi mwene u kala ni mesu ma ngulungu.",Mutu wa kilunga u kala ni mesu ma ngulungu kana kuiza kima kia mbi.
Kubika kixima mu muxima,Infinitive verb phrase with abstract object and locative heart complement; emotional containment idiom.,"To keep resentment, grief, or a secret inside without showing it.",Kufika maka mu ndani; kubika kuzwela o mpasi.,C1,"family conflict, mourning, secrets, literature, intimate conversation","poetic, serious, intimate","Reflects social expectations around discretion, emotional dignity, and the heart as a container of hidden feeling.",/kuˈbika kiˈʃima mu muˈʃima/,"Mu lumbu ya kufwa kwa tata, mama wabika kixima mu muxima.",Kuzola kubika kixima mu muxima kulenda kubebesa muenhu.,"Mwene ka zwela ko, kadi o kixima kiala mu muxima wendê."
Kudibeta mu madi ma mundu,Reflexive infinitive verb phrase with locative complement and possessive genitive; cautionary metaphor.,To interfere in another person’s affairs and get oneself into trouble.,Kuingila mu maka ma mukwenu; kudibwisa mu kufuxika.,C2,"warnings, politics, gossip, mediation, satire","sarcastic, cautionary, proverbial","Water imagery evokes boundaries, ownership, and risk; the idiom warns against crossing social limits without invitation.",/kuðiˈbeta mu ˈmadi ma ˈmundu/,"Kana u dikuata mu makambu ma jixi, u dibeeta mu madi ma mundu.","Mukwa-maka wadibeta mu madi ma mundu, nê kiki wamusengela.","Ene baseka, kadi ngi mu lombolola: kubika kudibeta mu madi ma mundu."
