Idiom (Kurmanji),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kurmanji)",First Example Sentence,Second Example Sentence,Third Example Sentence
Gava spî bi xwîn reş dibe,Temporal clause with metaphorical transformation verb,When things turn unexpectedly tragic or hopeful situations become disastrous,When everything suddenly goes wrong,C1,"daily speech, literature, politics","literary, ironic",Popular among storytellers from Botan; associated with betrayal stories in Kurdish epics,[ɡaːva spiː bɪ xwin reʃ dɪˈbe],"Ez hêvî dikir lê gava spî bi xwîn reş bû, her tişt xweşî ji dest da.","Di destpêka hevjiyana wan de, gava spî bi xwîn reş bû, berê hatin jiyana wan qelew kir.","Wê got 'dema ku gava spî bi xwîn reş bibe, ez ê her tiştê jê bibêjim'."
Mîr di devê qirixê de nakevin,Negated verb clause with possessive phrase,Important people don’t end up in petty fights,Respectable people avoid useless arguments,B2,"politics, workplace, traditional wisdom","colloquial, ironic",Tribal saying from Siverek and surrounding areas,[miːɾ dɪ devɛ qiɾiːxɛ dɛ naˈkevɪn],"Tu jî bibîne, mîr di devê qirixê de nakevin, lê me bikaran hatin xurtkirin.",Em divê fêm bikin ku mîr bi qirixê re nakeve.,Ev qisa-qise ya min tu carî nabe—mîr di devê qirixê de nakevin.
Ji du gundek re ax li hev nake,Negative prepositional clause with plural nominal subjects,People from rival groups never agree,There will never be agreement between certain parties,C2,"politics, family disputes, conflict analysis","formal, metaphorical",Rooted in inter-village feuds of Dersim and Şemzînan,[ʒi du ɡundɛk ɾɛ ʔax lɪ hɛv naˈkɛ],"Ji du gundek re ax li hev nake, ev hişyarîya me ye.",Wê got ku bi wan re rext dan bê kêfxweşî ye—ji du gundek re ax li hev nake.,"Divê nasîbê xwe bibî, lê fêmke: ji du gundek re ax li hev nake."
Gotinên çiyayê bêhnan,Noun phrase with metaphorical genitive construction,Exaggerated or false claims,Tall tales or empty boasts,B1,"humor, sarcasm, family","sarcastic, colloquial",Diyarbakır countryside humor referencing windy mountains,[ɡoˈtinɛn ʧɪjaːjɛ bɛːhnan],Ev carî jî gotinên çiyayê bêhnan e—ne bawer bike.,Wê gotinên çiyayê bêhnan jê girtin û zarokan li vir xwe şa kirin.,"Min xwest gotinên çiyayê bêhnan bigere, lê ez tê dayînê nakevim."
Kêlek bi dîwarê nake,Negative verb clause with metaphorical agent,Some efforts are pointless and doomed to fail,This plan will not succeed,B2,"planning, decision-making, frustration","colloquial, poetic",Metaphor common in Şirnex region; imagery of insects,[keːlek bɪ diːwaːɾɛ naˈkɛ],Tu hêvî dikî lê kêlek bi dîwarê nake.,Planê wî hêdî hêdî wek kêlek bi dîwarê nake.,"Bi rastî, divê bibînin ku kêlek bi dîwarê nake."
Dilê min li ser destê xwe nayê,Negative existential clause with possessive metaphor,Feeling overwhelmed or unable to control emotions,I can't handle my feelings,B2,"daily speech, emotions, relationships","colloquial, emotional",Common expression in Diyarbakır for heartbreak or grief,[diˈlɛ mɪn lɪ sɛɾ dɛstɛ xwɛ naˈjɛ],"Wê got, 'Dilê min li ser destê xwe nayê', ji ber ku ew gelek jê birîndar bû.",Ez bawer dikim ku dilê te li ser destê xwe nabe.,Dilê min li ser destê xwe nayê dema ez wê dîtim di halê winda de.
Bi qelemê re jinê nayê kirin,Instrumental phrase with passive negation,Life can't be lived only through theory or words,"Life requires action, not just words",C1,"philosophy, workplace, literature","literary, critical",Linked to Kurdish oral tradition criticizing inaction,[bɪ qeːlɛmɛ ɾɛ ʒinɛ naˈjɛ kɪɾɪn],"Bi qelemê re jinê nayê kirin, tiştê pêkanînê hewce ye.",Ev gotin gelek girîng e: bi qelemê re jinê nayê kirin.,Zarokê me ji min fêr bû ku bi qelemê re jinê nayê kirin.
Serê kevokê bi teştê reş tê xwîn,Complex metaphor with resultative clause,Something pure or innocent is spoiled,Purity was corrupted,C2,"literature, tragedy, cultural critique","poetic, tragic",Classical poetic metaphor in Dengbêj songs,[sɛɾɛ kevoːkɛ bɪ teʃtɛ reʃ teː xwin],"Di wê gotarê de, serê kevokê bi teştê reş tê xwîn û hezkirin mirin dibe.",Ez wisa hîs dikim ku serê kevokê bi teştê reş hat xwîn.,Wê hikûmetê kir ku serê kevokê bi teştê reş were xwîn.
Xwînê winda li ser axê qirêj,Genitive noun phrase with location metaphor,A tragic loss that leaves no trace,A loss that leaves no memory or legacy,C2,"tragedy, politics, family loss","formal, literary",Used in mourning rituals in Behdinan area,[xwiːnɛ wɪnda lɪ sɛɾ aːxɛ qiːɾɛʒ],"Wê got, xwînê winda li ser axê qirêj e—kes jî nizanî.",Xwînê winda li ser axê qirêj dibe dema ku bêdengî bibe destûr.,Navê wan wisa jî nehat xwendin—xwînê winda li ser axê qirêj.
Qelew lê xweşik,Noun phrase with contrastive adjective,A person or thing that’s troublesome but beloved,Troublesome but dear,A2,"family, relationships, humor","affectionate, humorous",Widely used for describing mischievous children,[qɛˈlɛw lɛ xweˈʃɪk],Ev zarok qelew lê xweşik e—bi xwe dîsa jê mamoste ye.,"Divê bibihîzî, qelew lê xweşik e.",Wê got: ez qelew lê xweşikê xwe hez dikim.
