Idiom (Ladino),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ladino)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ande ay fumo, ay fuego.","Fixed clause, indicative mood, causal structure.","When there are signs of something, there’s probably truth behind it.","If there are rumors, they often have some basis in reality.",B1,"Gossip, family talk, workplace discussions.","Colloquial, proverbial.",Shared across Sephardic communities; parallels the Spanish proverb.,[ˈande aj ˈfumo aj ˈfweɣo],"Dizen ke se pelearon, i yo disho: ande ay fumo, ay fuego.","No lo kreía, ma, komo dizen, ande ay fumo, ay fuego.","En el barrio, kuando se oyen chismes, ya se save: ande ay fumo, ay fuego."
"Ken no aventura, no gana.",Fixed clause with negation and parallel structure.,One must take risks to achieve success.,"If you don’t take risks, you won’t achieve anything.",B2,"Encouragement, workplace, personal motivation.","Colloquial, motivational.",Common in Judeo-Spanish oral tradition; related to medieval proverbs.,[ken no aβentuˈɾa no ˈɣana],"Yo tomí el trabaxo nuevo porke ken no aventura, no gana.","Mi nona siempre me dizía: ken no aventura, no gana.","El negociante apostó todo, porke él save: ken no aventura, no gana."
"A boca serrada, moska no entra.",Proverbial conditional with nominal clause.,It’s better to stay quiet to avoid trouble.,Silence prevents problems.,A2,"Advice, humor, moral sayings.","Colloquial, humorous.",Traditional Sephardic saying used among families and elders.,[a ˈboka seˈraða ˈmoska no ˈentra],"Yo no metí la narís, porke a boca serrada, moska no entra.","Kuando no saves, mejor kalate: a boca serrada, moska no entra.","Mi madre dizía siempre: a boca serrada, moska no entra."
Kada oveja kon su pareja.,"Fixed clause, noun phrase, parallel structure.",Everyone finds someone like themselves.,People tend to associate with those like them.,B1,"Family talk, relationships, humor.","Humorous, colloquial.",Used widely in Sephardic proverbs about social life.,[ˈkaða oˈβexa kon su paˈɾexa],"Mira a eyos dos, perfektos! Kada oveja kon su pareja.",Se diz esto kuando dos personas se parecen: kada oveja kon su pareja.,"En la boda, todos rieron: 'kada oveja kon su pareja!'"
"Dios aprieta, ma no afoga.","Fixed clause, concessive structure.",God tests you but never beyond your strength.,"Life may be hard, but not unbearable.",B2,"Faith, resilience, comfort.","Religious, proverbial.",Rooted in Judeo-Spanish faith expressions post-Expulsion from Spain.,[ˈdjos aˈpɾjeta ma no aˈfoɣa],"Perdí el trabaxo, ma sé ke Dios aprieta, ma no afoga.","En los malos dias, mi abuela dezía: Dios aprieta, ma no afoga.","Ke no te desanimes: Dios aprieta, ma no afoga."
No es todo oro lo ke reluze.,Negative declarative with relative clause.,Appearances can be deceiving.,Not everything that looks good is valuable.,B1,"Caution, advice, family discussions.","Proverbial, reflective.",Shared with Spanish; popular in Salonika and Istanbul communities.,[no es ˈtodo ˈoɾo lo ke reˈluθe],"Eya parese buena, ma no es todo oro lo ke reluze.","Kuando veyes un regalo lindo, akodrate: no es todo oro lo ke reluze.","El komersyo parese riko, ma no es todo oro lo ke reluze."
"Ken tiene un amigo, tiene un tesoro.","Fixed clause, parallel nominal structure.",A true friend is a great treasure.,Friendship is very valuable.,A2,"Moral sayings, friendship, family speech.","Warm, colloquial.",Shared among Judeo-Spanish families across the Mediterranean.,[ken ˈtjene un aˈmiɣo ˈtjene un teˈsoɾo],"No te olvidas: ken tiene un amigo, tiene un tesoro.","Yo lo digo de korazón: ken tiene un amigo, tiene un tesoro.","Mi nona siempre kontava: ken tiene un amigo, tiene un tesoro."
"El ke mucho abraza, poko aprieta.",Proverbial clause with contrastive conjunction.,Doing too many things means doing none well.,"If you try to do everything, you won’t succeed at anything.",B2,"Workplace, advice, mentorship.","Didactic, proverbial.",Common Ladino variant of a Spanish saying; used in teaching advice.,[el ke ˈmutʃo aˈbɾasa ˈpoko aˈpɾjeta],"Yo le dishe: no tomes tantos proyectos, el ke mucho abraza, poko aprieta.","Mi maestra siempre avisa: el ke mucho abraza, poko aprieta.","Es un proverbio muy usado en el trabaxo: el ke mucho abraza, poko aprieta."
"A buen entendedor, poko palabras bastan.",Conditional structure with plural noun phrase.,A wise person understands quickly without long explanations.,Intelligent people don’t need much explanation.,C1,"Wisdom, humor, teaching, irony.","Proverbial, witty.",Traditional Iberian saying preserved in Sephardic diaspora.,[a ˈbwen entenˈdeðoɾ ˈpoko paˈlaβɾas ˈbastan],"No te lo voy a repetir: a buen entendedor, poko palabras bastan.","Kuando el maestro da una pista, el alumno listo ya save: a buen entendedor, poko palabras bastan.","No digo más, porke, komo dizen, a buen entendedor, poko palabras bastan."
"El ke espera, desespera.","Fixed clause, reflexive derivation, present tense.",Waiting too long causes frustration.,Patience can run out when waiting too much.,B1,"Daily life, humor, family conversations.","Colloquial, ironic.",Used across Ladino-speaking regions; reflects Iberian proverb heritage.,[el ke esˈpeɾa desesˈpeɾa],"Esperé una ora en la puerta, el ke espera, desespera.","Mi padre siempre dizía kon riza: el ke espera, desespera.","Tanto esperar el bus, i komo dizen, el ke espera, desespera."
