Idiom (Latvian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Latvian)",First Example Sentence,Second Example Sentence,Third Example Sentence
likt kādam kloķi,"Fixed clause, verb phrase",Apkrāpt kādu vai pievilt bez brīdinājuma.,Pievilt kādu,B2,"Dienas saruna, darbs, politika","Sarunvaloda, ironisks",Izcelsme no 20. gs. latviešu armijas un studentu vides.,[likt ˈkɑːdam ˈklɔtʃi],"Viņš man lika kloķi, apsolīja palīdzēt, bet pazuda.","Politikā bieži tiek likti kloķi tiem, kas uzticas.","Ja neuzmanīsies, tev arī liks kloķi!"
vilkt deku uz savu pusi,"Reflexive construction, verb phrase","Rīkoties tikai savā labā, neņemot vērā citus.",Domāt tikai par sevi,C1,"Dienas saruna, darbs, politika","Sarunvaloda, ironisks",Izcelsme saistīta ar zemnieku kultūru un guņu dalīšanu ziemā.,[vilkt ˈdɛku ʊz ˈsɑʊ pusi],"Viņš vienmēr velk deku uz savu pusi, kad runa ir par lēmumiem.",Komandas darbā nedrīkst vilkt deku tikai uz savu pusi.,"Viņa pieradusi vilkt deku uz savu pusi, pat neapzinoties to."
sist puņķainu,Verb phrase,Stāstīt melus vai stipri izpušķot notikumus.,Melot vai pārspīlēt,B1,"Sarunvaloda, humors","Sarunvaloda, humoristisks",Senlaiku stāstu vakari laukos.,[sist ˈpuɲcɑinu],Viņš atkal sit puņķainu par savām zvejas gaitām.,"Neesi tik naivs, viņš mēdz sist puņķainu.",Bērnībā vectētiņš bieži sita puņķainu.
bērt eļļu ugunī,Verb phrase,Pastiprināt konfliktu vai problēmu.,Padarīt situāciju sliktāku,C1,"Darbs, politika, ģimenes attiecības",Neitrāls,Pamatojums no praktiskas uguns uzturēšanas pieredzes.,[bæːrt ˈɛʎʎu ˈuguni],Strīda vidū viņš tikai bēr eļļu ugunī.,"Vajadzēja klusēt, nevis bērt eļļu ugunī.",Komentāri sociālajos medijos bieži bēr eļļu ugunī.
celt zirgus gaisā,"Fixed phrase, noun + verb",Radīt lieku satraukumu vai cerības.,Radīt nevajadzīgu sajūsmas vai bažu cēlumu,B2,"Literatūra, ikdiena",Poētisks,Sena metafora no lauku un karavīru dzīves.,[tselt ˈzirgus ˈgaisa],Nevajag celt zirgus gaisā pirms laika.,Preses relīzes bieži ceļ zirgus gaisā.,"Viņš vienmēr ceļ zirgus gaisā, kad runā par nākotni."
rakt sev bedri,Reflexive verb phrase,"Darīt kaut ko, kas noved pašu neveiksmē.",Nodarīt sev kaitējumu,B1,"Dienas saruna, darbs",Sarunvaloda,Simbolisks brīdinājums no folkloras.,[rakt sev ˈbedri],Ar katru meli viņš raka sev bedri.,"Nesaki neko lieku, nerak sev bedri.",Viņa ar intrigām tikai raka sev bedri.
kost zobos,Fixed phrase,Izturēt smagas grūtības vai ciešanas.,"Paciesties, neatlaidīgi izturēt",C2,"Literatūra, ģimene, karavīru stāsti","Poētisks, dramatisks",Simbolika no sēru un kara laikiem.,[kost ˈzoːbos],Viņš kost zobos un turpināja cīnīties.,Reizēm dzīvē vajag kost zobos un paciesties.,Pēc traumas viņa kost zobos atkal mācījās staigāt.
ņemt kā uz zobiem,Verb phrase,Kādu ķircināt vai apsmiet.,Apsmiet vai ķircināt,B2,"Draugu sarunas, humors","Sarunvaloda, humoristisks",Cēlies no tautas humoristiskām tradīcijām.,[ɲemt kɑ uz ˈzoːbiem],Draugi vienmēr ņem viņu kā uz zobiem par viņa paradumiem.,Skolāni ņēma jauno skolotāju kā uz zobiem.,"Nav jau slikti, ja ņem kādu kā uz zobiem ar mēru."
mest kažoku uz otru pusi,"Verb phrase, reflexive-like",Pēkšņi mainīt savus uzskatus vai piederību.,Mainīt viedokli vai nostāju,C1,"Politika, darbs, sabiedriskās attiecības","Sarunvaloda, ironisks",Balstīts uz fizisko kažoka apgriešanas darbību aukstā laikā.,[mest ˈkaʒuku uz ˈoːtru ˈpusi],Pēc vēlēšanām viņš meta kažoku uz otru pusi.,"Viņa viegli met kažoku uz otru pusi, ja tas ir izdevīgi.","Kad mainījās vadība, daudzi meta kažoku uz otru pusi."
gāzt kā ar spaiņiem,"Verb phrase, simile",Spēcīgi līt lietum vai notikt kaut kam pārpilnībā.,Ļoti stipri līt vai būt pārpilnībai,B1,"Laika ziņas, ikdienas sarunas",Sarunvaloda,Izcelsme saistīta ar smagu darbu un spaiņu lietošanu laukos.,[gɑːst kɑ ɑr ˈspaiɲiem],"Ārā gāž kā ar spaiņiem, bez lietussarga neiztiksi.","Kad sākās lietus, tas gāza kā ar spaiņiem visu nakti.",Reizēm problēmas gāžas kā ar spaiņiem.
