Idiom (Leonese),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Leonese)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tener les ores prestes,Infinitive verb phrase with plural noun object,To be attentive and ready to act or respond quickly,Estar atentu / preparáu pa actuar,B1,"daily speech, workplace",colloquial,Derived from rural and pastoral culture where shepherds had to remain alert to livestock,[teˈneɾ les ˈoɾes ˈpɾestes],Tien les ores prestes que vien el xefe.,"Nun durmía, que tenía les ores prestes por si pasaba dalgo.",Con esi rapaz nun puedes despistate; tien les ores prestes pa too.
Dir como un burru ensin cabez,Simile with comparative clause and noun phrase,To act irrationally or without clear direction,Actuar ensin pensalu / de mou confusu,B2,"daily speech, humor, criticism","colloquial, ironic",Traditional Leonese metaphor drawing on the imagery of stubborn or disoriented mules,[diɾ koˈmo un ˈburu enˈsin kaˈβeθ],"Nun lo sigas, que va como un burru ensin cabez.","Cuando nun planificas, acabes yendo como un burru ensin cabez.","Facemos les coses como burros ensin cabez, ensin pensalu dos veces."
Valer un güeyu de la cara,Fixed expression with idiomatic quantifier,To be very expensive,Ser mui caru,A2,"daily speech, shopping, economics","colloquial, humorous",Shared with Asturleonese tradition; possibly derived from medieval customs equating great cost to physical sacrifice,[baˈleɾ un ˈɡweʝu de la ˈkaɾa],¡Esa chaqueta val un güeyu de la cara!,Los llibros esos valen un güeyu de la cara.,"Nun lo compro, que val un güeyu de la cara y más."
Falar pol codelgu,Verb phrase with prepositional idiom,To speak on someone else’s behalf,Representar o falar por otru,C1,"politics, workplace, legal","formal, literary",Refers to messengers in old councils or parishes who spoke for communities,[faˈlaɾ pol koˈðelɣu],Falo pol codelgu de tolos vecinos de la parroquia.,Nun puedes falar pol codelgu si nun tas autorizáu.,Dixo que falaba pol codelgu de los obreros.
Estar con les pataques calientes,Idiomatic predicate with gerund-like phrase,To be in a tricky or difficult situation,Tener un problema complicáu,B2,"daily speech, workplace","colloquial, ironic","Alludes to difficulty of handling hot potatoes, shared metaphor in many Iberian languages",[esˈtaɾ kon les paˈtake̝s kaˈlentes],Tamos con les pataques calientes con esi casu.,"Cuando lo preguntaron, quedó con les pataques calientes.",Nun quiero acabar yo con les pataques calientes.
Pintar la mona,Infinitive idiomatic verb phrase,To waste time or do something useless,Perder el tiempu en tonteríes,B1,"humor, sarcasm","colloquial, humorous",Shared with Castilian usage but adapted with regional flair in comedic storytelling,[pinˈtaɾ la ˈmona],"Deixalu, que solo ta pintando la mona.","En vez de trabayar, pasó la mañana pintando la mona.",Tamos equí toos pintando la mona mentanto el xefe nun ta.
Dalgún tien que cargar col muertu,Impersonal phrase with idiomatic complement,Someone has to take the blame or responsibility,Asumir la culpa,C1,"politics, workplace, sarcasm","ironic, formal",Relates to old communal practices where someone had to transport the deceased when no one claimed responsibility,[dalˈɣun ˈtjen ke kaɾˈɣaɾ kol ˈmweɾtu],"Al final, dalgún tuvo que cargar col muertu.",Siempre cargamos col muertu los mesmos.,Y agora quieren que cargue yo col muertu.
Más vale burro conocíu que sabiu por conocer,Proverbial comparison with subject–complement inversion,Better the devil you know than the devil you don't,Ye meyor lo conocíu que lo descoñecíu,C2,"proverbs, decision-making","proverbial, literary","Proverb rooted in rural wisdom, valuing familiarity over uncertain novelty",[mas ˈba.le ˈburu ko.noˈθi.u ke ˈsa.βju poɾ ko.noˈθeɾ],"Más vale burro conocíu que sabiu por conocer, ya sabes.",Escoyí l'antiguu xefe; más vale burro conocíu que sabiu por conocer.,"Pa mí, más vale burro conocíu que sabiu por conocer, siempre."
Facer el cabritín,Infinitive verb with noun object in diminutive,To act mischievously or stubbornly in a playful way,Portase traviesu,A2,"family, children, humor","colloquial, affectionate",Refers to goat-like behavior; often used with children in Leonese families,[faˈθeɾ el ka.βɾiˈtin],"Nun facas el cabritín, que tas nel restorán.",Tamién fice el cabritín cuando tenía cinco años.,"Ye simpáticu, pero siempres ta faciendo el cabritín."
Tener más cuentos que caminos,Verb phrase with idiomatic quantifier comparison,To make lots of excuses or elaborate stories,Dar munches escuses / inventar cuentos,B2,"sarcasm, family, humor","ironic, humorous",Reflects rural storytelling culture and wit,[teˈneɾ mas ˈkwentos ke kaˈmi.nos],"Tien más cuentos que caminos, nun-y creo nada.",Siempre tien más cuentos que caminos cuando llega tarde.,"¡Tien más cuentos que caminos, esi rapaz!"
