Idiom (Lao),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Lao)",First Example Sentence,Second Example Sentence,Third Example Sentence
ເຂົາຊົມໄກ ແຕ່ບໍ່ເບິ່ງໃກ້,Compound clause with contrastive conjunction,To admire something from afar without understanding it deeply.,They praise something without really knowing it.,B2,"Daily speech, reflection, advice","Colloquial, reflective",Derived from Lao proverbs highlighting perspective and understanding.,/kʰǎw som kǎj tɛː bòː bəŋ kàj/,ລາວເປັນຄົນທີ່ເຂົາຊົມໄກ ແຕ່ບໍ່ເບິ່ງໃກ້ຈິງໆ.,ບາງຄົນຊອບຂອງຝຣັ່ງເພາະເຂົາຊົມໄກ ແຕ່ບໍ່ເບິ່ງໃກ້.,ໃນຊີວິດຕ້ອງຮຽນຮູ້ທີ່ຈະເບິ່ງໃກ້ ບໍ່ແມ່ນແຕ່ເຂົາຊົມໄກ.
ກິນເຂົ້າບໍ່ກິນນ້ຳ,Negative clause with coordinated verbs,"To refuse something essential, showing stubbornness or arrogance.",They reject what they need out of pride.,B1,"Family, advice, workplace, criticism","Colloquial, ironic","From Lao rural life, symbolizing the refusal to follow practical wisdom.",/kin kʰâo bò kin nám/,ລາວເປັນຄົນກິນເຂົ້າບໍ່ກິນນ້ຳ ເຮັດໃຫ້ເປັນທຸກລຳບາກ.,ເດັກນ້ອຍບາງຄົນດື້ຫຼາຍ ກິນເຂົ້າບໍ່ກິນນ້ຳ.,ຊີວິດຄົນບໍ່ຄວນເປັນແບບກິນເຂົ້າບໍ່ກິນນ້ຳ.
ຈັບປາສອງມື,Verb phrase with numerical object modifier,To try to do two things at once and fail at both.,They can’t handle two tasks simultaneously.,B1,"Workplace, family, daily life","Neutral, advisory",Originates from Lao fishing metaphors about greed and overreaching.,/càp pà sɔ̌ːŋ mɯ́ː/,ຖ້າເຮັດຫຼາຍຢ່າງພ້ອມກັນ ກໍເຫມືອນຈັບປາສອງມື.,ລາວຈັບປາສອງມື ເລີຍບໍ່ສຳເລັດຫຍັງສັກຢ່າງ.,ການຮຽນກັບເຮັດວຽກພ້ອມກັນຍາກ ເຫມືອນຈັບປາສອງມື.
ກິນໝາກໄມ້ລືມຄົນປູກ,Transitive verb clause with complement phrase,To forget those who helped you succeed.,They are ungrateful and forget their benefactors.,B2,"Moral teaching, literature, family advice","Formal, reflective",Traditional Lao proverb teaching gratitude.,/kin màːk máj lɯ̀m kʰon pùːk/,ບໍ່ຄວນກິນໝາກໄມ້ລືມຄົນປູກ ເພາະຈະບໍ່ມີໃຜຊ່ວຍອີກ.,ຄົນທີ່ກິນໝາກໄມ້ລືມຄົນປູກ ເຮັດໃຫ້ຄົນອື່ນເສຍໃຈ.,ຄວາມກະຕັນຍູເປັນຄຸນທີ່ດີ ຢ່າກິນໝາກໄມ້ລືມຄົນປູກ.
ໄຟໃກ້ນ້ຳໄກ,Juxtaposed noun phrase with contrastive metaphor,Describes a relationship or situation that cannot coexist peacefully.,They are incompatible or always in conflict.,C1,"Conflict, politics, family","Poetic, serious",Traditional image from Lao folktales contrasting natural opposites.,/fáj káj nám káj/,ສອງຄົນນັ້ນເຫມືອນໄຟໃກ້ນ້ຳໄກ ຢູ່ດ້ວຍກັນບໍ່ໄດ້.,ບໍ່ມີຄວາມສົມພອດ ເຫມືອນໄຟໃກ້ນ້ຳໄກ.,ຄູ່ຜົວເມຍບາງຄູ່ເປັນໄຟໃກ້ນ້ຳໄກ ທະເລາະກັນປະຈຳ.
ແມງວັນກັບນ້ຳຕານ,Noun phrase expressing attraction through metaphor,To be irresistibly drawn to something even if it may be harmful.,They are attracted to danger or temptation.,B2,"Romance, temptation, warnings","Colloquial, metaphorical",From natural observation; flies drawn to sweetness symbolize dangerous attraction.,/mɛːŋ van kap nám taːn/,ລາວໄປຫາຄົນນັ້ນທຸກມື້ ເຫມືອນແມງວັນກັບນ້ຳຕານ.,ຄວາມຮັກຂອງເຂົາເປັນເຫມືອນແມງວັນກັບນ້ຳຕານ ທັງໆທີ່ຮູ້ວ່າຈະເຈັບ.,ເຂົາຫາອັນຕະລາຍດ້ວຍຄວາມຢາກເຫມືອນແມງວັນກັບນ້ຳຕານ.
ປາຫຼົດນ້ຳ,Verb phrase with direct object,To be relieved from a difficult situation.,They escaped from a problem or burden.,B1,"Workplace, daily speech, gratitude","Neutral, positive","Derived from the imagery of fish returning to water, symbolizing freedom.",/pàː lót nám/,ຫຼັງຈາກໄດ້ຮັບຄຳຕອບ ລາວຮູ້ສຶກເຫມືອນປາຫຼົດນ້ຳ.,ພວກເຮົາໄດ້ຈົບງານແລ້ວ ເຫມືອນປາຫຼົດນ້ຳຈິງໆ.,ເມື່ອພົບທາງອອກ ລາວຢິ້ມເຫມືອນປາຫຼົດນ້ຳ.
ໄກ່ເຫັນຕີນງູ ງູເຫັນນົກໄກ່,Parallel compound clause,To mutually expose each other's secrets or faults.,They both know each other’s flaws.,C1,"Politics, workplace, gossip, relationships","Ironic, witty",Classic Lao proverb; metaphor for mutual understanding or deception.,/káj hěn tiːn ŋuː ŋuː hěn nòk káj/,ສອງຄົນນັ້ນເຫມືອນໄກ່ເຫັນຕີນງູ ງູເຫັນນົກໄກ່ ຮູ້ກັນຫມົດ.,ການເມືອງບາງຄັ້ງກໍເປັນໄກ່ເຫັນຕີນງູ ງູເຫັນນົກໄກ່.,ເຮືອນນັ້ນບໍ່ມີຄວາມລັບເພາະໄກ່ເຫັນຕີນງູ ງູເຫັນນົກໄກ່.
ເຈົ້າໄດ້ໃຈ ຂ້ອຍໄດ້ຈົນ,Parallel conditional phrase expressing imbalance,To express injustice or uneven gain between people.,You benefit while I suffer.,B2,"Conflict, economics, social commentary","Ironic, sarcastic",Popular Lao saying highlighting economic inequality.,/câw daj caj khɔj daj con/,ໃນການແຂ່ງຂັນນີ້ ເຈົ້າໄດ້ໃຈ ຂ້ອຍໄດ້ຈົນ.,ທຸກຄັ້ງທີ່ເຮັດວຽກນຳລາວ ເຫມືອນເຈົ້າໄດ້ໃຈ ຂ້ອຍໄດ້ຈົນ.,ສັງຄົມບາງຄັ້ງເຮັດໃຫ້ຮູ້ສຶກເຫມືອນເຈົ້າໄດ້ໃຈ ຂ້ອຍໄດ້ຈົນ.
ສຸດທ້າຍໄຟເຜົາເຮືອນຕົວເອງ,Verb phrase with reflexive pronoun,To cause one’s own downfall through one’s actions.,They destroyed themselves through their behavior.,C2,"Politics, advice, moral reflection","Serious, reflective, literary",Traditional moral imagery in Lao Buddhist literature.,/sút tʰáːj fáj pʰǎw hɯːan tùa ʔeŋ/,ຄົນທີ່ເຮັດຊົ່ວ ສຸດທ້າຍໄຟເຜົາເຮືອນຕົວເອງ.,ຜູ້ນຳບາງຄົນສຸດທ້າຍໄຟເຜົາເຮືອນຕົວເອງຈາກຄວາມໂກງ.,ຢ່າໃຫ້ຄວາມໂກດທຳໃຫ້ເປັນໄຟເຜົາເຮືອນຕົວເອງ.
