Idiom (Ye'kuana),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ye'kuana)",First Example Sentence,Second Example Sentence,Third Example Sentence
Wänä tö’dö aiñejä jöde täkä.,Fixed clause; declarative; third person; indicative mood.,"To act foolishly or without thought — literally, ‘he/she walks without a head.’",To behave carelessly.,B1,"Daily speech, humor, family conversations.","Colloquial, humorous.",Refers to people rushing through life without reflection — common Ye'kuana village saying.,/wa.na to.ðo ai.ɲe.xa xo.ðe ta.kə/,"Wänä tö’dö aiñejä jöde täkä, täkäi wänä tö’dö ajamä!",Ñamö wäi ajamä aiñejä jöde täkä mäkä.,Jekü wänä tö’dö aiñejä jöde täkä tä’pü.
Jänä tö’dö üküjüña jekü täkä.,Fixed phrase; third person declarative; nominal predicate.,"To be unreliable or inconsistent — literally, ‘he/she walks on the wind.’",To be unpredictable.,B2,"Workplace, social interactions, mild criticism.","Colloquial, lightly critical.",Rooted in the Ye'kuana view of the wind as free but changeable — metaphor for inconsistency.,/xa.na to.ðo uku.xu.ɲa xe.ku ta.kə/,"Jänä tö’dö üküjüña jekü täkä, ejo tä’pü aiñejä wäi.",Ñamö wäi ajamä jänä tö’dö üküjüña jekü täkä.,Miiña täkä wänä tö’dö üküjüña jekü täkä.
Miiña jekü wäi tö’dö.,Fixed clause; declarative; indicative mood.,"To be lazy or unmotivated — literally, ‘his/her fire sleeps.’",To lack motivation.,A2,"Family talk, friendly teasing, education.","Informal, humorous.",Fire is central to Ye'kuana life; a sleeping fire means inactivity.,/mi:.ɲa xe.ku wai to.ðo/,Miiña jekü wäi tö’dö ajamä täkä.,Ñame wäi ajamä miiña jekü wäi tö’dö.,Ajamä tä’pü aiñejä miiña jekü wäi tö’dö.
Ajojoja wäi tö’dö ajamä.,Fixed clause; reflexive; indicative.,"To take initiative boldly — literally, ‘he/she jumps ahead.’",To act first without hesitation.,B1,"Motivation, leadership, teamwork.","Positive, motivational.",Reflects admiration for proactive hunters and leaders in traditional communities.,/a.xo.xo.xa wai to.ðo a.xa.ma/,Ajojoja wäi tö’dö ajamä tä’pü.,Ñamö wäi ajamä ajojoja wäi tö’dö.,Tänä wäi ajamä ajojoja wäi tö’dö aiñejä.
Ejo tä’pü ajamä mäkä täkä.,Complex clause; temporal expression.,"To be impatient — literally, ‘he/she arrives before the sun.’",To act too early.,B2,"Workplace, humor, social advice.","Colloquial, humorous, sometimes ironic.","Ye'kuana farmers say this about people who act before proper timing, like planting before sunrise.",/e.xo tapu a.xa.ma ma.kə ta.kə/,"Ejo tä’pü ajamä mäkä täkä, wänä tö’dö ajamä aiñejä.",Ñame wäi ajamä ejo tä’pü ajamä mäkä täkä.,Wänä tö’dö aiñejä ejo tä’pü ajamä mäkä täkä.
Ñame wäi tö’dö aiñejä üküjüña.,Fixed clause; declarative; indicative.,"To gossip or spread rumors — literally, ‘his/her mouth rides the wind.’",To spread gossip.,B1,"Community talk, family, informal humor.","Colloquial, humorous, sometimes pejorative.",Relates to how words travel fast like wind — traditional metaphor among elders.,/ɲa.me wai to.ðo ai.ɲe.xa uku.xu.ɲa/,Ñame wäi tö’dö aiñejä üküjüña ajamä.,Jekü wänä tö’dö ajamä ñame wäi tö’dö aiñejä üküjüña.,Miiña täkä wänä tö’dö aiñejä üküjüña.
Tänä wäi wänä tö’dö ajamä.,Fixed declarative; active voice.,"To endure difficulty — literally, ‘he/she walks with the rain.’",To persist despite hardship.,B2,"Proverbs, motivation, resilience talk.","Poetic, moral.",Ye'kuana proverbs often use rain as a metaphor for challenges and cleansing.,/ta.na wai wa.na to.ðo a.xa.ma/,Tänä wäi wänä tö’dö ajamä aiñejä mäkä.,Ñame wäi ajamä tänä wäi wänä tö’dö ajamä.,Ejo tä’pü ajamä tänä wäi wänä tö’dö ajamä.
Wänä tö’dö ajamä aiñejä mäkä.,Fixed phrase; declarative; indicative.,"To be grateful — literally, ‘he/she walks with the sun.’",To be thankful or at peace.,A2,"Spiritual speech, greetings, daily interactions.","Polite, poetic.","Sun represents life, joy, and balance in Ye'kuana cosmology.",/wa.na to.ðo a.xa.ma ai.ɲe.xa ma.kə/,Wänä tö’dö ajamä aiñejä mäkä täkä.,Ñame wäi ajamä wänä tö’dö aiñejä mäkä.,Ajamä tä’pü wänä tö’dö aiñejä mäkä täkä.
Jekü wänä tö’dö ajamä aiñejä täkä.,Fixed phrase; reflexive verb; declarative.,"To boast — literally, ‘he/she walks showing himself.’",To brag or show off.,B1,"Youth, humor, social behavior.","Colloquial, humorous, slightly mocking.",Reflects traditional caution against vanity; elders warn children using this idiom.,/xe.ku wa.na to.ðo a.xa.ma ai.ɲe.xa ta.kə/,Jekü wänä tö’dö ajamä aiñejä täkä mäkä.,Ñamö wäi ajamä jekü wänä tö’dö ajamä aiñejä täkä.,Miiña täkä wänä tö’dö ajamä aiñejä täkä.
Ñamö wäi ajamä tö’dö tä’pü.,Fixed clause; declarative; subject-first order.,"To be hopeful — literally, ‘his/her eyes wait for the sun.’",To expect good things or have hope.,A2,"Spiritual talk, daily speech, encouragement.","Poetic, optimistic.",Rooted in Ye'kuana spirituality; sunrise symbolizes renewal and trust in cosmic balance.,/ɲa.mo wai a.xa.ma to.ðo tapu/,Ñamö wäi ajamä tö’dö tä’pü aiñejä mäkä.,Ajamä tä’pü aiñejä ñamö wäi ajamä tö’dö tä’pü.,Ejo tä’pü ajamä ñamö wäi ajamä tö’dö tä’pü.
