Idiom (Malagasy),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Malagasy)",First Example Sentence,Second Example Sentence,Third Example Sentence
Manao toby an-tanety,Verbal phrase; fixed clause,To be left behind without support or assistance,To be abandoned or unsupported,B2,"Daily speech, workplace, humor",Colloquial,Refers to soldiers camping alone without reinforcement in Malagasy history,ˈmanaw ˈtubʲ anˈtanetʲ,Tsy avelako ianao hanao toby an-tanety amin'ity raharaha ity.,Niala ny mpiara-miasa ka dia manao toby an-tanety aho izao.,"Raha tsy misy fanampiana, dia hanao toby an-tanety tanteraka isika."
Mihinana am-bava tsy lanin’ny kibo,Verbal idiom; figurative clause,To make promises or statements that carry no real weight,To speak empty words,C1,"Politics, sarcasm, debates","Ironic, sarcastic",Traditional proverb highlighting deceitful leaders,ˈmiːnana amˈbavə ts laninʲˈkibʷ,Ny teniny dia toy ny mihinana am-bava tsy lanin’ny kibo ihany.,Politika maro no mihinana am-bava tsy lanin’ny kibo.,Tsy azo itokisana ny olona mihinana am-bava tsy lanin’ny kibo.
Tsy manan-kohanina fa manan-kavaly,Negative clause; parallel construction,A poor person who always has someone to respond or defend them,"Though poor, still socially connected",B2,"Family, social life","Colloquial, humorous",Traditional Malagasy proverb emphasizing solidarity,tsʲ mananˈkuanina fa mananˈkavalʲ,"Na dia tsy manan-kohanina aza izy, dia manan-kavaly hatrany.",Tsy manan-kohanina fa manan-kavaly aho noho ny fianakaviana.,Olona maro no tsy manan-kohanina fa manan-kavaly eny an-tanàna.
Latsaka an-kady,Passive voice; verbal phrase,To fall into trouble or danger,To get into serious trouble,B1,"Daily speech, warnings",Colloquial,Originates from rural Malagasy life where pits were dug to trap animals,ˈlatsakʲ anˈkadʲ,Mety latsaka an-kady ianao raha tsy mitandrina.,Nampitandremana izy sao latsaka an-kady.,Tsy tiako ianao hamerina latsaka an-kady indray.
Manao akanjo tsy mba lamba,Nominal phrase; figurative expression,To be dressed but not respectably; lacking true dignity,To appear well but lack substance,C1,"Humor, irony, literature","Ironic, poetic",References social status and appearance in Malagasy culture,ˈmanaw ˈakanʲdzʲu tsʲ mbʲa ˈlambə,Toy ny manao akanjo tsy mba lamba ilay mpanankarena sandoka.,Manao akanjo tsy mba lamba ny fihetsiny amin’ny vahoaka.,Tsy tian’ny olona manao akanjo tsy mba lamba ao amin’ny fivoriana.
Ny valala tsy indroa mandry am-bavahady,Proverbial clause; fixed structure,Opportunity does not come twice,You only get one chance,B2,"Daily speech, advice, literature","Formal, proverbial",Ancient proverb linked to the natural behavior of locusts,ni valalə tsʲ indrua manˈdrʲ amˈbavaɡadʲ,"Aza avela handalo, fa ny valala tsy indroa mandry am-bavahady.","Zava-dehibe ny fahafahana, satria ny valala tsy indroa mandry am-bavahady.",Nampahatsiahy azy aho fa ny valala tsy indroa mandry am-bavahady.
Mitsipaka an-kitsirano,Verbal phrase; intensified form,To oppose strongly and openly,To resist or fight back directly,C1,"Politics, debates, workplace","Formal, combative",Derived from cattle culture; a bull resisting while being tied,mit͡sipakʲ ankit͡siranu,Nitsipaka an-kitsirano ny fepetra napetraky ny governemanta.,Mitsipaka an-kitsirano ny mpiasa amin’ny tsy rariny.,Olona sahy mitsipaka an-kitsirano izy.
Mandeha amin’ny tongotra anoloana sy aoriana,Verbal phrase; dual directional structure,To be inconsistent or contradictory,To act inconsistently,C1,"Politics, sarcasm, literature","Ironic, sarcastic",Alludes to someone acting like a crab moving backward and forward,manˈde amʲˈni tuŋɡutr anuluanə si awˈrianə,Ny fanapahan-keviny dia mandeha amin’ny tongotra anoloana sy aoriana.,Mandeha amin’ny tongotra anoloana sy aoriana ny fitondrana.,Tsy misy vahaolana mandeha amin’ny tongotra anoloana sy aoriana.
Mitondra faisana,Verbal phrase; figurative use,To face difficulties or troubles,To suffer hardship,B1,"Daily speech, family, workplace",Colloquial,"Faisana refers to weeds, figuratively meaning obstacles",miˈtundra fajsəna,Mitondra faisana hatrany amin’ny asa andavanandro izy.,Ny fahantrana dia mitondra faisana ho an’ny maro.,Mitondra faisana hatrany izahay rehefa misy olana lehibe.
Mananihany toy ny rano tsy miangatra,Comparative clause; figurative simile,To joke freely without bias,To make harmless jokes,B2,"Humor, family, daily life","Humorous, colloquial",Refers to the natural impartiality of water flowing,mananihanʲ tuj ni ˈranʷ tsʲ miˈaŋɡatə,Ny lehilahy ao an-trano dia mananihany toy ny rano tsy miangatra.,Tsy nitsahatra izy mananihany toy ny rano tsy miangatra.,Fomban-dry zareo ny mananihany toy ny rano tsy miangatra amin’ny fotoana rehetra.
