Idiom (Mongolian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mongolian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Аргал түүсэн хүүхэн арван хоногт,"Fixed clause, nominal phrase",Describes someone who is very slow in completing an easy or routine task.,Taking too long to finish something simple.,B2,"Daily speech, humor, family conversations","Colloquial, humorous",Rooted in nomadic daily life—collecting dried dung (argal) was an ordinary but quick task.,ˈarɡəɮ ˈtʰuːsən ˈxʊj.xən ˈarwan ˈxɔ.nɔkt,Тэр хүн ажилдаа Аргал түүсэн хүүхэн арван хоногт шиг л удаан байдаг.,Чи ингэж удаж байвал Аргал түүсэн хүүхэн арван хоногт болох нь дээ.,Манай хөрш Аргал түүсэн хүүхэн арван хоногт шиг өдөржин ажиллана.
Чоно борооноор,"Fixed phrase, adverbial idiom",To exploit opportunities when confusion or chaos arises.,Taking advantage during disorder.,C1,"Politics, workplace, sarcasm, criticism","Formal, ironic",Derived from wolves attacking livestock in storms when herders cannot protect them.,ˈt͡ʃɔn ˈbɔ.rɔː.nɔːr,Сонгуулийн үед зарим улс төрчид Чоно борооноор ашиг хайдаг.,Зах зээл хямрахад бизнесүүд Чоно борооноор шиг боломж ашигладаг.,Чоно борооноор гэгчээр тэр нөхөр асуудлыг ашиглаж чадсан.
Гурван өдөр хоосон хуруудна,"Verb phrase, fixed clause",Going through days of hardship or scarcity.,Enduring a period of shortage.,B2,"Literature, family, workplace, storytelling","Literary, colloquial",Reflects nomadic families’ vulnerability to hunger after livestock loss.,ˈɡʊr.wən ˈɔ.dər ˈxoː.sən ˈxʊ.rud.nə,Малын хорогдлоос болж айл гурван өдөр хоосон хурууджээ.,Ажилгүй болсон хүн гурван өдөр хоосон хурууддаг юм шиг л байна.,Амьдрал заримдаа гурван өдөр хоосон хуруудна шиг болдог.
Морь унасан толгойгүй хүн,Metaphorical nominal phrase,A reckless or careless person with no control.,Someone acting without responsibility.,C1,"Sarcasm, workplace, humor","Ironic, colloquial",Horse riding is central to Mongolian life; a rider without a head symbolizes chaos.,ˈmɔrʲ ˈʊ.nɑ.sən ˈtʰɔɮ.ɡɔj.ɡʊj ˈxʊn,Чиний төлөвлөгөө Морь унасан толгойгүй хүн шиг харагдаж байна.,Тэр хүн хуралд Морь унасан толгойгүй хүн шиг орж ирсэн.,Залуус заримдаа Морь унасан толгойгүй хүн шиг аашилдаг.
Өвс ногоон дээр хэвтэх,"Verb phrase, metaphorical","To live carefree and relaxed, without worries.",Living without stress.,B1,"Poetry, daily speech, humor","Poetic, colloquial",Reflects the nomadic tradition of resting in grassy steppes.,ˈœws ˈnɔ.ɡɔːn ˈdɛr ˈxɛw.tɛx,Амралтын өдөр бид өвс ногоон дээр хэвтэж цагийг өнгөрөөв.,Тэр өвс ногоон дээр хэвтэх шиг санаа амар байлаа.,Зарим хүмүүс амьдралаа өвс ногоон дээр хэвтэх шиг өнгөрөөдөг.
Сүүлгүй хонь шиг,Simile construction,"Someone or something incomplete, awkward, or lacking.",Missing something essential.,B2,"Family, sarcasm, literature","Colloquial, ironic",Sheep are central to nomadic economy; a tailless sheep appears abnormal.,ˈsʊːɮ.ɡʊj ˈxɔɳ ˈʃiɡ,Ажилгүй болохоор хүн сүүлгүй хонь шиг мэдрэгддэг.,Манай багийн ажил сүүлгүй хонь шиг дутуу болсон.,Боловсролгүй байхад сүүлгүй хонь шиг харагдана.
Эрээн дээлэндээ битгий хөөр,Imperative clause,Don’t boast about external appearances or possessions.,"Stay modest, don’t show off.",B1,"Family, workplace, daily speech","Ironic, colloquial",Relates to pride in fancy clothing without real substance.,ˈer.eːn ˈteː.ɮɛn.dɛː ˈbit.ɡi ˈxoːr,Чи амжилт гаргасан ч эрээн дээлэндээ битгий хөөр.,Баялаггүй байж эрээн дээлэндээ битгий хөөр.,Өөрийгөө үнэлүүлэхийн тулд эрээн дээлэндээ битгий хөөр.
Усанд хаясан чулуу шиг,Simile construction,To vanish without leaving a trace.,Disappearing completely.,B2,"Daily speech, workplace, literature","Colloquial, literary",Drawn from the imagery of stones sinking in rivers or lakes.,ˈʊ.sən ˈxa.jɑ.sən ˈt͡ʃɔ.ɮʊ ˈʃiɡ,Тэр усанд хаясан чулуу шиг сураггүй болсон.,Миний захидал усанд хаясан чулуу шиг сураггүй алга боллоо.,Түүнийг хайсан ч усанд хаясан чулуу шиг олдохгүй байна.
Өндөгний хальс дээр алхах,"Verb phrase, metaphorical",To act extremely cautiously to avoid conflict or mistakes.,Walking on eggshells.,C1,"Workplace, family, politics","Metaphorical, colloquial",Represents fragility of tense social or political situations.,ˈʊn.dɔɡ.ni ˈxaɮs ˈdɛr ˈaɮ.xax,Даргатайгаа ярихдаа өндөгний хальс дээр алхаж байгаа мэт болдог.,Сонгуулийн үеэр улс төрчид өндөгний хальс дээр алхаж байв.,Тэр гэр бүлдээ өндөгний хальс дээр алхах шиг байлаа.
Малгайгүй морь шиг,Simile construction,Something incomplete or inadequate without an important part.,Missing an essential piece.,A2,"Daily speech, family, humor","Colloquial, simple","In nomadic culture, a horse without its essential gear is useless or awkward.",ˈmal.ɡaj.ɡʊj ˈmɔrʲ ˈʃiɡ,Чиний бичиг баримт малгайгүй морь шиг дутуу байна.,Төлөвлөгөөгүй ажил малгайгүй морь шиг болдог.,Хүүхдийн тоглоом малгайгүй морь шиг харагдаж байна.
