Idiom (Murrinh-patha),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Murrinh-patha)",First Example Sentence,Second Example Sentence,Third Example Sentence
murrinh patha,Nominal compound: murrinh ‘speech/language’ + patha ‘good’; used as a compact evaluative expression.,"Good, straight, appropriate speech; language used in a socially fitting way.",Murrinh-ka patha; the speech is good and appropriate.,A1,daily speech; language learning; classroom; family correction,"neutral, approving, pedagogical","Built from the language name itself, commonly glossed as ‘language-good’; treat as high-confidence lexical-cultural expression, not a proverb.",/ˈmu.rin ˈpa.t̪a/,"Murrinh patha, kardu ngalantharr.",Kardu kigay murrinh patha mampirra.,Nhinhi murrinh patha manarranu.
murrinh thathpirr,Nominal/adjectival phrase: murrinh ‘speech’ + thathpirr ‘true/real’; fixed evaluative phrase.,The real story; truthful talk; a statement that should be trusted.,Murrinh-ka thathpirr; the statement is true.,A2,storytelling; agreement; correction; public explanation,"serious, confirmatory, respectful",Attested phrase pattern in public Murrinhpatha religious and narrative text; useful for truth/evidence modeling.,/ˈmu.rin ˈt̪at̪.pir/,Murrinh thathpirr-wa manarranu.,Ngay-ka murrinh thathpirr mampirra.,Kardu-ka murrinh thathpirr pumerradha.
marda thathpirr,Body-part plus adjective phrase: marda ‘heart/inside feeling’ + thathpirr ‘true/real’; metaphorical affective noun phrase.,"Deep sincerity, real affection, or wholehearted commitment.",Ngatha marda patha; I really feel good toward it/them.,B1,family; care; condolence; praise; church; reconciliation,"warm, sincere, emotive",Murrinhpatha public texts use marda in affective contexts; figurative body-part expression requires speaker validation.,/ˈmar.ɖa ˈt̪at̪.pir/,Marda thathpirr manganpunart wurran.,Kardu ngalantharr-ka marda thathpirr pumangunu.,Ngay marda thathpirr ngarra kardu nhini-yu.
ngarra da ngurran,Locative directional clause with ngarra ‘toward/at’ + da ‘place/country/home’ + finite motion verb.,"To return to one’s place, home, family ground, or proper position.",Ngay-ka da ngay-nu ngurran; I am going to my place.,A2,travel; homecoming; kinship; school; everyday movement,"plain, intimate, place-based",Phrasebook examples gloss this as ‘I’m going home’; included as an idiomatic cultural-place expression rather than an opaque idiom.,/ˈŋa.ra ɖa ˈŋu.ran/,Ngay ngarra da ngurran.,Kardu kigay ngarra da ngurran.,Palngun ngarra da ngurran da patha-nu.
da ngarra putek,Locative phrase: da ‘place/country’ + ngarra locative marker + putek ‘earth/ground/world’; place-reference construction.,"This world, this country, or the shared ground people live on.",Da kanhi; this place/country.,B1,country; environment; teaching; ceremony-adjacent public explanation,"reflective, cultural, serious",Grounded in recurring Murrinhpatha public text phraseology for land/world; cultural interpretation needs local review.,/ɖa ˈŋa.ra ˈpu.tek/,Kardu wurnangat ngarra da putek kanhi.,Da ngarra putek-ka kardu pumangunu.,Murrinh patha ngarra da putek kanhi.
da murntak,Noun phrase: da ‘place/country/way’ + murntak ‘old/old-time’; temporal-cultural nominal phrase.,The old ways; ancestral or earlier ways of living and knowing.,Da old-time; the former way or older practice.,B2,history; education; family teaching; cultural comparison,"respectful, reflective, sometimes nostalgic",Appears in Murrinhpatha text about schooling and culture; use carefully because it may refer to culturally specific knowledge.,/ɖa ˈmuɳ.ʈak/,Kardu da murntak warra pardingkardhuktha.,Da murntak-ka murrinh ngarra kardu thangunu.,Nugarn-ka da murntak mampirra kardu kigay-nu.
mi dhepdhep-nu,Purposive noun phrase with borrowed/onomatopoetic food term mi dhepdhep plus purposive -nu.,"For food; used practically, but can carry the broader sense of going for sustenance or provisions.",Mi-nu; for food.,A2,shop; family errands; clinic; travel; daily planning,"informal, practical, everyday",Attested in public phrasebook-style examples about going to the shop for food; included as a culturally routine task expression.,/mi ˈɖep.ɖep.nu/,Kardu pumbankawuk ngarra shop mi dhepdhep-nu.,Ngay ngarra shop-nu mi dhepdhep-nu.,Mamay-ka mi dhepdhep-nu pumanthay.
thungku-dhangunu,Ablative/source compound: thungku ‘fire’ + -dhangunu ‘from/source’; source-marking expression.,"From the fire; figuratively, from danger, heat, trouble, or the cause of harm.",Thungku thangunu; from the fire/source.,B2,warning; injury; storytelling; cautionary speech,"vivid, serious, narrative",Based on published example involving fire-source in Murrinhpatha sentence planning literature; figurative extension is synthetic and needs speaker confirmation.,/ˈt̪uŋ.ku ɖaˈŋu.nu/,Kardu kigay wakal thungku-dhangunu dem-ma-bath.,Murrinh nhini thungku-dhangunu pardingkardhuktha.,Kardu-ka thungku-dhangunu mere ngadha kanam.
ku were dirranngingarlbarl,Animal subject clause with incorporated/complex verb form; full finite clause used expressively.,A loud complaint or noisy warning directed at someone; literally the dog is barking at me.,Ku were-ka ngay-nu karduwarlbarl; the dog is making noise at me.,B1,humor; teasing; warning; children; storytelling,"colloquial, humorous, vivid",Attested phrasebook example glossed as a dog barking at the speaker; idiomatic social extension should be treated as dataset augmentation.,/ku ˈwe.re ɖi.ran.ŋi.ŋaɭ.baɭ/,Ku were dirranngingarlbarl.,Mamay pumerradha: ku were dirranngingarlbarl.,Kardu kigay-ka ku were dirranngingarlbarl mampirra.
murrinh tetemanthay,Nominalized/derived speech noun phrase: murrinh ‘language/speech’ + tetemanthay; title-like fixed legal/glossary expression.,"Law speech, careful institutional wording, or specialized formal language.",Murrinh law; legal or formal explanatory speech.,C1,legal; interpreting; government services; formal meetings,"formal, institutional, precise",Attested in the title of a Murrinhpatha–English legal glossary; useful for domain adaptation and register modeling.,/ˈmu.rin te.teˈman.t̪aj/,Murrinh tetemanthay ngarra murrinh law.,Kardu bamam murrinh tetemanthay thanguna.,Nhinhi murrinh tetemanthay patha manarranu.
