Idiom (New Mexican Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, New Mexican Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Está más perdido que turco en la neblina,Comparative clause with fixed simile structure,Used to describe someone who is very confused or disoriented,Está completamente desorientado o confundido,B2,"daily speech, humor","colloquial, humorous",Originates from rural Northern New Mexico; likely influenced by Turkish stereotypes from early 20th century storytelling,[esˈta mas peɾˈdiðo ke ˈtuɾko en la neˈβlina],"Cuando vio el menú en francés, estaba más perdido que turco en la neblina.",Mi primo llegó al centro de Albuquerque sin GPS y andaba más perdido que turco en la neblina.,Estábamos tan confundidos con las instrucciones que parecía que todos estábamos más perdidos que turco en la neblina.
Se le subieron los humos,Reflexive verb with idiomatic dative and subject shift,Someone is acting arrogantly or conceited,Actúa con arrogancia o se siente superior,B1,"daily speech, workplace, sarcasm","colloquial, ironic",Used throughout Hispanic cultures; in New Mexico reflects modesty-centered rural values,[se le suˈβjeɾon los ˈumos],"Desde que le dieron el ascenso, se le subieron los humos.",¡Ay no! A ese ya se le subieron los humos por completo.,Nomás ganó el premio y ya se le subieron los humos como si fuera celebridad.
Echarle mucha crema a sus tacos,Infinitive verb phrase with dative construction,To brag or exaggerate one’s own merits,Exagerar sobre uno mismo o presumir,B2,"humor, daily speech, literature","colloquial, humorous","Originally Mexican, highly popular in Northern New Mexican Spanish with culinary humor flair",[eˈʧaɾle ˈmutʃa ˈkɾema a sus ˈtakos],Ese cuate siempre anda echándole mucha crema a sus tacos.,"No es para tanto, nomás le echa mucha crema a sus tacos.",Siempre habla de sus logros como si fuera genio — le encanta echarle mucha crema a sus tacos.
No tener pelos en la lengua,Infinitive with negative structure and object phrase,To speak one’s mind bluntly,Habla sin filtros ni rodeos,B2,"daily speech, politics, family","colloquial, direct",Popular across Spanish varieties; in NM reflects rural candor and directness,[no teˈneɾ ˈpelos en la ˈleŋɡwa],"Doña Carmen no tiene pelos en la lengua, te dice la verdad como va.",Mi tía siempre fue así — nunca tuvo pelos en la lengua.,Necesitamos alguien sin pelos en la lengua para liderar la reunión.
Estar como agua para chocolate,Simile using prepositional clause,To be extremely angry or emotionally heated,Estar muy enojado o emocional,C1,"literature, emotion, family, sarcasm","literary, emotional",Based on Mexican/NM tradition of heating water for chocolate; popularized by novel,[esˈtaɾ ˈkomo ˈaɣwa paɾa ʧokoˈlate],"Cuando se enteró de la noticia, estaba como agua para chocolate.",Salió de la oficina como agua para chocolate.,La abuela estaba como agua para chocolate por lo que hicimos.
Andar con la cola entre las patas,Infinitive clause with idiomatic prepositional phrase,To feel ashamed or humiliated,Andar avergonzado o humillado,B2,"humor, daily speech, workplace","colloquial, humorous","Derived from animal imagery, often used in rural NM humor",[anˈdaɾ kon la ˈkola enˈtɾe las ˈpatas],"Después del regaño, andaba con la cola entre las patas.",Fue a disculparse con la cola entre las patas.,Volvió con la cola entre las patas después de su berrinche.
Más vale prevenir que lamentar,Fixed proverb structure with infinitive contrast,It’s better to be cautious than to regret later,Es mejor prevenir los problemas que enfrentarlos después,A2,"daily speech, health, workplace, family","proverbial, formal","Traditional Spanish proverb, widely used in NM for generations",[mas ˈβale pɾeβeˈniɾ ke lamenˈtaɾ],"Lleva tu suéter, m’hija. Más vale prevenir que lamentar.",Siempre reviso los frenos antes de manejar — más vale prevenir que lamentar.,Nos vacunamos porque más vale prevenir que lamentar.
Tener un nudo en la garganta,Verbal phrase with possessive noun,To feel like crying or emotionally choked up,Sentir emoción o tristeza profunda,B1,"emotion, literature, family","poetic, emotional",Common metaphor in NM poetic and family storytelling contexts,[teˈneɾ un ˈnuðo en la ɣaɾˈɣanta],"Cuando vio la carta, tenía un nudo en la garganta.",Me dio un nudo en la garganta al escuchar su voz.,Todos teníamos un nudo en la garganta durante el funeral.
Buscarle tres pies al gato,Infinitive phrase with direct object,To complicate something unnecessarily,Complicar lo simple,B2,"daily speech, logic, family, literature","colloquial, sarcastic","Old Spanish idiom retained in NM, reflects Spanish colonial legacy",[busˈkaɾle tɾes ˈpjes al ˈɡato],¡No le busques tres pies al gato! Es algo simple.,Siempre le buscan tres pies al gato en esa oficina.,Ella le buscó tres pies al gato y ahora todo se complicó.
Estar de malas pulgas,Idiomatic prepositional phrase with stative verb,To be in a bad mood,Estar de mal humor,A2,"daily speech, family","colloquial, informal",Widely used in rural NM homes; refers to literal fleas in bedding and moodiness,[esˈtaɾ de ˈmalas ˈpulɣas],¡Ten cuidado! Hoy está de malas pulgas.,Mi perro y mi hermano están de malas pulgas esta mañana.,"No le hables ahorita, anda de malas pulgas."
