Idiom (Oromo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Oromo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Harka maratee taa'u,Fixed clause with reflexive verb,To remain inactive or helpless in a situation,To do nothing or be powerless,B1,"Daily speech, family, workplace",Colloquial,"Common across rural Oromia, especially during drought discussions",ˈharka maˈratːe taːʔu,Yeroo rakkoon mudatu harka maratee taa’uun furmaata miti.,Isheen harka marattee taa’uun waan hundumaaf abdii kutatte fakkaatti.,Hojii dhabuun nama harka maratee taa’aa taasisa.
Dubbii garaa jettee hin baafatin,Negative imperative with complement clause,Don’t speak what’s better kept secret,Keep it to yourself,B2,"Family, sarcasm, interpersonal relations","Ironic, colloquial",Used in informal Oromo speech to advise discretion,ˈdubbii ɡaˈraː dʒetːeː hin baːfatːin,"Mee dubbii garaa jettee hin baafatin, yeroo hin taane!",Dubbiin sun garaa keetitti haa haftu malee namatti hin himin.,Ammas dubbii garaa jettee hin baafatin jechuun na doorsisaa?
Bishaan jala galu,Verb phrase,To disappear or hide due to fear or shame,To vanish or escape secretly,C1,"Politics, daily speech, literature","Poetic, ironic",Popularized in political satire across central Oromia,ˈbiʃaːn dʒaˈla ɡaːlu,Warri himannaa sodaate sun bishaan jala galeera.,Yeroo gaaffiin dhufu bishaan jala galuun hin furamu.,Inni bishaan jala gale; eenyullee eessa akka jiru hin beeku.
Aannan muka jettee hin kolfiin,Conditional clause with negative imperative,Don’t mock someone for saying something strange or illogical,Avoid laughing at absurd comments,C2,"Humor, family, wisdom speech","Humorous, ironic",Sourced from folktales involving talking animals,ˈʔaːnan ˈmuka dʒetːeː hin ˈkolfiːn,Dubbiin ishee akka aannan muka jettee hin kolfiin.,Namni yaada kennu tokko tokko akka aannan muka dha.,Aannan muka jettee hin kolfiin — waan ofii ati hin beekneef!
Dubbii foon irraa muranii,"Relative clause, metaphorical object",To speak bluntly or harshly,To speak plainly or directly,B2,"Workplace, politics, family","Formal, serious",Derived from butchering metaphors in agrarian contexts,ˈdubbii foːn ʔirːaː muˈraniː,Dubbii foon irraa muranii dubbachuun waanuma ijoo dubbata.,Isheen dubbii foon irraa murte hin beektu.,Ani dubbii foon irraa muranii siif hima — dhugaa bareedaa!
Miilla lama irra dhaabachuu,Infinitive phrase with verbal noun,To become stable or independent,To stand on one's own,B1,"Youth, motivation, workplace","Motivational, formal",Rooted in pastoralist self-reliance ideology,ˈmiːlːa ˈlama ʔirːaː dʰaːbaˈtʃuː,Dargaggoonni miilla lama irra dhaabatanii of danda’u.,Barnoota fixachuun miilla lama irra dhaabachuu dha.,Abbaa fi haati isaanii akka ijoolleen miilla lama irra dhaabbatan fedhu.
Garaan isaa hin guunne,Negative past perfective,Someone who is never satisfied or content,To be insatiable,B2,"Criticism, daily speech, family","Colloquial, sarcastic",Frequent in Oromo proverbs about greed,ɡaˈraːn ʔiˈsaː hin ɡunːeː,Garaan isaa hin guunne — waa hundumaa barbaada.,Waan hunda argatee booda illee garaan isaa hin guunne.,"Namni tokko yoo garaan isaa hin guunne ta’e, harka duwwaa du’a."
Dhiiga isaa keessaa baasa,Relative clause with metaphorical object,To blame or target someone relentlessly,To persecute someone harshly,C2,"Politics, literature, family drama","Literary, sarcastic",Reflects notions of blood guilt and familial vengeance,ˈdʰiːɡa ʔiˈsaː keːsaː baːsa,Waan inni godheef dhiiga isaa keessaa baasan.,Namni sun hamma xiqqoof illee dhiiga isaa keessaa baasa.,"Akka itti himataman ilaalchisee, dhiiga isaanii keessaa baasu."
Qomoon qomoo caalu hin jiru,Negated copular clause,There is no one more important than kin,Family is irreplaceable,A2,"Family, wisdom speech","Proverbial, formal",Widely used in Oromo clan-based values and oral traditions,ˈqomoːn ˈqomoː tʃaːlu hin dʒiru,Nama gargaaree beeku; qomoon qomoo caalu hin jiru.,Qomoon qomoo caalu hin jiru jechuun maatii hin dagannu.,"Isaan wal didanillee, qomoon qomoo caalu hin jiru."
Akka saree ciniinna jettee,Simile with ironic commentary,To change stance abruptly or unreasonably,To act inconsistently or flip-flop,C1,"Sarcasm, politics, gossip","Ironic, vulgar",Originates from dog metaphors in Oromo village insults,ˈʔakka ˈsareː tʃininːa dʒetːeː,Akka saree ciniinna jettee yeroo mara of jijjiirti.,Murtee isaa akka saree ciniinna jettee wal hin fakkaatu.,Akka saree ciniinna jettee jedhuun nama afoo hin kennu.
