Idiom (Ottoman Turkish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ottoman Turkish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ayağını yorganına göre uzat,Emir kipiyle kurulmuş sabit cümle,"İmkânına göre hareket et, ölçülü davran.",Maddi imkânlarını aşma.,B1,"Günlük konuşma, aile öğüdü","Atasözü, öğüt verici","Osmanlı dönemi halk kültürü, fakirlik ve kanaatkârlık üzerine",/ajaːnɯ joɾɡanɯna ɟøɾe uzat/,"Oğlum, ayağını yorganına göre uzat ki borca girmeyesin.",Ayağını yorganına göre uzatmayan sonunda pişman olur.,"Komşu, ayağını yorganına göre uzatmadığı için zora düştü."
Dereyi görmeden paçayı sıvama,Olumsuz emir yapısında sabit ifade,Bir işin sonucunu görmeden hazırlık yapma.,İşi bitmeden sevinme.,B2,"Günlük konuşma, iş ortamı","Atasözü, uyarıcı",Köy yaşamından alınmış halk deyimi,/deɾeji ɟøɾmeden pat͡ʃajɯ sɯvama/,"Dereyi görmeden paçayı sıvama, işin daha başındayız.","O, dereyi görmeden paçayı sıvamış gibi davranıyor.",Dereyi görmeden paçayı sıvayan zarara uğrar.
Üzüm üzüme baka baka kararır,Tekrarlamalı fiil yapısı,İnsan çevresinden etkilenir.,Kişi arkadaşlarından etkilenir.,A2,"Aile, günlük konuşma","Atasözü, bilgece",Bağcılığın yaygın olduğu Anadolu bölgelerinden,/yzym yzʏme baka baka kaɾaɾɯɾ/,"Üzüm üzüme baka baka kararır, sen de arkadaşlarına benziyorsun.",Çocuklar üzüm üzüme baka baka kararır misali birbirine benzer.,"Üzüm üzüme baka baka kararır; iyi dost iyiyi, kötü dost kötüyü öğretir."
Taş yerinde ağırdır,"İsim cümlesi, sabit ifade",İnsan kendi yerinde kıymetlidir.,Herkes kendi memleketinde değerlidir.,B1,"Sosyal bağlam, aile","Atasözü, otoriter",Anadolu halk kültüründe doğmuş atasözü,/taʃ jeɾinde aːɣɯɾdɯɾ/,"Taş yerinde ağırdır, insan memleketinde değerlidir.","Taş yerinde ağırdır, uzak diyarlarda yabancı olursun.",Taş yerinde ağırdır; kişi kendi köyünde itibar bulur.
İyilik eden iyilik bulur,Tekrarlamalı yüklem yapısı,İyilik yapan karşılığında iyilik görür.,İyilik karşılıksız kalmaz.,A2,"Günlük konuşma, öğüt","Atasözü, olumlu","Osmanlı halk kültürü, ahlâkî değerler",/ijilik eden ijilik buɫuɾ/,"İyilik eden iyilik bulur, kötülük eden zarar görür.",İyilik eden iyilik bulur; yardımsever ol.,"İyilik eden iyilik bulur, unutma."
Sabreden derviş muradına ermiş,"Sıfat-fiil yapısı, sabit ifade",Sabreden kişi amacına ulaşır.,Sabırlı olan sonunda başarıya ulaşır.,B2,"Dinî, tasavvufî, edebî","Tasavvufî, bilgece",Tasavvuf geleneği ve tekke edebiyatı,/sabɾeden deɾviʃ muɾadɯna eɾmiʃ/,Sabreden derviş muradına ermiş; sen de sabırlı ol.,Sabreden derviş muradına ermiş derler büyüklerimiz.,"Sabreden derviş muradına ermiş, acele eden pişman olur."
Ak akçe kara gün içindir,İsim cümlesi,Tasarruf zor zaman için gereklidir.,Paranı zor günler için sakla.,A2,"Aile, ekonomi, öğüt","Atasözü, bilgece",Osmanlı dönemi ekonomik kültürü,/ak akʧe kaɾa ɟyn itʃindiɾ/,"Ak akçe kara gün içindir, paranı sakla.",Ak akçe kara gün içindir; boşuna harcama.,Ak akçe kara gün içindir; ihtiyatlı ol.
"Komşu hakkı, Tanrı hakkıdır","İsim cümlesi, eşitleme yapısı",Komşuya saygı göstermek dini bir görevdir.,Komşuya haksızlık yapma.,B1,"Aile, toplum, dinî öğüt","Atasözü, ahlâkî",Osmanlı toplumunda komşuluk ilişkileri,/komʃu hakkɯ tanɾɯ hakkɯdɯɾ/,"Komşu hakkı, Tanrı hakkıdır; dikkat et.","Komşu hakkı, Tanrı hakkıdır derler büyükler.","Komşu hakkı, Tanrı hakkıdır; haksızlık yapma."
"Sakla samanı, gelir zamanı","Emir yapısı, sabit ifade",Değersiz şeyin de zamanı gelir.,Her şeyin bir faydası olabilir.,B2,"Günlük konuşma, mizah","Atasözü, mizahi","Köy hayatından alınmış, tarımsal kültür",/sakla samanɯ ɟeliɾ zamanɯ/,"Sakla samanı, gelir zamanı; küçümseme.","Sakla samanı, gelir zamanı derlerdi eskiler.","Sakla samanı, gelir zamanı; işe yarar."
Bir koltuğa iki karpuz sığmaz,Olumsuz yüklemli cümle,Bir anda iki işi başaramazsın.,Aynı anda iki iş yapılmaz.,B1,"Günlük konuşma, iş ortamı","Atasözü, uyarıcı",Pazar hayatı ve halk kültüründen,/biɾ koltuːa iki kaɾpuz sɯːɣmaz/,"Bir koltuğa iki karpuz sığmaz, dikkat et.",Bir koltuğa iki karpuz sığmaz; acele etme.,Bir koltuğa iki karpuz sığmaz; yavaş davran.
