Idiom (Mezquital Otomi),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Ra ntho ya jäi,Fixed verbal clause with existential metaphor,Someone who acts without thinking ahead,Actuar sin planear,B1,"Daily speech, family advice, humor","Colloquial, mildly ironic",Linked to agricultural decision-making in the Mezquital Valley,/ɾa n̪tʰo ja haɪ̯/,Nu bätsi ra ntho ya jäi ha ya ngu ra jäi.,Bi ma ra ntho ya jäi ne bi du ra mfeni.,"Xa hingi hoki, ge ra ntho ya jäi."
Ra ndehe xa zoni,Nominal metaphorical phrase,A person who speaks wisely after long reflection,Hablar con mucha prudencia,B2,"Community meetings, literature, elder discourse","Respectful, poetic",Associated with elder councils in Hidalgo,/ɾa ndehe ʃa soni/,Ra tata José di mä ra ndehe xa zoni.,Nuna ya jäi bi ntsedi por ge ra ndehe xa zoni.,Ra jäi da hoki ra ndehe xa zoni pa da mfädi.
Di xifi ma mui,Verb phrase with body-part metaphor,To speak from the heart sincerely,Hablar con sinceridad,A2,"Friendship, reconciliation, family","Warm, intimate",Traditional emphasis on honesty in oral storytelling,/di ʃifi ma mui/,Nu nana di xifi ma mui nge ya bätsi.,Gi xifi ma mui ne hingi ntsedi.,Ra jäi bi xifi ma mui ge bi thogi.
Ra hñäki bi zä,Completed action idiomatic clause,A difficult situation finally ended well,El problema terminó favorablemente,B1,"Politics, family conflicts, village affairs","Neutral, optimistic",Used after resolving communal disputes,/ɾa hɲɑki bi sã/,Ya jäi bi mpefi ne ra hñäki bi zä.,Jamädi ra hñäki bi zä ngu nuna ya mfeni.,Ra hñäki bi zä después de ya nt'ot'e.
Mädi ngu ra ndähi,Comparative descriptive construction,To be extremely stubborn,Ser muy terco,A2,"Humor, family teasing, daily conversation","Colloquial, humorous",Compares behavior to hardened earth in dry seasons,/mɑdi ngu ɾa ndɑhi/,Nu bätsi mädi ngu ra ndähi ne hingi ode.,Ge gi mädi ngu ra ndähi cada pa.,Ya jäi bi ñä ge mädi ngu ra ndähi.
Ra ñäki ya do,Fixed noun phrase with symbolic imagery,Hidden tension between people,Existe conflicto oculto,C1,"Politics, social commentary, literature","Literary, serious",Derived from ceremonial language about silence and shadows,/ɾa ɲɑki ja do/,Ra ñäki ya do di hoki entre ya ngu.,Xa ntsedi por ge ra ñäki ya do.,Nu xita bi pädi ra ñäki ya do.
Bi metsi ra ñogi,Perfective verbal idiom,Someone lost control emotionally,Perder la calma,B2,"Arguments, emotional narratives, drama","Expressive, emotional",References overflowing irrigation canals,/bi metsi ɾa ɲogi/,Nu jäi bi metsi ra ñogi ante ya mfadi.,Hingi hoki da metsi ra ñogi.,Ra zi dada bi metsi ra ñogi ne bi zoni.
Ra mfeni ya ñuu,Nominalized metaphorical expression,Collective wisdom of the community,Conocimiento comunitario,C2,"Ceremonies, education, cultural discourse","Formal, reverential",Rooted in communal governance traditions,/ɾa mfeni ja ɲuː/,Ra mfeni ya ñuu di hoki pa ya bätsi.,Nu maestro di ote ra mfeni ya ñuu.,Xa hño ra mfeni ya ñuu ha ra ngu.
Di yopa ra jeya,Progressive metaphorical verb phrase,To continue insisting despite resistance,Insistir constantemente,B1,"Workplace, activism, family persuasion","Determined, colloquial",Connected to repetitive grinding motions in traditional labor,/di jոպa ɾa heja/,Nu xadi di yopa ra jeya pa da jäi.,Ge di yopa ra jeya aunque ya ntsedi.,Ra nana bi yopa ra jeya con ya bätsi.
Ra hmui bi thoni,Stative-resultative idiomatic clause,Peace returned after hardship,Regresó la tranquilidad,B2,"Community life, storytelling, reconciliation","Poetic, reflective",Used in narratives after droughts or disputes,/ɾa hmui bi tʰoni/,"Después de ya nt'ot'e, ra hmui bi thoni.",Ya ngu bi johya cuando ra hmui bi thoni.,Nu tata bi mä ge ra hmui bi thoni.
