Idiom (Spanish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Spanish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar entre la espada y la pared,Verbo + preposición + sustantivo; estructura fija,Estar en una situación difícil donde no hay una salida fácil,Estar en una situación difícil sin buenas opciones,B2,"Conversaciones cotidianas, política, familia","Coloquial, serio","Origen medieval, cuando alguien estaba acorralado entre una espada y una pared sin escapatoria",[esˈtaɾ enˈtɾe la esˈpaða i la paˈɾeð],No sé qué hacer; estoy entre la espada y la pared con este trabajo.,Me piden elegir entre mi familia y mi carrera; me siento entre la espada y la pared.,"Políticamente, el presidente está entre la espada y la pared por las nuevas leyes."
Tirar la toalla,Verbo transitivo + artículo definido + sustantivo,"Rendirse, abandonar un esfuerzo",Renunciar a seguir intentando,B1,"Deporte, vida personal, trabajo","Coloquial, informal","Del boxeo, donde tirar la toalla significaba rendirse",[tiˈɾaɾ la toˈaʝa],"Después de varios intentos fallidos, decidió tirar la toalla.","No tires la toalla aún, seguro puedes lograrlo.","Cuando todo sale mal, uno siente ganas de tirar la toalla."
Hacerse la vista gorda,Verbo pronominal + sustantivo + adjetivo,Ignorar intencionalmente algo,Fingir que no se ha visto algo,B2,"Corrupción, ética, relaciones personales","Coloquial, irónico","De tradición popular española, usada para criticar la hipocresía",[aˈθeɾse la ˈβista ˈɣoɾða],El jefe se hizo la vista gorda ante las irregularidades.,No podemos seguir haciéndonos la vista gorda con estos problemas.,Hacerse la vista gorda es común en la política actual.
Más vale tarde que nunca,Comparativo + verbo + adverbio; estructura sentencial fija,Es mejor hacer algo tarde que no hacerlo en absoluto,Es preferible hacer algo tarde a no hacerlo,A2,"Vida cotidiana, disculpas, retrasos","Coloquial, reflexivo",Proverbio con raíces en la literatura clásica latina,[mas ˈβale ˈtaɾðe ke ˈnuŋka],"Llegaste tarde, pero más vale tarde que nunca.",Terminó la carrera a los 50 años; más vale tarde que nunca.,"Aunque se disculpó hoy, más vale tarde que nunca."
No tener pelos en la lengua,Verbo + negación + sustantivo + preposición; construcción fija,Hablar de forma directa sin filtro,Hablar con franqueza sin censura,B2,"Opiniones, discusiones, crítica social","Coloquial, directo","Expresión popular española, asociada a la sinceridad",[no teˈneɾ ˈpelos en la ˈleŋɡwa],Ella no tiene pelos en la lengua y siempre dice lo que piensa.,Me gusta la gente que no tiene pelos en la lengua.,"Juan no tiene pelos en la lengua, por eso es tan polémico."
Estar en las nubes,Verbo + preposición + artículo + sustantivo plural,Estar distraído o perdido en pensamientos,No prestar atención a lo que ocurre,A2,"Escuela, trabajo, relaciones","Coloquial, cotidiano",Asociación poética con la distracción o el ensueño,[esˈtaɾ en las ˈnuβes],"Estás en las nubes, ¿me estás escuchando?","Durante la clase, Pedro siempre está en las nubes.",Estaba tan enamorada que vivía en las nubes.
Costar un ojo de la cara,Verbo + objeto directo + preposición + artículo definido + sustantivo,Ser extremadamente caro,Tener un precio muy elevado,B1,"Consumo, economía, quejas","Coloquial, enfático","Frase antigua asociada al alto costo de algo valioso, incluso físico",[kosˈtaɾ un ˈoxo ðe la ˈkaɾa],Ese celular cuesta un ojo de la cara.,Las entradas al concierto me costaron un ojo de la cara.,Todo está tan caro que hasta el pan cuesta un ojo de la cara.
Ser pan comido,Verbo + sustantivo + participio; estructura fija,Ser muy fácil de hacer,No presentar dificultad alguna,A1,"Exámenes, tareas, deporte","Coloquial, motivador",Metáfora con la facilidad de comer pan,[seɾ ˈpaŋ koˈmiðo],Este examen fue pan comido.,"Para ella, resolver ese problema es pan comido.",La entrevista fue pan comido gracias a la preparación.
Meter la pata,Verbo transitivo + artículo definido + sustantivo,"Cometer un error, especialmente en lo social",Equivocarse o hacer algo inapropiado,B1,"Social, laboral, humor","Coloquial, a veces humorístico",Origen incierto; probablemente del lenguaje rural vinculado a animales,[meˈteɾ la ˈpata],Metí la pata al hablar de su ex sin saberlo.,Siempre meto la pata cuando estoy nervioso.,Él metió la pata y ahora tiene que disculparse.
Estar como una cabra,Verbo + comparación + sustantivo,Actuar de forma muy loca o excéntrica,Estar loco o actuar de manera extraña,B2,"Juventud, humor, amistad","Coloquial, humorístico",Asociación popular entre cabras y comportamientos impredecibles,[esˈtaɾ ˈkomo ˈuna ˈkaβɾa],¡Estás como una cabra! ¿Cómo se te ocurre hacer eso?,"Mi primo está como una cabra, siempre hace locuras.","La profesora nueva está como una cabra, pero todos la quieren."
