Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Meter o Rossio na Betesga,Infinitive verb phrase with definite articles,Tentar fazer caber algo grande num espaço pequeno ou situação impraticável,Tentar fazer algo impossível ou desproporcional,C1,"Humor, crítica social, vida urbana","Ironic, cultural",Refere-se a duas ruas de Lisboa — Rossio (praça larga) e Betesga (rua estreita),ˈme.tɨɾ u ʁuˈsi.u nɐ bɨˈtɛʃ.gɐ,Queres meter o Rossio na Betesga com esse projeto para amanhã.,Estás a tentar meter o Rossio na Betesga ao encaixar tudo nesse estúdio.,"O plano parecia ótimo, mas era como meter o Rossio na Betesga."
Ficar a ver navios,Infinitive verb phrase,Ficar desiludido ou sem aquilo que se esperava,Ficar sem nada do que esperava,B1,"Conversas informais, expectativas frustradas",Colloquial,Alude a esperar embarcações que nunca chegam no Tejo,fiˈkaɾ ɐ ˈveɾ nɐˈvi.uʃ,Esperei horas pela encomenda e fiquei a ver navios.,"Ele prometeu ajudar, mas fiquei a ver navios.","Com a greve, todos ficámos a ver navios."
Andar com a cabeça na lua,Verbal phrase with prepositional clause,Estar distraído ou alheado da realidade,Estar muito distraído,A2,"Escola, trabalho, vida pessoal","Colloquial, humorístico","Expressão comum desde o século XX, reforçada com a corrida espacial",ɐ̃ˈdaɾ kõ ɐ kɐˈβe.sɐ nɐ ˈlu.ɐ,Hoje andas com a cabeça na lua ou quê?,"Sempre que penso nele, ando com a cabeça na lua.",A professora disse que eu estava com a cabeça na lua outra vez.
Chorar sobre o leite derramado,Infinitive verb phrase with prepositional clause,Lamentar algo que já aconteceu e não tem solução,Lamentar o que já não tem remédio,B2,"Conselhos, moralismo","Neutro, proverbial","De origem rural, ligado à perda de bens",ʃuˈɾaɾ ˈso.βɾɨ u ˈlɐj.tɨ dɨʁɐˈma.du,Não adianta chorar sobre o leite derramado.,"Já foi, agora é tarde para chorar sobre o leite derramado.",Aprendi a não chorar sobre o leite derramado.
Estar com os azeites,Verbal phrase with prepositional phrase,Estar irritado ou maldisposto,Estar zangado,B1,"Familiar, informal, humor","Colloquial, popular",Possível referência à acidez dos azeites,ɨʃˈtaɾ kõ uz ɐˈzɐj.tɨʃ,"Cuidado, ele está com os azeites!",Não percebo por que estás com os azeites hoje.,"Depois daquela chamada, fiquei logo com os azeites."
Ter o rei na barriga,Infinitive verb phrase with article,Achar-se superior ou muito importante,Ser convencido,B2,"Crítica, sarcasmo, humor","Ironic, popular",Ligado à monarquia e à ideia de soberania pessoal,ˈteɾ u ˈʁɐj nɐ bɐˈʁi.ɡɐ,"Desde a promoção, parece que tem o rei na barriga.",Fala como quem tem o rei na barriga.,Não és melhor que ninguém — tira o rei da barriga.
Dar com a língua nos dentes,Verbal phrase with reflexive prepositional clause,Revelar um segredo ou falar demais,Contar o que não devia,B2,"Segredos, confiança, humor",Colloquial,Expressa fisicamente o ato de falar,ˈdaɾ kõ ɐ ˈlĩ.ɡwɐ nuʒ ˈdẽ.tɨʃ,O João deu com a língua nos dentes e estragou a surpresa.,"Não posso contar, senão ainda dou com a língua nos dentes.",Ela deu com a língua nos dentes sem querer.
Deitar água na fervura,Infinitive phrase with object and prepositional clause,Acalmar uma situação tensa,Tentar apaziguar,C1,"Mediação, conflitos, política","Formal, metafórico",Remete à culinária — baixar fervura com água,dɐjˈtaɾ ˈa.ɡwɐ nɐ fɨɾˈvu.ɾɐ,Ela tentou deitar água na fervura no debate.,Deitei água na fervura antes que explodisse.,Sempre a deitar água na fervura quando há discussões.
Fazer das tripas coração,Infinitive verb phrase with idiomatic complement,Esforçar-se ao máximo em situação difícil,Dar tudo de si,C1,"Trabalho, superação, motivação","Literary, épico",Tradição bíblica e militar,fɐˈzeɾ dɐʃ ˈtɾi.pɐʃ ku.ɾɐˈsɐ̃w,Fez das tripas coração para terminar a tese.,Estamos a fazer das tripas coração por esta empresa.,Fez das tripas coração para salvar a família.
Estar nas sete quintas,Verbal phrase with prepositional noun phrase,Estar muito feliz ou satisfeito,Estar em êxtase,B2,"Acontecimentos felizes, informalidade","Popular, poético",Alusão a possuir vastas terras ou quintas,ɨʃˈtaɾ naʃ ˈsɛ.tɨ ˈkĩ.tɐʃ,"Desde que voltou, anda nas sete quintas.","Com aquele elogio, fiquei nas sete quintas!",Eles estavam nas sete quintas com o presente.
