Idiom (Pashto),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Pashto)",First Example Sentence,Second Example Sentence,Third Example Sentence
غر د غر سره نه لګېږي، خو سړی د سړي سره لګېږي,"Fixed clause, compound sentence","People are bound to meet again, but large events or obstacles rarely collide naturally",People will eventually cross paths again,B2,"daily speech, reconciliation, advice","colloquial, proverbial",Traditional Afghan wisdom highlighting human social nature,"ɣar da ɣar sara na laɡeːdʒi, xo saɽi da saɽi sara laɡeːdʒi",د دوو کلونو وروسته مې ورسره بیا ولیدل، لکه چې وايي: غر د غر سره نه لګېږي، خو سړی د سړي سره لګېږي.,که څه هم موږ په خفه کېدو جلا شوو، خو غر د غر سره نه لګېږي، خو سړی د سړي سره لګېږي.,په بازار کې مې ناڅاپه هغه ولید، رښتیا چې غر د غر سره نه لګېږي، خو سړی د سړي سره لګېږي.
اوبه تر خولې راغلې,"Fixed clause, past tense",To be in extreme difficulty or at breaking point,I am overwhelmed / I am at my limit,B1,"daily speech, workplace stress, urgency",colloquial,"Evokes imagery of drowning, a universal metaphor",obə taɾ xoːlə raɡlə,د دفتر کار دومره زیات شو چې اوبه تر خولې راغلې.,د امتحانونو له فشار نه راته اوبه تر خولې راغلې.,د پورونو له بار سره داسې یم لکه چې اوبه تر خولې راغلې.
غوښه له هډوکي سره ښه وي,Fixed clause,Relationships or things are better when they remain connected to their source,It’s better when things stay connected to their origin,C1,"family, loyalty, tradition","proverbial, traditional",Traditional Pashto cooking metaphor extended to social bonds,ɣoːʃa la haɖoki sara x̌a wi,اولاد باید له مور و پلار سره نږدې وي، ځکه غوښه له هډوکي سره ښه وي.,دوستان چې له ماشومتوبه سره وي، غوښه له هډوکي سره ښه وي.,کورني کاروبارونه ځکه ښه روان وي چې غوښه له هډوکي سره ښه وي.
د بخت دروازې تل نه پرانېستل کېږي,"Fixed clause, negative",Opportunities don’t last forever,Opportunities are temporary,B2,"advice, business, motivation","colloquial, advisory",Reflects the Pashto emphasis on seizing rare chances,da baxt dərəwaze tal na pɾanestəl keːɡi,که ښه موقع درته پیدا شي، ګټه ترې واخله، ځکه د بخت دروازې تل نه پرانېستل کېږي.,هغې ته مې وویل چې خپله پروژه اوس وړاندې کړه، د بخت دروازې تل نه پرانېستل کېږي.,په تجارت کې جرئت مهم دی، ځکه د بخت دروازې تل نه پرانېستل کېږي.
ترخه خبرې خوږې پایلې لري,"Fixed clause, present tense",Honest criticism can lead to positive results,Telling the truth can help in the long run,C1,"conflict resolution, workplace, family advice","proverbial, advisory",Common Afghan belief about honesty,tərxə xabəɾe xoːɡe paile lari,مدیر ته مې په جرئت وویل، ځکه ترخه خبرې خوږې پایلې لري.,ماشوم ته حقیقت ووایه، ترخه خبرې خوږې پایلې لري.,ملګري ته مې انتقاد وکړ، خو پوهېږي چې ترخه خبرې خوږې پایلې لري.
د وخت درمل د هر درد دوا ده,Fixed clause,Time heals all wounds,"With time, pain will fade",B1,"comfort, life advice","proverbial, literary",Universal wisdom found in Afghan poetry,da waxt daɾmal da har daɾd dawa da,غمجن مه اوسه، د وخت درمل د هر درد دوا ده.,زخمي زړه به جوړ شي، ځکه د وخت درمل د هر درد دوا ده.,له جلا کېدو وروسته پوه شوم چې د وخت درمل د هر درد دوا ده.
غرور د انسان د تباهۍ سبب کېږي,Fixed clause,Pride leads to a person’s downfall,Pride destroys people,C1,"moral advice, literature","formal, proverbial",Common moral teaching in Afghan culture,ɣɾoːɾ da insaːn da tabahi sabab keːɡi,تل متواضع اوسه، ځکه غرور د انسان د تباهۍ سبب کېږي.,پاچا د غرور له امله مات شو، غرور د انسان د تباهۍ سبب کېږي.,د علم له کچې پرته غرور کول خطرناک دي، غرور د انسان د تباهۍ سبب کېږي.
چې ونه کرې، میوه نه رېبې,Conditional clause,You can’t expect results without effort,"No pain, no gain",B2,"motivation, education, business","colloquial, proverbial",Agricultural metaphor from Afghan rural life,"če wona kəɾe, meːwa na reːbe",که کار ونه کړې، بریا نه شې موندلی، چې ونه کرې، میوه نه رېبې.,په زده کړو کې باید هڅه وکړې، چې ونه کرې، میوه نه رېبې.,هره پروژه کار غواړي، چې ونه کرې، میوه نه رېبې.
هر څوک د خپلې خټې لوښی دی,Fixed clause,Everyone is responsible for their own actions,You are responsible for your own deeds,B2,"advice, moral teaching","colloquial, proverbial",Pottery metaphor common in Pashto folklore,har tsowk da xpaːle xtə loʃi de,په ژوند کې هر څوک د خپلې خټې لوښی دی.,د خپلو اعمالو حساب ورکه، هر څوک د خپلې خټې لوښی دی.,که غلط کار وکړې، پوه شه چې هر څوک د خپلې خټې لوښی دی.
هر چېرته چې ځې، هلته د خلکو دود ومنه,Imperative structure,Respect the customs of the place you are in,"When in Rome, do as the Romans do",B2,"travel, cultural advice","advisory, proverbial",Afghan hospitality and cultural adaptability,"har tʃerta če dze, halta da lʰaːklo dod wəməna",که بل هېواد ته ځې، هر چېرته چې ځې، هلته د خلکو دود ومنه.,په کلي کې مې هم د خلکو دود ومنه، هر چېرته چې ځې، هلته د خلکو دود ومنه.,د سفر پر مهال باید هر ځای د خلکو دود ومنې، هر چېرته چې ځې، هلته د خلکو دود ومنه.
