Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Paraguayan)",First Example Sentence,Second Example Sentence,Third Example Sentence
Estar en la luna de Encarnación,Locución verbal; construcción fija,Estar distraído o desconectado de lo que ocurre alrededor,Estar distraído,B1,"Conversación cotidiana, humor, escuela","Coloquial, humorístico","Hace alusión a Encarnación, una ciudad con historia poética y carnavalesca, usada irónicamente para referirse a despistes",[ehˈtaɾ en la ˈluna ðe eŋkaɾnaˈsjon],"¡Che ra’a, estabas en la luna de Encarnación otra vez en clase!",No entendió nada del plan porque estaba en la luna de Encarnación.,"Siempre estás en la luna de Encarnación cuando te hablo, ¿eh?"
Saltar como poroto en agua caliente,Simil; comparación explícita con 'como',Reaccionar bruscamente o de forma exagerada,Reaccionar de forma exagerada,B2,"Familia, humor, discusión","Coloquial, expresivo",Alude a la cocina tradicional: el poroto (frijol) salta al hervir,[salˈtaɾ ˈkomo poˈɾoto en ˈaɰwa kaˈljente],Saltó como poroto en agua caliente cuando le dijimos que era mentira.,"Che, no saltés como poroto en agua caliente, fue un chiste nomás.",Saltás como poroto en agua caliente cada vez que se te contradice.
Ser más terco que mula de estanciero,Comparación con 'más... que'; frase nominal,Ser muy obstinado o testarudo,Ser muy obstinado,B2,"Familia, discusión, humor","Coloquial, irónico",Hace referencia a las mulas usadas en estancias rurales paraguayas,[seɾ ˈmas ˈteɾko ke ˈmula ðe estanˈsjeɾo],"Ese tipo es más terco que mula de estanciero, no va a cambiar de opinión.","No insistas, es más terco que mula de estanciero.","Le dije mil veces y nada, más terco que mula de estanciero."
Llover sobre mojado,Locución verbal; construcción pasiva,Suceder algo negativo tras otra desgracia,Empeorar una situación ya mala,B1,"Diario, noticias, queja","Neutro, literario","Uso extendido en el mundo hispano, tiene arraigo en literatura paraguaya",[ʝoˈβeɾ ˈsoβɾe moˈxaðo],Perdió su trabajo y ahora se enfermó: llover sobre mojado.,Es llover sobre mojado lo que le pasó a Marta.,"Después del corte de luz, se rompió el heladera... llover sobre mojado."
Hacerse el ñembotavy,Verbo pronominal reflexivo; uso de guaranismo,Fingir desconocimiento o hacerse el tonto,Fingir que no se entiende,C1,"Conversación cotidiana, ironía, política","Coloquial, irónico",Del guaraní 'ñembotavy': hacerse el desentendido,[aˈseɾse el ɲemboˈtaβi],"No te hagas el ñembotavy, bien que sabés lo que pasó.",Se hizo el ñembotavy cuando le preguntaron por la plata.,Vos siempre te hacés el ñembotavy cuando hay que ayudar.
Estar hasta el mango,Locución verbal coloquial,Estar harto o sobrecargado,Estar al límite,B2,"Trabajo, estudio, queja",Coloquial,Referencia criolla a los mangos de herramientas o armas,[ehˈtaɾ ahta el ˈmaŋɡo],Estoy hasta el mango con los trabajos del cole.,La gente está hasta el mango con el gobierno.,Ya estoy hasta el mango de esta situación.
Hablar por los codos,Locución verbal,Hablar demasiado o sin parar,Hablar mucho,A2,"Humor, familia, escuela",Coloquial,"Uso general en el mundo hispano, habitual en Paraguay",[aˈβlaɾ poɾ los ˈkoðos],"Ese profe habla por los codos, no para nunca.",Mi tía habla por los codos en los almuerzos.,"Cuidado con Pedro, habla por los codos."
Estar chupando como esponja,Locución comparativa con gerundio,Beber mucho alcohol,Beber excesivamente,C1,"Vida nocturna, humor","Vulgar, coloquial",Analogía visual común en reuniones sociales paraguayas,[ehˈtaɾ tʃuˈpaŋdo ˈkomo esˈpoŋxa],Anoche estaba chupando como esponja en la fiesta.,"Che, dejale ya, está chupando como esponja otra vez.",No vamos a invitarlo si va a estar chupando como esponja.
Ser un kaigue,Frase nominal con préstamo del guaraní,Ser flojo o sin ganas,Tener pereza,B1,"Juventud, familia, trabajo",Coloquial,Del guaraní 'kaigue' que significa flojera extrema,[seɾ un kaiˈɰe],"Ese tipo es un kaigue, nunca quiere hacer nada.","No seas kaigue, levantate ya.","Mis alumnos están kaigue hoy, ni hablar quieren."
Tener la lengua más suelta que calzoncillo de payaso,Comparación cómica,"Hablar sin filtros, contar todo",Ser indiscreto,C2,"Humor, crítica social","Vulgar, sarcástico","Humor paraguayo, exageración teatral",[teˈneɾ la ˈleŋɡwa mas ˈswelta ke kalsonˈsiʎo ðe paˈʝaso],Ese político tiene la lengua más suelta que calzoncillo de payaso.,¡Callate! Tenés la lengua más suelta que calzoncillo de payaso.,"No le cuentes nada a ella, tiene la lengua más suelta que calzoncillo de payaso."
