Idiom (Quechua),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Quechua)",First Example Sentence,Second Example Sentence,Third Example Sentence
Rikch'akuq sonqoyuq,Fixed clause with possessive suffix -yuq,A person who is kind-hearted and generous,Generous person,B1,"Daily speech, family, workplace","Colloquial, warm","Used widely in Cuzco region, reflects cultural value of generosity",ˈrik.t͡ʃʼa.kʊq ˈsʊŋ.qo.jʊq,Ñuqanchikpa hatun mamayqa rikch'akuq sonqoyuqmi karqa.,Wasi runakunata yanapaykuq rikch'akuq sonqoyuqmi kan.,"Taytaymi rikch'akuq sonqoyuq, llapa masikunata rikhuy."
Ñawpaq runa,Noun phrase with attributive modifier,An experienced or wise elder,Wise person,B2,"Literature, family, community leadership","Respectful, formal",Rooted in Andean respect for elders,ˈɲaw.paq ˈru.na,Ñawpaq runa rimayta uyarispa yachayta tarinki.,Suma yachaq ñawpaq runa ayllupi kallpawan kaqmi.,Ñawpaq runa willakuykunaqa chay runakunata yanapanku.
Maki lluqsisqa,Passive construction with participle,Someone excluded or abandoned,Excluded person,C1,"Politics, literature, community disputes","Serious, sometimes ironic",Historical use in describing marginalized groups,ˈma.ki ʎʊq.sis.qa,Asamblea chay warmita maki lluqsisqawan wisch'arqusqa.,Llaqtaqa maki lluqsisqakunataqa mana qhawanichkanchu.,Chay hamuq punchawpi maki lluqsisqa runakuna rimayta ruranku.
Wakcha kasqa,Nominal phrase with participle,A person without support or means,Poor person,A2,"Daily speech, community aid","Sympathetic, colloquial",Deeply connected to social realities in Quechua communities,ˈwak.t͡ʃa ˈkas.qa,Wakcha kasqaqa ayllupi llapa runakunamanta yanapawanmi kachkan.,"Manaraq ima llamkayta tarisqa, wakcha kasqam kachkan.",Warmiyqa wakcha kasqaman yanapasqa chayqa aswan kusisqa.
Kawsaylla rikhuy,Imperative form with nominal object,Value life’s simple moments,Enjoy simple life,B2,"Family, literature, philosophy","Poetic, reflective",Draws from Andean philosophy of balance and harmony,ˈkaw.saj.ʎa ˈri.kʰʊj,"Kawsaylla rikhuy, manaraq ima muchuykunata ruwaychu.",Ñawpaq runakunaqa kawsaylla rikhuyta yachachikuq.,Wasi ukupiqa kusisqa rimaywanmi: kawsaylla rikhuy.
Pachamamawan takiy,Verb phrase with comitative suffix -wan,Sing in harmony with nature,Respect nature,B1,"Rituals, literature, ecological speech","Poetic, spiritual",Rooted in Andean cosmology of Pachamama,ˌpa.t͡ʃaˈma.ma.waŋ ˈta.kij,Chay takiyqa pachamamawan takiypi kusisqa rimayta kachkan.,Ñuqaqa pachamamawan takispay sonqoywanmi kusisqa kachkani.,Wayraqa pachamamawan takiypi purichkan.
Allin kawsayta munay,Verb phrase with infinitive complement,To desire a good and harmonious life,Wish for a good life,A2,"Family, community, moral teaching","Colloquial, reflective",Part of Quechua philosophy of ‘sumak kawsay’,ˈal.jin ˈkaw.saj.ta ˈmu.naj,Ñuqanchik allin kawsayta munasunchik llapa runakunapaq.,Allin kawsayta munaymi llaqtaypa ruwasqanpi tarikun.,Yachachiq warmiqa wawanman allin kawsayta munayta rimarqusqa.
Sonqonpi takiy,Verb phrase with locative suffix -pi,Express feelings sincerely,Speak from the heart,B1,"Family, friendship, literature","Colloquial, poetic",Linked to Quechua poetic traditions,ˈsʊŋ.qon.pi ˈta.kij,Rimaykuna sonqonpi takiywanmi aswan chaylla kachkan.,Warmikuna sonqonpi takiyta ruwanku rimaykuykunapi.,Ñuqaqa sonqonpi takiypi ñawpaq kawsayta yuyarini.
Qhipa punchawta qhawaita,Verb phrase with object suffix -ta,To hope for a better future,Look forward to tomorrow,B1,"Family, politics, education","Reflective, hopeful",Rooted in Andean cyclical view of time,ˈqi.pa ˈpun.t͡ʃaw.ta ˈqʰa.waj.ta,Wawakuna qhipa punchawta qhawaita ima muchuykuna manan kaychu.,Aylluqa qhipa punchawta qhawaitawanmi llank'achkan.,Kay aswan alli pachapiqa runakuna qhipa punchawta qhawaita.
Amaru hina rimay,Simile structure with hina,Speak with deceit or trickery,Speak deceitfully,C2,"Politics, sarcasm, literature","Ironic, sarcastic, critical",Amaru (mythical serpent) symbolizes cunning in Andean mythology,ˈa.ma.ɾu ˈhi.na ˈri.maj,Polítikukunaqa amaru hina rimaywanmi llapa runakunata willanku.,Chayqa amaru hina rimayta rimakuqmi llapa masikunawan lluk'sisqa.,Wasi rimaykunaqa amaru hina rimaywanmi chinkasqa.
