Idiom (Ayacucho Quechua),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ayacucho Quechua)",First Example Sentence,Second Example Sentence,Third Example Sentence
Sumaqlla rimayta saqiy,Imperative clause with verb-object structure,Leave the conversation on a positive note,End the discussion with kind words,B2,"daily speech, workplace","colloquial, polite","Common farewell expression, valued in Andean conflict-avoidance norms",[ˈsu.maʎ.ʎa ɾiˈmaj.ta ˈsa.qiʎ],"Ñuqaqa mana allin ñawpaqman purirqani, ichaqa sumaqlla rimayta saqiy.","Tukuyta willarqani, chaymantaqa sumaqlla rimayta saqiy.","Llapa riqsichiqkunata qawanakusun, sumaqlla rimayta saqiy."
Qiru chakiwan puriy,Verb phrase with instrumental case,"Walk without direction or plan, aimlessly",Wander around without purpose,C1,"daily speech, youth slang","colloquial, ironic","Describes unproductive roaming, rooted in rural lifestyle metaphors",[ˈqi.ɾu ˈtʃa.ki.wan ˈpu.ɾij],Waynuchaqa qiru chakiwan puriyta qallariy.,"Mana ima rurayuqmi, qiru chakiwan purinqa.","Ñañaykiqa siminchayta yachanmanchu, qiru chakiwan puriyta ruwanmi."
Saqisun ñawiykita,Verb + possessive object suffix,Forget someone’s opinion or warning deliberately,Ignore someone's advice or viewpoint,C2,"family, sarcasm, storytelling","sarcastic, informal",Common in family disputes and advice-giving dynamics,[sa.qiˈsun ˈɲa.wi.jki.ta],"Qamta rimaniña, ichaqa saqisun ñawiykita.","Wawakunaqa mana uyarinqachu, saqisun ñawiykita.","Ñañaykita rimayta ruwayta munani, saqisun ñawiykita."
Rumiwan kanka,Noun + comitative case + noun,Be extremely stubborn or emotionally cold,Act unfeeling or rigid,C1,"literature, sarcasm, politics","poetic, sarcastic",Stone symbolizes hardness; reflects Andean earth metaphors,[ˈɾu.miw.an ˈkan.ka],"Qamqa rumiwan kanka, mana waqachkankichu.","Runaqa qawaqta munanchu, rumiwan kankam.","Warmikuna rumiwan kanka sayachkanña, ama hamuqchu."
Q’illu millaylla rimay,Noun + adjective + verb phrase,Speak deceitfully or with bad intentions,Speak with malice or lies,C2,"politics, literature, gossip","formal, literary","Q’illu (yellow) associated with sickness, moral decay",[ˈqʼi.ʎu miˈʎaj.ʎa ɾiˈmaj],Wakin llaqtayuq runakuna q’illu millaylla rimanku.,"Ama q’illu millaylla rimaychu, sunquyta wañuchin.","Qam q’illu millaylla rimayta kasukuchkan, uyarikuq mana allinlla."
Wiksayuq ñawi,Noun phrase with attributive suffix,A glutton or someone overly indulgent,A person who eats too much or is greedy,B1,"daily speech, humor, family","colloquial, humorous",‘Wiksayuq’ (big-bellied) often used in teasing or jest,[ˈwik.sa.juq ˈɲa.wi],Ñuqaqa wiksayuq ñawim kani chay mikhuykuna hina.,"Wayna chayta mikuptinqa, wiksayuq ñawi hina rikurqan.",Wiksayuq ñawi rikhurqanmi chay puchkayninkunata qawayku.
Kuti kawsayta tiyay,Verb phrase with repeated aspectual noun,Return to one's usual way of life after difficulty,Resume normal life again,B2,"daily speech, recovery, family","neutral, reassuring",Often used post-disease or after personal hardship,[ˈku.ti ˈkaw.saj.ta ˈti.jaj],"Qarqoykuchkanchu, ichaqa kuti kawsayta tiyayniña.","Ñuqapa yawarninkunam chinkarqan, chaymantaqa kuti kawsayta tiyayta qallariy.",Kuti kawsayta tiyaymi allin sunquwan puriyta riqsichin.
Ñawi q’inray,Noun phrase with descriptive noun,Give a fierce or judgmental look,Glare at someone disapprovingly,B2,"daily speech, family, humor","colloquial, ironic",Used among elders or mothers to silently reprimand,[ˈɲa.wi ˈqʼin.ɾaj],"Mamaqa ñawi q’inrayta churarqan, mana chayta rimayta munaylla.","Qamqa ñawi q’inraywanmi riqsichkan, amayta kuchuy.",Ñawi q’inray churayta yachaniqa taytanchikta.
Ñañayta michiy,Object + verb phrase,Manipulate or deceive a sibling or peer,Trick or use someone for your gain,C1,"family, gossip, youth speech","colloquial, ironic",Common in sibling dynamics or youth language,[ˈɲa.ɲaj.ta ˈmi.tʃij],Qampa wawaykichik ñañayta michiyta yachanqam.,"Ñuqaqa manam ñañayta michiqchu, rimaykim allin.",Ñañayta michiyta rurasaqchik chay llullaq runakunam.
Sunqunpi wañuy,Locative possessive + intransitive verb,Feel emotionally devastated,Be emotionally crushed,C2,"literature, sorrow, personal grief","poetic, formal",Strong emotional metaphors are typical in Quechua orature and mourning,[ˈsuŋ.qun.pi ˈwa.ɲuj],"Chay willayta uyariptinqa, sunqunpi wañurqani.","Sunqunpi wañuyta yachani, mana rimaykuna chinkarqan.",Warmikunam sunqunpi wañuyta taripunku chay p’unchawpi.
