Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Australian Kriol)",First Example Sentence,Second Example Sentence,Third Example Sentence
bambai yu garram bel,Fixed clause with modal verb structure,You might regret it later or suffer consequences,You will regret it later,B1,"daily speech, warnings, family","colloquial, cautionary","Widely used in Top End communities, 'bambai' reflects temporal delay; rooted in warning elders give",ˈbambaɪ ju ˈɡarəm bɛl,"Nomo du dat, bambai yu garram bel!",Bambai yu garram bel la det ting yu bin du.,Im bin warn im bratha – 'Bambai yu garram bel'.
yu la langa bush,Prepositional phrase with existential implication,You’re disconnected or not understanding what's going on,You're out of touch,B2,"daily speech, humor, sarcasm","colloquial, ironic",References remoteness of bush vs town; implies naivety or disconnection,ju la ˈlaŋa bʊʃ,Yu la langa bush or wah? Det mob ola sabi det ting.,Im la langa bush la diswan.,"Nomo worry 'im, 'im la langa bush still."
garram gurr,Verb phrase (causative reflexive),To get angry or aggressive quickly,Lose your temper,B2,"family, daily speech, workplace","colloquial, intense","From Kriol 'gurr' = anger/fury, common in Top End and Kimberley",ˈgarəm ɡʊr,Im bin garram gurr quicktaim!,Nomore garram gurr! Im nomo bigwan problem.,Sometime yu garram gurr la stupid liklik ting.
ai nomo bin kemp,Negative perfective verb phrase,I didn’t understand or I missed it,I didn't get it,A2,"education, family, humor",colloquial,"Kriol use of 'kemp' from 'camp', metaphor for mental presence",aɪ ˈnɔmo bɪn ˈkɛmp,Ai nomo bin kemp la dat stori.,Yu bin kemp? Ai nomo bin kemp nomo.,"Im smalwan, ai nomo bin kemp la wa im tok."
im bin jamwan,Adjectival phrase,He/she was showing off or being dramatic,They were acting out or exaggerating,C1,"sarcasm, literature, family","colloquial, ironic, dramatic",From theatrical 'jam' or dramatic display,im bɪn ˈdʒamwan,Im bin jamwan bigtaim fronta mob.,Yu jamwan nomo – nomo real dat.,"O, im jamwan la det stori."
mek det grog tok,Causative imperative phrase,To speak nonsense due to alcohol,Drunken talk,C1,"humor, social situations, health","colloquial, humorous, critical",Social commentary on drinking culture in communities,mɛk dɛt ɡrɔɡ tɔk,Im jus mek det grog tok again.,"Nomore lisen, im bin mek det grog tok.","Ai sabi wen im start mek det grog tok, is time fo go."
dembala la det mob,Existential locative clause,They’re part of that group or crowd,They belong to that group,B1,"politics, community, daily speech","colloquial, neutral",‘Mob’ signifies social grouping in Kriol culture,dɛmbala la dɛt mɔb,Dembala la det mob ya – nomo frangguwan.,Yu la det mob o yu la narawan?,Ai bin sabi dembala la det mob wen ai luk dem.
nomore karrayim baggij,Negative imperative verb phrase,Stop holding onto past grievances,Let go of your emotional baggage,C2,"mental health, literature, family","poetic, formal, counseling",‘Baggij’ used metaphorically; modern cultural influence,nɔˈmɔre ˈkaraɪəm ˈbaɡɪdʒ,"Nomore karrayim baggij, bubala.",Dem yestade nomo help – nomore karrayim baggij.,"Yu bin garram lotta pain, but nomore karrayim baggij now."
im bin meigim la nart,Causative verb phrase,He/she deliberately caused trouble,They stirred up trouble,B2,"community, conflict, family","colloquial, accusatory",Common Top End idiom for social friction,im bɪn ˈmeɪɡɪm la naːt,Im bin meigim la nart – allabat true.,Det owelady bin meigim la nart nomo.,Nomo franggabat – im bin meigim la nart bakagen.
Yu nomo la klia,Negative locative clause,You are mentally or emotionally confused,You're not thinking straight,B2,"daily speech, humor, concern","colloquial, humorous, serious","‘Klia’ from ‘clear’, shows blend of English and Kriol expression",ju ˈnɔmo la ˈkliə,Yu nomo la klia dismobning.,Yu bin dring? Yu nomo la klia.,Ai sabi yu nomo la klia wen yu bin tok det.
