Idiom (Scots),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–A2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Scots)",First Example Sentence,Second Example Sentence,Third Example Sentence,CEFR Level (A1–B1),CEFR Level (A2–B1),CEFR Level (B1–B2),CEFR Level (B1),CEFR Level (B2–C1),CEFR Level (A2),CEFR Level (B2)
Hud yer wheesht,Imperative clause,Be quiet; stop talking,Be silent,A2,"Daily speech, family, humor","Colloquial, friendly",Common across Lowland Scots; used humorously or affectionately,/hʌd jɪr ʍiʃt/,"Hud yer wheesht, the bairn's sleepin!",He telt me tae hud ma wheesht afore the boss cam in.,Ye’d best hud yer wheesht if ye ken fit’s guid for ye.,,,,,,,
Lang may yer lum reek,Fixed wish clause,May you prosper and live long,I wish you a long and happy life,,"Greetings, celebration, toasts","Traditional, poetic, formal",Common New Year toast; refers to smoke from the hearth chimney symbolizing life,/laŋ me jɪr lʌm rik/,"Lang may yer lum reek, freen, an yer table aye be fu.","They raised a dram an said, 'Lang may yer lum reek!'",A kindly wish at Hogmanay: 'Lang may yer lum reek.',B1,,,,,,
Awa wi the fairies,Prepositional phrase with figurative noun,Daydreaming or being out of touch with reality,Not paying attention,,"Humor, teasing, workplace","Colloquial, humorous",Rooted in Celtic folklore of people being 'taken by fairies'; modern light teasing,/əˈwa wi ðə ˈfɛriz/,"Ye were awa wi the fairies again at the meetin, Tam!","She jist sat starin oot the windae, awa wi the fairies.","Ah dinna ken fit he wis thinkin – awa wi the fairies, that een.",,B1,,,,,
Mony a mickle maks a muckle,Proverbial clause,Small savings or efforts add up to something big,Every little helps,,"Finance, proverbs, wisdom","Proverbial, instructive",Traditional Scots proverb used across centuries; recorded in 18th-century texts,/ˈmʌni ə ˈmɪkəl maks ə ˈmʌkəl/,"Keep savin, lad – mony a mickle maks a muckle.",She kens fine that mony a mickle maks a muckle in the lang rin.,"Mony a mickle maks a muckle, as ma gran aye said.",,,B2,,,,
Yer heid’s full o mince,Metaphorical predicative clause,You're talking nonsense or confused,You're being silly or illogical,,"Humor, family, friends","Colloquial, mocking, humorous",Contemporary Scots slang; compares muddled thoughts to a messy dish,/jɪr hidz fʊl ə mɪns/,"Och, yer heid’s full o mince the nicht!",She’s fair aff her rocker – her heid’s fu o mince.,"If ye think that’ll wark, yer heid’s fu o mince, man.",,,,B1,,,
Tak the high road,Imperative with definite noun phrase,Choose the moral or dignified course of action,Do the right thing,,"Moral advice, leadership, reflection","Formal, reflective, moralistic",Derived from the song 'The Bonnie Banks o’ Loch Lomond',/tak ðə hai rod/,"Even when he wis wrang’t, he aye took the high road.",She said she’d tak the high road an let it be.,"We’ll tak the high road, nae need for bitterness.",,,,,C1,,
Haud the bus,Imperative clause,Wait or stop for a moment,Hold on a second,,"Daily speech, humor, workplace","Colloquial, humorous",Modern expression from public transport; used figuratively for pausing,/hod ðə bʌs/,"Haud the bus, we’ve forgotten the tickets!","Haud the bus, ah’m nae ready yet.",Haud the bus – that cannae be richt!,,,,,,A2,
Better tae thole than greet,Comparative proverb,It's better to endure hardship than to complain,Patience is better than complaining,,"Life lessons, family, reflection","Proverbial, moralistic",Traditional Scots proverb; reflects stoic Scottish outlook,/ˈbɛtər tə θol ðan grit/,"Better tae thole than greet, as ma faither aye said.",She jist bit her tongue – better tae thole than greet.,He kent fine it wis better tae thole than greet.,,,,,,,B2
Dinna fash yersel,Imperative reflexive clause,Don’t worry about it,Relax or stay calm,,"Reassurance, family, friendship","Colloquial, comforting",Historic Scots from French 'se fâcher' meaning 'to get angry',/ˈdɪnə faʃ jərsɛl/,"Dinna fash yersel, it’ll a’ be fine.","He aye says, ‘dinna fash yersel’ when things get tricky.","Och, dinna fash yersel aboot that wee mistake.",,A2,,,,,
Cauld as a tattie,Simile with comparative adjective,Extremely cold (person or thing),Very cold,A1,"Daily speech, weather, humor","Colloquial, humorous",Common rural simile comparing temperature to a cold potato,/kʌld əz ə ˈtati/,Ma hauns are cauld as tatties the day!,"He cam in fae the cauld, cauld as a tattie.",The tea’s cauld as a tattie noo – ye’ve taen ower lang!,,,,,,,
