Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Slovak)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mať motýle v bruchu,"Reflexive verb phrase, impersonal subject (mať + noun phrase)","Feel nervous or excited, usually due to romantic or emotional tension",Cítiť sa nervózne alebo vzrušene,B1,"Daily speech, romance","Colloquial, poetic",Common in romantic contexts; metaphorical use of butterflies as nervous energy,ˈmat ˈmɔcɪlɛ v ˈbru.xu,"Keď som ju uvidel, mal som motýle v bruchu.",Motýle v bruchu som cítil pred každým rande.,Pred koncertom som mal motýle v bruchu.
Byť v siedmom nebi,Prepositional phrase with idiomatic spatial metaphor,Be extremely happy or euphoric,Byť veľmi šťastný,A2,"Everyday, joy, celebration","Colloquial, cheerful",Biblical and folk traditions of heaven as place of joy,bit f ˈsje̞dmɔm ˈnɛbi,Po skúške som bol v siedmom nebi.,"Narodeniny boli tak úžasné, bol som v siedmom nebi.",Výhra v súťaži ma dostala do siedmeho neba.
Ťahať niekoho za nos,Transitive verb phrase with accusative object,Deceive or trick someone playfully or dishonestly,Klamať niekoho,B2,"Humor, sarcasm, family","Colloquial, sarcastic",Slovak rural humor; reference to deceit,ˈcaɦac ˈɲɛkɔɦɔ za ˈnɔs,"Nehovor mu to, on ťa len ťahá za nos.","Zdalo sa, že mu veríš, ale on ťa len ťahal za nos.","Dlho som to nechápal, až som zistil, že ma ťahali za nos."
Mať hlavu v oblakoch,"Idiomatic verb phrase, metaphorical",Be distracted or daydreaming,Snívať alebo nebyť sústredený,A2,"School, work, casual","Colloquial, dreamy",Cross-cultural metaphor for being absent-minded,mat ˈɦlavu v ˈɔbla.kɔx,Na porade mal hlavu v oblakoch.,"Nevedel odpovedať, lebo mal hlavu v oblakoch.","Sníval s otvorenými očami, úplne s hlavou v oblakoch."
Zabiť dve muchy jednou ranou,Infinitive clause with coordinated object phrase,Accomplish two tasks with one effort,Urobiť dve veci naraz,B1,"Planning, strategy, work","Neutral, strategic",Widespread Slavic metaphor for efficiency,ˈzabit ˈdvɛ ˈmuxi ˈjɛdnɔu̯ ˈranɔu̯,Dnes sme zabili dve muchy jednou ranou.,Urobili sme prezentáciu a zároveň vybavili povolenie – dve muchy jednou ranou.,Kúpili sme darček a vybavili veci – dve muchy jednou ranou.
"Nie je všetko zlato, čo sa blyští",Complex clause with contrastive construction,Appear valuable but actually not be,"Nie všetko, čo dobre vyzerá, je aj dobré",B2,"Advice, morals, literature","Proverbial, neutral",Traditional proverb known across Europe,ˈɲiɛ ˈjɛ ˈfsɛtkɔ ˈzlatɔ ˈt͡ʃɔ sa ˈbliʃt̪i,"Nie je všetko zlato, čo sa blyští.","Ten produkt vyzeral dobre, ale nefungoval – nie je všetko zlato, čo sa blyští.","Učiteľ nás varoval: nie je všetko zlato, čo sa blyští."
Mať srdce na dlani,"Verb phrase with direct object, metaphorical noun",Be very kind and open-hearted,Byť úprimný a dobrosrdečný,B1,"Friendship, kindness, literature","Warm, literary",Moral archetype of Slovak hospitality,mat ˈsrd̪t̪sɛ na ˈd̪lani,"Ona má srdce na dlani, vždy pomôže.","Starý sused má srdce na dlani, dá ti, čo môže.",Jej srdce na dlani očarilo každého.
Dostať studenú sprchu,"Verbal passive construction, metaphorical event",Receive unexpected and unpleasant news or feedback,Zažiť niečo nepríjemné a nečakané,C1,"Workplace, critique, media","Formal, shocking",Media expression popularized in 2000s,ˈd̪ɔstat ˈstud̪ɛnu ˈsprxu,Po prezentácii sme dostali studenú sprchu.,Namiesto pochvaly prišla studená sprcha.,Kritika bola tvrdá – poriadna studená sprcha.
Chodiť ako päť peňazí,Simile construction with comparison marker,Walk clumsily or awkwardly,Krívať alebo sa pohybovať divne,C1,"Colloquial, rural speech","Colloquial, ironic",From archaic expressions for coins and posture,ˈxɔdit ˈakɔ ˈpɛtʲ ˈpɛɲazi,Po páde chodil ako päť peňazí.,Bol po operácii a chodil ako päť peňazí.,"Keď sa ponáhľal, chodil ako päť peňazí."
Vyliať si srdce,"Reflexive verb phrase, metaphorical",Share deep emotions or confessions,"Povedať všetko, čo má človek na srdci",B2,"Friendship, confession, emotional moments","Emotional, informal",Cultural emphasis on emotional honesty,ˈviʎat si ˈsrd̪t̪sɛ,Po rozchode si vyliala srdce najlepšej kamarátke.,Vyliala si srdce do denníka.,Po hádke si vyliala srdce partnerovi.
