Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Slovene)",First Example Sentence,Second Example Sentence,Third Example Sentence
Metati pesek v oči,Infinitive verb phrase with object; fixed expression,Namenoma zavajati ali prikrivati resnico,Zavajati ljudi,C1,"politika, mediji, vsakdanji govor","kolokvialno, ironično",Izvira iz dejanja preusmeritve pozornosti z metanjem peska v oči,[mɛˈtaːti ˈpɛːsɛk ʋ ɔˈtʃiː],"Politiki pogosto mečejo pesek v oči, da zakrijejo resnične namene.",Njegova razlaga je bila le metanje peska v oči – resnica je popolnoma drugačna.,"Ko ti nekdo preveč obljublja, pazi, da ti ne meče peska v oči."
Imeti polne roke dela,Infinitive verb phrase; reflexive construction with object,Biti zelo zaposlen,Biti zaposlen z veliko nalogami,B1,"služba, vsakdan",nevtralno,Uporablja se v različnih slovenskih pokrajinah,[iˈmɛːti ˈpoːlnɛ ˈrɔːkɛ ˈdɛːla],Ta teden imam polne roke dela in ne utegnem na kosilo.,Učiteljica ima polne roke dela z vsemi pripravami.,Imeli so polne roke dela z obnovo hiše.
Iti rakom žvižgat,Infinitive verb phrase; personification,Umreti ali propasti,Propasti ali umreti,C2,"humor, ironija, pogovorni jezik","humorno, pogovorno","Primorska regija, raki kot simboli dna, brez vrnitve",[ˈiːti ˈɾaːkɔm ˈʒʋiʒɡat],"Če ne bodo ukrepali, bo podjetje šlo rakom žvižgat.",Stari avto bo kmalu šel rakom žvižgat.,"Njegove sanje so šle rakom žvižgat, ko so mu zavrnili prošnjo."
Biti tiho kot miš,Similative simile with comparative clause,"Biti povsem tiho, brez glasu",Biti zelo tih,A2,"družina, šola, otroci","pogovorno, nevtralno",Značilna slovenska primerjava s tiho živaljo,[ˈbiːti ˈtiːxɔ kɔt ˈmiːʃ],"Ko je učitelj stopil v razred, so bili vsi tiho kot miši.",Na obisku je bil tiho kot miš.,"Otroci so bili tiho kot miši, ker so vedeli, da so nekaj ušpičili."
Narediti iz muhe slona,Infinitive verb phrase with idiomatic object,Prekomerno pretiravati,Preveč poudarjati manjši problem,B2,"vsakdan, družina, humor","pogovorno, humoristično","Srednjeevropski izraz, prisoten tudi v drugih jezikih",[naˈɾɛːditi iz ˈmuːxɛ ˈslɔna],"Ne naredi iz muhe slona, saj ni tako hudo.",Vedno iz vsake malenkosti naredi slona.,"Starši včasih naredijo iz muhe slona, ko gre za ocene."
Ugrizniti v kislo jabolko,Infinitive verb phrase with prepositional object,Soočiti se z neprijetno resnico ali težavo,Sprejeti neprijetno odločitev,C1,"služba, etika, osebne odločitve","literarno, reflektivno",Stara metafora z evropskimi koreninami,[uˈɡɾiːzniti ʋ ˈkiːslɔ ˈjaːbɔlkɔ],Končno je ugriznil v kislo jabolko in priznal napako.,Morala bo ugrizniti v kislo jabolko in povedati resnico.,Vsak vodja mora včasih ugrizniti v kislo jabolko.
Imeti maslo na glavi,Verb phrase with prepositional noun phrase,"Biti kriv za nekaj, imeti slabo vest",Biti odgovoren za prekršek,B2,"šola, vsakdan, sarkazem","kolokvialno, ironično",Iz vsakdanjega jezika – maslo simbolizira sledi krivde,[iˈmɛːti ˈmaːslɔ na ˈɡlaːʋi],"Nič ni rekel, ker ima tudi sam maslo na glavi.","Ne kritiziraj, če imaš maslo na glavi.",Vsi v razredu imajo malo masla na glavi.
Postaviti piko na i,Verb phrase with object and prepositional phrase,Uspešno zaključiti delo ali dodati zadnji pomembni detajl,Dovršiti nekaj do konca,B1,"posel, šola, uradni govor",nevtralno,Metafora iz pisnega izražanja,[pɔˈstaːʋiti ˈpiːkɔ na ˈiː],Ta prezentacija bo postavila piko na i našemu projektu.,Še en komentar in si postavil piko na i.,Z zadnjim detajlom so postavili piko na i.
Biti v španoviji,Prepositional phrase with copular verb,"Biti v sodelovanju, pogosto z negativno konotacijo",Sodelovati z nekom,C1,"posel, družba, politika","kolokvialno, negativno",Zgodovinska raba v kmečkih in obrtnih skupnostih,[ˈbiːti ʋ ʃpaˈnɔːʋiji],Nista bila samo sodelavca – bila sta v španoviji.,"Ne zaupam jima, ker sta očitno v španoviji.","Politiki so pogosto v španoviji, čeprav tega ne priznajo."
Imeti figo v žepu,Verb phrase with object and prepositional phrase,"Navzven kazati podporo, a skrivaj biti proti",Biti dvoličen,B2,"politika, družba, humor","kolokvialno, humoristično",Iz starih vraž in simbolike figove geste,[iˈmɛːti ˈfiːɡɔ ʋ ˈʒɛːpu],"Glasoval je za, a imel figo v žepu.",Ne verjemi mu – ima figo v žepu.,"Politik se smehlja, a ima figo v žepu."
