Idiom (Sumerian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Sumerian)",First Example Sentence,Second Example Sentence,Third Example Sentence
igi bar-ra du₁₁,fixed verbal clause; noun igi “eye/front” + participial/adverbial bar-ra “outside” + finite speech verb du₁₁ “to say”,to speak openly and plainly; to make something clear before others,eme-zu šu nu-ub-bal-e; inim-zu ge₁₇-e du₁₁-ga,B2,"council speech, dispute settlement, teaching, formal clarification","formal, direct, civic",Built from well-attested Sumerian imagery of the eye/front as public visibility and the verb du₁₁ for speech or legal declaration.,[iɡi baɾɾa duʔ],"ensi₂-e igi bar-ra du₁₁, lú-še₃ inim ge₁₇-e ĝen-na.",dub-sar-e šeš-a-ne-ne-ra igi bar-ra du₁₁.,"di ku₅-ru-na, inim-bi igi bar-ra du₁₁-ga-am₃."
ĝeštug₂ ḫulu dab₅,object–verb idiom; noun ĝeštug₂ “ear/wisdom” + adjective ḫulu “bad” + transitive verb dab₅ “to seize”,to misunderstand badly; to take advice in the wrong way,inim-bi nu-mu-un-zu; ĝeštug₂-bi nu-mu-un-gub,C1,"teaching, criticism, apprenticeship, family correction","colloquial-literary, admonishing","Uses the ear as a seat of hearing, obedience, and wisdom, a recurrent image in scribal and wisdom literature.",[ŋeʃtuɡ xulu dab],"ĝeštug₂ ḫulu dab₅-ba-ni, nam-dub-sar-ra mu-un-šub.","ama-ni inim gal du₁₁-ga, dumu-ne ĝeštug₂ ḫulu dab₅.","lú nu-zu-e ĝeštug₂ ḫulu dab₅, nam-lú-u₁₈-lu nu-mu-un-zu."
šu si im-mi-in-sa₂,"finite verbal phrase; body-part noun šu “hand” + adjective/adverb si “straight/right” + ventive-prefix verbal form of sa₂ “to equal, set right”",to set matters right; to act properly and restore order,a₂-bi sa₂-e; inim-bi ge₁₇-e gub-ba,B1,"workplace, temple administration, household management, moral advice","neutral, practical","Draws on the Sumerian value of right ordering, fairness, and correct ritual or administrative action.",[ʃu si immiʔin sa],gala-e e₂-gal-la šu si im-mi-in-sa₂.,dumu munus-e še gur₁₀-ra šu si im-mi-in-sa₂.,"lugal-e iri-na šu si im-mi-in-sa₂, kur-bi ba-an-da-sig₁₀."
ka tar-ra mu-un-gub,fixed nominal-verbal phrase; ka “mouth” + participial tar-ra “cut” + intransitive/locative verb gub “stand”,"to be silenced; to stop speaking because of fear, shame, or authority",eme nu-du₁₁; inim nu-ĝal₂,B2,"court, hierarchy, sarcasm, family disputes, political speech","dramatic, ironic",The mouth marks speech and social standing; “cut mouth” evokes loss of voice in public or official settings.,[ka tarra muunɡub],"sukkal-maḫ-e inim du₁₁-ga, lú še₃ ka tar-ra mu-un-gub.","diĝir-ra inim gal-la, inim-zu ka tar-ra mu-un-gub.","šeš-a-ne-ne ĝeštu₂-ga in-ne-ne, ka tar-ra mu-un-gub-bu-ne."
kur-ra ĝiri₃ gub,locative verbal idiom; kur-ra “in/on the foreign land or mountain” + ĝiri₃ “foot” + gub “stand”,to face danger or uncertainty away from familiar protection,ki nu-zu-a gub; a₂ tuku-a bar-ra ĝen,C1,"travel, military, exile, trade, heroic narrative","literary, solemn","Kur represents foreign lands, mountains, and hostile territory in Sumerian cosmology and historical writing.",[kurra ŋiriɡub],"dam-gar₃-e kur-ra ĝiri₃ gub, nig₂-sa₁₀-bi mu-un-ĝar.","erin₂-e kur-ra ĝiri₃ gub-ba, a₂ gal im-mi-in-ak.","lú tur-ra kur-ra ĝiri₃ gub, ama-ni inim-zu mu-un-ĝal₂."
ĝeš šu-a nu-ĝal₂,negative existential idiom; ĝeš “wood/tool” + locative šu-a “in the hand” + negated existential nu-ĝal₂,"to lack the means, tools, or authority to complete a task",nig₂-ak-a nu-ĝal₂; a₂ nu-tuku,B1,"work, administration, craft, agriculture, requests for resources","neutral, pragmatic",Reflects craft and labor culture where the hand and tool together represent ability and agency.,[ŋeʃ ʃua nuŋal],"ĝeš šu-a nu-ĝal₂, e₂-bi nu-mu-un-dù.","engar-ra ĝeš šu-a nu-ĝal₂, a-ša₃ nu-mu-un-sig₁₀.","dub-sar-ra dub nu-ĝal₂, ĝeš šu-a nu-ĝal₂-gen₇ ba-an-du₁₁."
inim kalam-ma šu ba-ti,passive/medio-passive clause; inim “word/matter” + genitive kalam-ma “of the land” + šu ba-ti “was received/taken in hand”,a public issue has been formally accepted for action or judgment,inim iri-na ba-an-tuku; di-bi ba-an-ak,C2,"administration, legal proceedings, civic affairs, royal inscriptions","formal, institutional","Evokes temple-palace bureaucracy, where taking something into the hand marks responsibility and official handling.",[inim kalamma ʃu bati],"inim kalam-ma šu ba-ti, di-ku₅-ne šag₄-bi im-mi-in-zu.",ensi₂-ra inim kalam-ma šu ba-ti-a mu-un-na-an-du₁₁.,"dub-ba inim kalam-ma šu ba-ti, u₄-bi mu-na-an-ĝar."
šag₄ tur mu-un-da-an-ĝal₂,emotive existential clause; šag₄ “heart/interior” + adjective tur “small” + comitative/ventive existential verbal form,"to feel anxious, timid, or inwardly diminished",ḫul₂ nu-tuku; ni₂-bi nu-teĝ₃,B2,"emotion, family talk, prayer, confession, uncertainty","intimate, poetic","The heart/interior is a major Sumerian locus of feeling, intention, and courage.",[ʃaɡ tur muundaʔanŋal],"u₄ diĝir gal-ra, šag₄ tur mu-un-da-an-ĝal₂.","dumu-ni kur-ra ba-ĝen, ama-a šag₄ tur mu-un-da-an-ĝal₂.","nig₂-gig-bi igi-na ba-an-tuku, šag₄ tur mu-un-da-an-ĝal₂."
nam-lú-u₁₈-lu šu la₂,object–verb idiom; abstract noun nam-lú-u₁₈-lu “humanity/human condition” + šu la₂ “to bind/hold by hand”,to act humanely; to hold fast to proper social responsibility,sag₉-ga ak; lú-ra zi sig₁₀-ge,C1,"ethics, leadership, community aid, teaching, lamentation","moral, elevated","Centers on nam-lú-u₁₈-lu, the Sumerian idea of human nature, social duty, and civilized conduct.",[namluʔulu ʃu la],lugal sag₉-ga-e nam-lú-u₁₈-lu šu la₂.,"geme₂ arad₂-ra ninda ba-an-šum₂, nam-lú-u₁₈-lu šu la₂-a-am₃.","iri ḫul-a-ne, lú sag₉-ga nam-lú-u₁₈-lu šu la₂."
a₂ im-ma-an-šub,finite verbal idiom; a₂ “arm/strength” + ventive finite form of šub “to fall/drop”,"to lose strength, momentum, or authority; to be worn down",a₂ nu-tuku; ni₂-bi ba-an-da-sig₁₀,B1,"work fatigue, politics, military defeat, emotional discouragement","colloquial-literary, sympathetic","The arm signifies power and capability; its falling suggests defeat, exhaustion, or reduced agency.",[a immaʔanʃub],"u₄-da a₂ im-ma-an-šub, engar-ra e₂-a ba-an-ku₄.","erin₂-ne kur-ra a₂ im-ma-an-šub, uru-še₃ ba-ĝen-ne.","dub-sar tur-e dub gal-am₃ mu-un-sar, ĝešgigir-gen₇ a₂ im-ma-an-šub."
