Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
¡Se fue al quinto infierno!,Fixed exclamatory clause with reflexive verb,"The person went far away, usually to an unknown or unreachable place",Se fue muy lejos,B2,"Daily speech, humor, storytelling","Colloquial, humorous, slightly dramatic",Rooted in rural Salvadoran expressions and Catholic notions of layered infernos,se ˈfwe al ˈkinto inˈfjerno,"¿Y Mario? ¡Se fue al quinto infierno, dicen!","Cuando supo que lo buscaban, se fue al quinto infierno para que no lo hallaran.",Ese bus va directo al quinto infierno con tanto desvío.
Estar en la mera tusa,Verb phrase with prepositional noun phrase,"To be going through a deep emotional or personal low, often after a breakup",Estar muy deprimido o destrozado,C1,"Daily speech, youth slang, relationships","Colloquial, emotional, urban","Derived from the rural imagery of the corn husk (tusa), seen as leftover or worthless",esˈtaɾ en la ˈmeɾa ˈtusa,"Desde que lo dejó la Susy, el Chele está en la mera tusa.","No lo molestés, está en la mera tusa y no quiere saber de nadie.","Cuando le quitaron la beca, se quedó en la mera tusa."
Comerse la guayaba,Reflexive verb phrase in infinitive form,"To die, particularly in a passive or poetic sense",Fallecer,C2,"Literary, poetic, euphemism, rural speech","Poetic, euphemistic, literary","Guayaba trees were once planted near cemeteries, symbolizing death",koˈmeɾse la ɣwaˈʝaβa,El abuelo ya se comió la guayaba.,Dicen que el bandido se comió la guayaba en el monte.,"Cuando se comió la guayaba, dejó todo en orden."
Echarse un taco de ojo,Reflexive verb phrase with object idiom,To admire someone’s physical appearance visually,Mirar a alguien con deseo o admiración,B2,"Daily speech, humor, flirtation","Colloquial, humorous","Shared with Mexico, but widely adopted in El Salvador in urban youth speech",eˈʧaɾse un ˈtako ðe ˈoxo,Pasó la modelo y todos se echaron su taco de ojo.,Andá al desfile si querés echarte un taco de ojo.,"No hizo nada malo, solo se echó un taco de ojo."
Sacar las uñas,Verb phrase in infinitive form,To reveal one's true intentions or aggressive nature,Mostrar el verdadero carácter,C1,"Workplace, politics, family, drama","Neutral, strategic, slightly dramatic",Derived from feline imagery of sudden defense or aggression,saˈkaɾ las ˈuɲas,La nueva jefa ya sacó las uñas.,"Creímos que era tranquila, pero sacó las uñas en la reunión.","Cuando le tocaron su idea, sacó las uñas sin pensarlo."
Ser más listo que el hambre,Comparative phrase with adjective and noun,To be extremely clever or sly,Ser muy astuto,B2,"Daily speech, family, sarcasm","Colloquial, ironic, humorous",Used in popular Salvadoran proverbs to describe clever survival tactics,seɾ mas ˈlisto ke el ˈambɾe,"Ese niño es más listo que el hambre, ya se escapó otra vez.","No lo vas a engañar, es más listo que el hambre.","Para vender, ella es más lista que el hambre."
Poner los frijoles en la mesa,Transitive verb phrase with object,"To provide the essentials, particularly food or basic needs",Proveer lo necesario,B1,"Family, economic struggle, daily life","Colloquial, respectful",Frijoles are a staple of Salvadoran diets; the idiom honors basic survival,poˈneɾ los fɾiˈxoles en la ˈmesa,"Con ese trabajo, apenas pongo los frijoles en la mesa.","Lo que importa es poner los frijoles en la mesa, no el lujo.","Mamá siempre puso los frijoles en la mesa, aunque fuera sola."
Llover sobre mojado,Infinitive clause,To face additional misfortune on top of existing problems,Empeorar una situación ya mala,C1,"Literary, political discourse, family drama","Literary, formal, ironic",Common across Latin America but also entrenched in Salvadoran poetic traditions,ʝoˈβeɾ ˈsoβɾe moˈxaðo,"Después de perder el trabajo, le robaron el carro. Llovió sobre mojado.",Ya tenían deudas y ahora les subieron el alquiler. Llueve sobre mojado.,"Para colmo, llovió sobre mojado con ese diagnóstico."
Estar en la cuerda floja,Verb phrase with prepositional idiom,To be in a risky or unstable situation,Estar en peligro o incertidumbre,B2,"Politics, workplace, family tension","Formal, dramatic, colloquial",Drawn from circus imagery of tightrope walking,esˈtaɾ en la ˈkweɾða ˈfloxa,"Desde que lo acusaron, está en la cuerda floja.",El ministro está en la cuerda floja tras ese escándalo.,Tu relación está en la cuerda floja si siguen así.
Agarrar de choto a alguien,Transitive verb phrase with fixed object and person,To repeatedly mock or tease someone,Burlarse frecuentemente de alguien,B2,"Youth slang, family, friendships, workplace","Vulgar, colloquial, humorous","‘Choto’ in Salvadoran slang means cheap, silly, or clownish",aɣaˈraɾ ðe ˈʧoto a ˈalɣjen,Siempre me agarran de choto en la oficina.,Al Chele lo agarraron de choto todo el semestre.,"Ya no te dejés, te agarran de choto por buena gente."
