Idiom (Swedish),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Swedish)",First Example Sentence,Second Example Sentence,Third Example Sentence
Att gå som katten kring het gröt,"Fast uttryck, prepositionsfras med verb","Att undvika ett känsligt ämne, att inte gå rakt på sak",Att undvika att tala om något direkt,B2,"Dagligt tal, arbetsplats, familj","Vardaglig, bildlig","Folklig ursprung, hänvisar till försiktighet runt något hett eller känsligt",[at goː sɔm ˈkatːɛn krɪŋ heːt ˈɡrøːt],Han gick som katten kring het gröt när ämnet om skilsmässan kom upp.,"Hon vågade inte säga vad hon tyckte, utan gick som katten kring het gröt.",De gick som katten kring het gröt istället för att ta upp problemet direkt.
Att ha rent mjöl i påsen,"Fast uttryck, nominalfras",Att ha rena avsikter eller inget att dölja,Att vara ärlig och oskyldig,B1,"Dagligt tal, juridik, media","Vardaglig, moralisk",Gamla uttryck från när orent mjöl användes som metafor för fusk,[at hɑː reːnt jœːl iː ˈpoːsɛn],Om han har rent mjöl i påsen behöver han inte vara orolig.,Politikern försäkrade att han hade rent mjöl i påsen.,Vi måste kontrollera om företaget verkligen har rent mjöl i påsen.
Att slå två flugor i en smäll,"Fast uttryck, verbfras",Att uppnå två mål med en handling,Att lösa två problem på en gång,B2,"Dagligt tal, arbetsplats","Vardaglig, effektiv",Allmän metafor från jakt/huslig miljö,[at sloː tvoː ˈflʉːɡur iː ɛn smɛlː],Med den nya strategin slog vi två flugor i en smäll.,Hon passade på att handla och träffa en vän – två flugor i en smäll.,Projektet löste både tidsbristen och budgetproblemet – två flugor i en smäll.
Att kasta pärlor för svin,"Fast uttryck, infinitivfras",Att ge något värdefullt till någon som inte uppskattar det,Att slösa något fint på någon som inte förstår dess värde,C1,"Litteratur, filosofi, undervisning","Litterärt, kritiskt","Bibliskt ursprung, från Nya Testamentet",[at ˈkastɑ ˈpæːrlur føːr sviːn],Det kändes som att kasta pärlor för svin när ingen lyssnade på föreläsningen.,"Han gav henne dyra böcker, men det var att kasta pärlor för svin.",Hon insåg att hennes ansträngningar var som att kasta pärlor för svin.
Att ta bladet från munnen,"Fast uttryck, reflexivt verbalt idiom",Att börja tala öppet om något tidigare dolt,Att uttrycka sina åsikter öppet,C1,"Politik, media, arbetsplats","Formellt, allvarligt",Metafor från censur eller försiktighet vid tal,[at tɑː ˈblɑːdɛt frɔm ˈmɵnɛn],Till slut tog han bladet från munnen och sa vad han verkligen tyckte.,Hon tog bladet från munnen och kritiserade ledningen öppet.,Efter år av tystnad tog vittnet bladet från munnen.
Att dra alla över en kam,"Fast uttryck, verbfras",Att behandla alla på samma sätt utan att ta hänsyn till skillnader,Att generalisera om alla,B2,"Samhällsdebatt, media, relationer","Neutral, formell",Hänsyftar på att använda samma kam för olika hårtyper,[at drɑː ˈalːa ˈøːvɛr en kam],Man kan inte dra alla ungdomar över en kam.,Det är orättvist att dra alla invandrare över en kam.,Vi får inte dra alla politiker över en kam.
Att vara ute och cykla,"Fast uttryck, presens, idiomatisk verbfras",Att ha fel eller vara förvirrad i sitt resonemang,Att ha fel,B1,"Dagligt tal, humor","Colloquial, humoristisk",Metafor för att vara långt bort från rätt spår,[at ˈvɑːra ˈʉːtɛ ɔ ˈsʏkːla],Han är helt ute och cyklar om han tror det där.,Du är ute och cyklar – så fungerar det inte alls.,Läraren sa att halva klassen var ute och cyklade på provet.
Att få blodad tand,"Fast uttryck, passiv verbfras",Att få smak för något och vilja fortsätta,Att bli ivrig att göra något igen,B2,"Sport, arbetsplats, hobby","Bildlig, positiv",Metafor från rovdjursbeteende – aptit efter första bettet,[at foː ˈbluːdad tand],Efter sin första vinst fick hon blodad tand.,Han fick blodad tand och började träna ännu hårdare.,När jag skrev min första novell fick jag blodad tand för skrivandet.
Att ligga i lä,"Fast uttryck, prepositionsfras",Att inte kunna mäta sig med någon annan,Att bli överträffad,C1,"Tävling, arbetsplats, media","Bildlig, jämförande","Sjöterm: att vara skyddad från vinden, metaforiskt 'inte i ledningen'",[at ˈlɪɡa iː leː],Alla andra låg i lä när han presenterade sina idéer.,Hon får oss andra att ligga i lä med sin arbetsmoral.,Efter hans prestation låg konkurrenterna i lä.
Att göra en höna av en fjäder,"Fast uttryck, verbfras med objekt",Att överdriva något litet,Att förstora upp något oviktigt,B2,"Dagligt tal, familj, relationer","Colloquial, humoristisk",Folklig metafor från bondeliv – absurt att skapa något stort av något litet,[at ˈjøːra en ˈhøːna av en ˈfjæːdɛr],Varför göra en höna av en fjäder?,Han gjorde en höna av en fjäder när datorn krånglade lite.,Sluta göra en höna av en fjäder – det var bara en kommentar!
