Idiom (Talian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Talian)",First Example Sentence,Second Example Sentence,Third Example Sentence
Meter carne de caval in salame,Locuçion verbal fissa cun infinitivo,Ingagnar cualchedun mescolando robe o verità sensa dirlo diretamente,Ingagnar o nasconder la verità,B2,"Parlà quotidian, poletega, discussioni familiari","Coloquial, ironico",Espression ligada ala tradission contadina e ala diffidenza verso i prodotti falsificadi,/meˈteɾ kaɾne de kaˈval iŋ saˈlame/,El ga metesto carne de caval in salame quand'el ga contado la storia del afare.,No sta meter carne de caval in salame co te parli coi clienti.,La zente del paese la ga capì subito che jera carne de caval in salame.
Ver el mondo co i oci del gato,Frase verbale metaforica,Osservar la realtà con sospeto e astuzia,Essar prudente e atento,B1,"Consigli familiari, educassion, narrativa","Poetico, colloquial",Deriva dala figura del gato come animal furbo e vigilante,/veɾ el ˈmondo ko i ˈɔtʃi del ˈgato/,La nona la diseva sempre de ver el mondo co i oci del gato.,"Dopo tante fregadure, el vedeva tuto co i oci del gato.",Par lavorar in cità bisogna ver el mondo co i oci del gato.
Aver le man de formajo,Costruto cun verbo aver + sintagma nominale,Essar incapace de tegnir segreti o robe delicate,Essar maldestro o indiscreto,B2,"Famiglia, umorismo, amicissia","Umoristico, coloquial",Richiama el formajo molle che se desfà facilmente,/aˈveɾ le ˈman de foɾˈmadʒo/,"No ghe contar gnente a Toni, parchè lu el ga le man de formajo.",Co quei biceri fini mi go le man de formajo.,La mama la rideva disendo che gavemo tuti le man de formajo.
Tirar acqua al so mulin,Locuçion verbale transitiva,Favorir i propri interessi sensa pensar ai altri,Pensar solo al proprio vantajo,B1,"Poletega, afari, discussioni sociali","Coloquial, critico",Nasce dala vita rurale ligada ai mulini ad acqua,/tiˈɾaɾ ˈakwa al so muˈlin/,Ogni consilier el tira acqua al so mulin.,No me piaze la zente che tira sempre acqua al so mulin.,Anca nel sindicato i ghe tira acqua al so mulin.
Esser fora come un balcon,Comparassion idiomatica,Essar mato o comportarse in modo strano,Essar eccentrico o poco razionale,A2,"Umorismo, conversassion informale","Coloquial, sarcastico",Espression popolare condivisa con dialeti del nord Italia,/ˈeseɾ ˈfɔɾa ˈkome uŋ balˈkoŋ/,Quel musicista el xe fora come un balcon ma el sona benissimo.,"Se ti continui cusì, i dirà che ti xe fora come un balcon.",I putei rideva del vicino fora come un balcon.
Far vegnir i cavei bianchi,Locuçion causativa,Provocar grande preocupassion o stress,Far preocupar tantissimo,B1,"Famiglia, lavoro, relassioni",Coloquial,Riferimento simbolico al inveciar precoce per stress,/faɾ veˈɲiɾ i kaˈvei ˈbjaŋki/,I conti dela dita i me ga fato vegnir i cavei bianchi.,Quel fio el ghe fa vegnir i cavei bianchi ala mama.,La crisi la ga fato vegnir i cavei bianchi a tuti.
Dormir co le galine,Locuçion verbale temporale,Andar a dormir molto presto,Coricarse presto,A1,"Vita rurale, famiglia, quotidianità","Familiare, colloquial",Nasce dai ritmi agricoli tradissionali,/doɾˈmiɾ ko le gaˈline/,Dopo la vendemia tuti dormiva co le galine.,El nono el dorme sempre co le galine.,In campagna mi go imparà a dormir co le galine.
Aver el fogo soto la cenere,Metafora nominale cun verbo aver,"Nasconder passion, rabia o tension pronta a esploder",Nasconder emozioni intense,C1,"Letteratura, relassioni, poletega","Poetico, intenso",Immagine domestica del fogo mantenesto vivo soto la cenere,/aˈveɾ el ˈfɔgo ˈsoto la tʃeˈneɾe/,Drio al so silensio ghe jera el fogo soto la cenere.,La protesta la gaveva ancora el fogo soto la cenere.,"Anca se el soride, lu el ga el fogo soto la cenere."
Parlar ai muri,Locuçion verbale impersonale,Parlar sensa vegnir scoltà,Essar ignorà,A2,"Famiglia, scuola, lavoro","Coloquial, frustrà",Espression comune nelle comunità venete emigrade,/paɾˈlaɾ ai ˈmuɾi/,Co i putei distrati xe come parlar ai muri.,In reunion mi pareva de parlar ai muri.,La maestra la se stancava de parlar ai muri.
Menar el can per l'aia,Frase verbale figurativa,Far perder tempo sensa rivar al punto,Divagar o evitar el argomento,B2,"Afari, discussioni, giornalismo","Critico, colloquial",Immagine rurale del can trascinà inutilmente nel cortile,/meˈnaɾ el kaŋ peɾ ˈlaja/,El jornalista el menava el can per l'aia inveze de far domande serie.,No stemo menar el can per l'aia: decideimo subito.,La trattativa la ga continuà a menar el can per l'aia per mesi.
