Idiom (Tamazight),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tamazight)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ur iɛeḍ ara waman iɣ iden,"Fixed clause, negative form with verb 'ɛeḍ' (to return)",Used to describe someone who never learns from their mistakes or refuses to change their behavior.,He never learns from experience.,B2,"Daily speech, advice, moral discussions","Colloquial, reflective",Widespread in the Souss region; reflects the importance of wisdom in Tamazight oral tradition.,[ur iʕæð ɑrɑ wæmæn iʁ idɛn],"Ur iɛeḍ ara waman iɣ iden, yellan am win ur isus ara.","Ma t-iniḍ yakan, ur iɛeḍ ara waman iɣ iden.","Ad iɣen ur iɛeḍ ara waman iɣ iden, imi ur yettusawal ara."
Tifawin ur tettwasegri ara s tament,Negative fixed clause with metaphorical noun phrase,Happiness cannot be built on lies.,Deceit never leads to lasting happiness.,C1,"Moral reflection, family discussions, social advice","Moral, poetic",Common across central and southern Morocco; moral proverb often told by elders.,[tifæwin ur tættwæsɪɡri æræ s tæmænt],"Tifawin ur tettwasegri ara s tament, imi tidett iḥebb tafukt.","Yessawal babaɣ, 'Tifawin ur tettwasegri ara s tament.'","Iɣ iɣur ur ttwasegri ara s tament, ur yesɛa tafukt."
Abrid ur yettwazal ara s yiwen udrar,Negative clause with metaphorical subject,No path is made by one mountain alone; collaboration is essential.,One person cannot achieve everything alone.,B2,"Teamwork, community, workplace, education","Proverbial, inspirational",Refers to the mountainous Amazigh terrain symbolizing collective effort.,[æbrið ur jættwæzæl æræ s jiwen uðrɑr],"Abrid ur yettwazal ara s yiwen udrar, imi ur ttru ara iɣer.","Ur yeggi ara asirem, abrid ur yettwazal ara s yiwen udrar.",Tamurt ur tettwazal ara s yiwen udrar.
Awal iḥedran ur yettwaggim ara,"Fixed declarative clause, negative passive structure",Words of truth cannot be silenced.,Truth always prevails.,C1,"Politics, social justice, literature","Formal, moral, assertive",Ancient Amazigh saying emphasizing justice and truth in communal life.,[æwæl iħædræn ur jættwæɡɡɪm æræ],"Awal iḥedran ur yettwaggim ara, afus n tidett ad d-yaweḍ.",Iɣ iḥul awal iḥedran ur yettwaggim ara.,"Ur yefka ara awal iḥedran, ur yettwaggim ara."
Ur yezmir afus i yefka tafukt,Negative clause with anthropomorphic metaphor,Effort alone cannot replace fate or divine will.,"Sometimes, effort isn’t enough.",C1,"Philosophy, wisdom, humility, religion","Philosophical, poetic",Originates from ancient Amazigh agricultural worldview valuing destiny and labor.,[ur jæzmɪr æfus i jɛfkæ tæfukt],"Ur yezmir afus i yefka tafukt, imi wakud iɣuran.","Ad yessawal babaɣ, 'Ur yezmir afus i yefka tafukt.'","Ur yezmir afus i yefka tafukt, tidett d waman."
Amuddu ur ittwafaq ara s yiman-is,"Negative clause, reflexive structure",A journey without self-knowledge cannot succeed.,Success begins with understanding oneself.,C2,"Philosophical, educational, leadership training","Reflective, intellectual","Common in literary Tamazight, echoes moral lessons in folk tales.",[æmuddu ur ɪttwæfæq æræ s jɪmæn ɪs],"Amuddu ur ittwafaq ara s yiman-is, imi ur issin ara anfa.","Ur ttru ara, amuddu ur ittwafaq ara s yiman-is.","Ad yeggiɣ awal, amuddu ur ittwafaq ara s yiman-is."
Aẓru ur iɛer ara s tɣuri,Declarative clause with comparative metaphor,Wisdom is stronger than strength.,Intelligence is more powerful than physical force.,B2,"Education, family, moral teaching","Proverbial, respectful","Old proverb from the Middle Atlas, often used in teaching children.",[ɑʒru ur iʕær æræ s tɣuri],"Aẓru ur iɛer ara s tɣuri, imi awal iḥul.","Ma t-iniḍ, aẓru ur iɛer ara s tɣuri.","Ad d-iniɣ fell-ak, aẓru ur iɛer ara s tɣuri."
Ur yelli amek yella wayen iɣuran,"Negative fixed clause, subordinate construction",Things aren’t always as they seem.,Appearances can be deceiving.,B2,"Daily life, caution, wisdom","Colloquial, advisory",Amazigh folk expression emphasizing skepticism and wisdom.,[ur jɛlli ɑmæk jɛllæ wæjen iɣuræn],"Ur yelli amek yella wayen iɣuran, imi ur issin ara.","Ad d-iniɣ, ur yelli amek yella wayen iɣuran.","Yessawal mamaɣ, 'Ur yelli amek yella wayen iɣuran.'"
Ur tɛeddu tafukt ar yidurar,Negative declarative clause with metaphorical imagery,Hope never truly dies.,There is always hope.,A2,"Motivational, daily life, encouragement","Poetic, emotional",Metaphor from rural Tamazight poetry; the sun symbolizes hope.,[ur tʕæddu tæfukt ær jidurær],"Ur tɛeddu tafukt ar yidurar, imi ur yefka ara wakud.","Ma tɣeddiɣ, ur tɛeddu tafukt ar yidurar.","Tura iɣ, ur tɛeddu tafukt ar yidurar."
Ur yewwin aman s waggur,"Negative metaphorical construction, fixed clause",Impossible or futile effort.,You can’t achieve the impossible.,C2,"Sarcasm, advice, daily talk","Ironic, realistic","Proverb about futility, drawn from natural observation in desert life.",[ur jewwɪn æmæn s wɑɡɡur],"Ur yewwin aman s waggur, imi ur yeggi ara tafukt.","Yessawal umyaf, 'Ur yewwin aman s waggur.'","Ad d-iniɣ, ur yewwin aman s waggur."
