Idiom (Tajik),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tajik)",First Example Sentence,Second Example Sentence,Third Example Sentence
Об аз зери пояш ҷорӣ шуд,"Мафҳуми маҷозӣ, ибораи тасвирӣ бо феълҳои гузаранда ва ифодаи ҳолат",Фавран ва пурра аз даст додани қудрат ё назорат,Назоратро аз даст додан,C1,"сиёсат, зиндагии ҳаррӯза, матбуот","адабӣ, расмӣ",Симои об дар адабиёти классикии форсӣ-тоҷикӣ ҳамчун рамзи субот ва тартиб истифода мешуд,ob az zeˈri poˈjaš ʤoːˈri ʃud,"Вақте ки мардум шӯриш карданд, об аз зери пояш ҷорӣ шуд.","Бо фош шудани сирру асрор, об аз зери пои мансабдори баландпоя ҷорӣ шуд.","Пас аз ифшои ҳуҷҷатҳои махфӣ, об аз зери пои ҳукумат ҷорӣ шуд."
"Гӯсфандро кушта, гургро сер намекунанд","Ибораи маҷозӣ, ҷумлаи мӯҳтавои шартӣ бо замони ҳозира",Ҳамеша додани чизе ба шахси бад хоҳишҳояшро қонеъ намекунад,Бо бахшидан ба шахси зӯровар ӯ ором намешавад,B2,"маслиҳат, рӯзгор, тарбияи кӯдак","маслиҳатомез, халқӣ",Таъбири маъруфи мардумӣ аз муҳити деҳот ва зиндагии чорводорӣ,"gusˈfand ro kuʃˈta, gurg ro seːr nameːˈkunand","Бовар кун, гӯсфандро кушта, гургро сер намекунанд — ҳар қадар ки диҳӣ, боз мехоҳад.","Барои ӯ чӣ қадар меҳрубонӣ кунӣ, гург сер намешавад.","Нақша доштам, ки бо як тӯҳфа розияш кунам, вале гӯсфандро кушта, гургро сер намекунанд."
"Ба ғоз об, ба мурғ осиё","Мисраи муқоисавӣ, ибораи тасвирӣ бо сохтори дуҷузъӣ",Ҳар касро мувофиқи табиаташ чизе лозим аст,Ҳар кас ба эҳтиёҷ ва хусусияти худ ниёз дорад,B1,"зиндагии рӯзмарра, маслиҳат, кӯдакдорӣ","халқӣ, маслиҳатомез",Аз мақолҳои мардумӣ бо сарчашма аз зиндагии деҳқонӣ,"ba ɣoz ob, ba murɣ ɔsiːˈjo","Бачаи хурдсол бозича мехоҳад, на китоб — ба ғоз об, ба мурғ осиё.","Ҳар кас хоҳиши хос дорад — ба ғоз об, ба мурғ осиё.","Модар гуфт: 'Ба ҳар як фарзанд чизе мувофиқаш лозим — ба ғоз об, ба мурғ осиё.'"
"Аз хирс шона, аз душман хирад нест","Ибораи муқоисавӣ бо мазмуни манфӣ, ду ҷумлаи зоҳиран мустақил",Аз шахси хатарнок ё бад ниятӣ ҷустан беҳуда аст,Аз шахси душманонаро чизе хуб интизор нашав,C1,"сиёсат, муносибатҳо, ҳушдордиҳӣ","адабӣ, ҳушдордиҳанда",Таъбири маъмули фарҳанги мардумӣ аз муҳити кӯҳӣ,"az xirs ʃoːna, az duʃˈman xiːˈrat neːst","Мефаҳмӣ, ки аз хирс шона, аз душман хирад нест.","Ҳар касро дӯст қабул накун — аз хирс шона, аз душман хирад нест.",Ба суханҳои ӯ бовар накун — аз душман хирад намеояд.
"Гап гӯй, лекин намакашро бисанҷ",Ҷумлаи амрӣ бо модификатори шартӣ,"Ҳар гапро набояд бовар кард, бояд амиқ фикр кард",Бе санҷиш ҳар суханро қабул накун,B2,"маслиҳат, рӯзгор, тарбият","халқӣ, ҳушмандона",Бозгӯи нақши таом ва насиҳат дар фарҳанги хонаводагӣ,"ɡap ɡuːj, leːkin namaˈkaʃ ro biˈsandʒ","Гап гӯй, лекин намакшро бисанҷ — ҳама гап дуруст нест.","Падарам ҳамеша мегуфт: 'Намакро санҷ, баъд гапро бовар кун.'","Ҳарфҳои дӯстон ширинанд, вале намакашро бояд санҷид."
Дили пурхун доштан,Ибораи исмӣ бо сохтори феълӣ - доштан,Хеле ғамгин будан ва алам кашидан,Ғамгин будан,B1,"адабиёт, сӯҳбатҳои шахсӣ, сӯг","адабӣ, эҳсосотӣ",Инъикоси тарзи ифодаи эҳсос дар шеъри тоҷикӣ,diˈli purˈxun doʃˈtan,Аз марги модараш дили пурхун дошт.,"Ман дили пурхун дорам, чунки дӯсти азизам маро тарк кард.",Бо дили пурхун ба сӯи хона баргашт.
"Ба девона санг мепартоӣ, оқил меранҷад",Ҷумлаи мураккаб бо ибораи муқоисавӣ ва шартӣ,Амали беандеша метавонад каси бегуноҳро озор диҳад,Аз беандешагӣ одамони хуб осеб мебинанд,C2,"ахлоқ, муошират, таълим","пандомез, ахлоқӣ",Як мақоли маъруф дар фарҳанги ахлоқии мардум,"ba devoːˈna sang meparˈtoj, ɒːˈqil meˈrandʒad","Ба девона санг мепартоӣ, оқил меранҷад — эҳтиёт кун.",Бо каломи берабт каси дигарро ранҷонидан магар оқилона аст?,Дар гуфтору рафтор эҳтиёт бояд кард — оқил меранҷад.
Аз ду моҳӣ як кафшулло,Ибораи тамсилӣ бо муқоисаи рамзӣ,Чизе кам ва нокифоя гирифтан аз ду сарчашма,Аз ду ҷо чизе ночиз гирифтан,B2,"шӯхӣ, ҳаёт, муомила","масхараомез, шӯхона",Аз шеваи шӯхиомези муоширати мардумӣ гирифта шудааст,az duː moːˈhi jak kafʃulˈlo,Ин ду раҳбари лоиҳа — аз ду моҳӣ як кафшулло.,Худо нигаҳ дорад — аз ду шеф чизе нагирифтем!,Ҳамкориҳо бе самара буданд — як кафшулло ҳам нашуд.
Забон устухон надорад,"Ибораи исмӣ бо маънии маҷозӣ, ҷумлаи изофӣ","Одамон метавонанд ҳар чизе, ҳатто беандешаро, бигӯянд",Ҳар кас метавонад ҳар чизе гӯяд,A2,"рӯзгор, сӯҳбатҳои шахсӣ, маслиҳат","халқӣ, маслиҳатомез",Мақоли халқӣ барои таъкиди эҳтиёт дар гуфтор,zaˈbon ustuˈxon nadoˈrad,Забон устухон надорад — ҳарфашро зиёд гӯфт.,"Модар гуфт: 'Эҳтиёт кун, забон устухон надорад.'",Дар гуфтор набояд шитоб кард — забон устухон надорад.
Пушти харро шона задан,"Ибораи феълӣ бо маънии масхараомез, сохтори гузаранда",Бекор ё беҳуда меҳнат кардан барои чизе ки арзиш надорад,Заҳмати беҳуда кашидан,C1,"шӯхӣ, танқид, ҳаёти ҳаррӯза","масхараомез, танқидӣ",Аз муҳити деҳот ва ҳаёти рӯзмарраи мардуми коргар гирифта шудааст,puʃˈti xar ro ʃoːˈna zadaˈn,Бо ӯ баҳс кардан — пушти харро шона задан аст.,"Мехоҳӣ вай фаҳмад, вале ин пушти харро шона задан аст.","Дар он маҷлис сухан гуфтам, вале пушти харро шона задам."
