Idiom (Tsonga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tsonga)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ku wela ka tihomu ehenhla ka ndlopfu,Fixed clause; verb phrase with locative preposition,To face a great challenge or opponent far stronger than oneself,To confront a difficult situation,C1,"Wisdom, life challenges, politics, storytelling","Proverbial, poetic",Originates from Tsonga folktales symbolizing courage against overwhelming odds,/ku ˈβɛla ka tiˈhomu ɛˈhɛnɬa ka nˈɮɔpfu/,Ndzi titwa onge ndzi wela ka tihomu ehenhla ka ndlopfu loko ndzi langutana ni ntirho lowu.,"A nga ha swi koti, hikuva ku wela ka tihomu ehenhla ka ndlopfu swa tika swinene.","Loko u lwa na vusweti, i ku wela ka tihomu ehenhla ka ndlopfu."
"Ku lova hi ndlala, u ri ni tihomu",Clause with ironic contrastive structure,To suffer despite having resources or opportunities,To mismanage resources,B2,"Economics, sarcasm, everyday speech","Ironic, humorous",Rooted in Tsonga rural life where cattle symbolize wealth,/ku ˈɮɔva hi nˈɮaɭa u ri ni tiˈhomu/,"U lova hi ndlala, u ri ni tihomu, hikuva u nga se tihlayisa.","Ku fana ni ku lova hi ndlala, u ri ni tihomu ehandle ka muti.","Ndzi n'wi byele leswaku ku lova hi ndlala, u ri ni tihomu, i vubihi bya ku nga anakanyi."
Ku tlhontlha nyoka hi voko,Verb phrase; transitive with instrumental marker,To provoke danger recklessly,To take unnecessary risks,B2,"Warning, workplace, family advice","Colloquial, cautionary",Based on Tsonga bush symbolism where snakes represent danger,/ku ˈtɬʰontɬʰa ˈɲɔka hi ˈvɔkɔ/,U nga tlhontlhisi nyoka hi voko loko u nga tiyiseki hi mhaka.,Ku vulavula kahle ni mufumi i ku tlhontlha nyoka hi voko.,"Loko u vulavula swo biha eka mufundhisi, u tlhontlha nyoka hi voko."
N'wana wa mufumi a nga dyi ndlala,Declarative clause; subject-predicate agreement,Those with powerful connections are protected,People in high positions have advantages,C1,"Politics, workplace, humor","Ironic, political",Reflects Tsonga social commentary on inequality,/ˈnwana wa muˈfumi a ŋga ˈɟi nˈɮaɭa/,"N'wana wa mufumi a nga dyi ndlala, hikuva hinkwavo va n'wi pfulela tinyangwa.",Hi vona leswaku n'wana wa mufumi a nga dyi ndlala hikuva vutomi bya yena byi olova.,"Loko u ri ni makwerhu mufumi, u ta tiva leswaku n'wana wa mufumi a nga dyi ndlala."
Ku hlaya tinhlampfi ematini,Gerund phrase; metaphorical,To attempt the impossible,To try doing something futile,C1,"Philosophical, daily speech, humor","Proverbial, ironic",From Tsonga proverbs highlighting futility and wisdom,/ku ˈɬaɣa tinˈɬampfi ɛmaˈtini/,U ringeta ku n’wi cinca i ku hlaya tinhlampfi ematini.,Ndzi n’wi byele leswaku leswi a swi endla i ku hlaya tinhlampfi ematini.,Ku lava ku lulamisa vuhomboyi bya swona i ku hlaya tinhlampfi ematini.
Tihomu ta vulavula hi timhondzo,Declarative clause; metaphorical comparison,Actions speak louder than words,Deeds are more powerful than speech,B2,"Wisdom, workplace, leadership","Proverbial, moralistic",Symbolic of Tsonga pastoral imagery emphasizing strength in deeds,/tiˈhomu ta ˈβulavula hi timˈhondzo/,"Tihomu ta vulavula hi timhondzo, hikuva ntirho wu kombisa munhu.",Ndzi rhandza vanhu lava endlaka hikuva tihomu ta vulavula hi timhondzo.,Ndzi n’wi tsundzuxe leswaku tihomu ta vulavula hi timhondzo.
Ku hleka ku nga si hela matimba,Reflexive clause; verb of premature action,To celebrate before success is achieved,To rejoice too early,B1,"Sports, work, everyday life","Colloquial, humorous",Relates to Tsonga competitive play and humility values,/ku ˈɣlɛka ku ŋga si ˈhɛla matiˈmba/,"U hleka ku nga si hela matimba, u ta karhala endzhaku.",Ku hleka ku nga si hela matimba swi nga ku tlherisela eku xanisekeni.,Ndzi n’wi tsundzuxe leswaku ku hleka ku nga si hela matimba i vuphukuphuku.
Nhloko ya ndlopfu yi tsondza,Fixed metaphorical expression,A leader bears the weight of the group’s burdens,Leaders carry great responsibility,C2,"Leadership, politics, ethics","Formal, proverbial",Drawn from Tsonga hierarchy symbolism of elephants,/ˈnɬɔkɔ ya nˈɮɔpfu ji ˈtsondza/,Nhloko ya ndlopfu yi tsondza loko hinkwavo va nga lavi ntirho.,Ku fana ni nhloko ya ndlopfu leyi tsondzaka leswaku lava landzelaka va tshama va sirhelelekile.,Ndzi twa ndzi fana ni nhloko ya ndlopfu leyi tsondzaka vutomi bya ndyangu.
Ku kandza rihanyu hi risema,Infinitive verb phrase; instrumental metaphor,To endure life’s hardships with dignity,To persevere with courage,C1,"Resilience, motivation, philosophy","Poetic, inspirational",Derived from Tsonga smithing tradition where heat symbolizes trials,/ku ˈkandza riˈhaɲu hi riˈsɛma/,Ku kandza rihanyu hi risema i xikombiso xa ku tiyisela.,"Loko u navela ku humelela, u fanele ku kandza rihanyu hi risema.",Ku hanya kahle swi lava leswaku u kandza rihanyu hi risema.
Ku famba hi mpfhuka wa xidzidzi,Prepositional phrase; metaphorical adverbial clause,To act blindly or without knowledge,To proceed without understanding,B2,"Advice, education, workplace","Neutral, reflective",From Tsonga idiomatic imagery of walking in darkness,/ku ˈfamba hi mˈpfʰuka wa ʃiˈʣiʣi/,U nga fambisi hi mpfhuka wa xidzidzi eka ntirho lowu.,Ku dyondza swi pfuna leswaku u nga fambi hi mpfhuka wa xidzidzi.,"Loko u endla swilo u nga tivi, i ku famba hi mpfhuka wa xidzidzi."
